Month,FY,Channel,Zone,State,Chain,Brand,Category,SubCategory,Range,PackSize,Article,EAN,NSV,MRP,Qty
April,FY26,MT,South 2,Telangana,Reliance Retail,Pure Origin,Face,Suncare,Vitamin C,50.0,Pure Origin Korean Vitamin C Bright Boosting Sunscreen,8904417313741,0.62,1.04,348
April,FY27,SIS,South 1,Tamil Nadu,Shoppers Stop,Lumineve,Face,Face Serum,Dummy,30.0,Lumineve Midnight Youth Radiance Serum With Advanced Night Renew Complex & 10% Liposomal Vitamin C,8904417323078,0.47,0.9,60
April,FY27,SIS,West,Mumbai,Shoppers Stop,Lumineve,Face,Face Serum,Dummy,30.0,Lumineve Midnight Youth Radiance Serum With Advanced Night Renew Complex & 10% Liposomal Vitamin C,8904417323078,0.47,0.9,60
April,FY27,SIS,North,Delhi NCR,Shoppers Stop,Lumineve,Face,Face Serum,Dummy,30.0,Lumineve Midnight Youth Radiance Serum With Advanced Night Renew Complex & 10% Liposomal Vitamin C,8904417323078,0.35,0.67,45
April,FY26,MT,West,Maharashtra,Reliance Retail,Pure Origin,Face,Suncare,Vitamin C,50.0,Pure Origin Korean Vitamin C Bright Boosting Sunscreen,8904417313741,0.32,0.54,180
May,FY26,MT,East,West Bengal,Reliance Retail,Pure Origin,Face,Suncare,Vitamin C,50.0,Pure Origin Korean Vitamin C Bright Boosting Sunscreen,8904417313741,0.32,0.54,180
May,FY26,MT,North,Haryana,Reliance Retail,Pure Origin,Face,Suncare,Vitamin C,50.0,Pure Origin Korean Vitamin C Bright Boosting Sunscreen,8904417313741,0.32,0.54,180
May,FY27,MT,East,West Bengal,Reliance Retail,Pure Origin,Face,Suncare,Vitamin C,50.0,Pure Origin Korean Vitamin C Bright Boosting Sunscreen,8904417313741,-0.32,-0.54,-179
April,FY27,SIS,West,Mumbai,Shoppers Stop,Lumineve,Face,Moisturisers,Dummy,50.0,LM Lumineve Deep Revitalise Oil Control Crème With Advanced Night Renew Complex for Oily Problematic Skin,8904417321005,0.3,0.58,32
May,FY26,MT,North,Haryana,Reliance Retail,Pure Origin,Face,Face Cleanser,Vitamin C,150.0,Pure Origin Korean Vitamin C Bright Boosting Face Wash,8904417311648,0.26,0.44,192
April,FY27,SIS,South 1,Tamil Nadu,Shoppers Stop,Lumineve,Face,Face Serum,Dummy,30.0,Lumineve Midnight Youth Restore Serum With ANR Complex & 0.3% Liposomal Retinol,8904417323054,0.26,0.5,28
