ForecastKey,DateKey,Chain_ID,Zone,SKU_Code,Forecast_Qty,Forecast_Revenue,Target_Revenue,Forecast_CM2_Value,Confidence_Level,Forecast_Type
1,202604,CH01,North,SKU-101,257,49609.4,51732.53,16513.11,0.91,Rolling
2,202604,CH01,North,SKU-102,268,83838.72,82406.23,29056.63,0.9,Rolling
3,202604,CH01,North,SKU-103,255,35654.47,36854.99,11596.13,0.67,Rolling
4,202604,CH01,North,SKU-201,265,29394.03,30788.02,9793.64,0.67,Rolling
5,202604,CH01,North,SKU-202,282,62550.83,61357.79,20959.03,0.75,Rolling
6,202604,CH01,North,SKU-203,283,41207.52,41386.96,13480.95,0.91,Rolling
7,202604,CH01,North,SKU-301,273,42456.95,41852.86,14661.75,0.79,Rolling
8,202604,CH01,North,SKU-302,281,24245.92,25417.58,8346.75,0.7,Rolling
9,202604,CH01,North,SKU-303,259,53260.43,54629.19,18240.94,0.8,Rolling
10,202604,CH01,North,SKU-401,286,93572.37,94175.37,32616.43,0.89,Rolling
11,202604,CH01,North,SKU-402,274,40272.34,39983.76,13287.53,0.94,Rolling
12,202604,CH01,South,SKU-101,291,55492.57,55021.31,18005.83,0.94,Rolling
13,202604,CH01,South,SKU-102,265,71874.69,72218.76,23051.57,0.88,Rolling
14,202604,CH01,South,SKU-103,274,38147.39,37045.08,12292.23,0.74,Rolling
15,202604,CH01,South,SKU-201,276,29307.59,29451.93,9618.48,0.72,Rolling
16,202604,CH01,South,SKU-202,249,56994.14,55207.44,18541.12,0.91,Rolling
17,202604,CH01,South,SKU-203,282,37682.26,36785.33,13165.56,0.89,Rolling
18,202604,CH01,South,SKU-301,260,41438.69,40597.81,13790.65,0.71,Rolling
19,202604,CH01,South,SKU-302,246,20704.33,21366.99,7243.79,0.67,Rolling
20,202604,CH01,South,SKU-303,269,56714.79,58189.36,18742.53,0.79,Rolling
21,202604,CH01,South,SKU-401,274,93329.36,97278.54,30619.56,0.95,Rolling
22,202604,CH01,South,SKU-402,278,38611.82,37733.53,12673.37,0.68,Rolling
23,202604,CH01,East,SKU-101,247,49761.31,50298.59,16076.76,0.91,Rolling
24,202604,CH01,East,SKU-102,275,81727.25,79072.55,27314.35,0.84,Rolling
25,202604,CH01,East,SKU-103,217,30692.04,29929.85,10216.97,0.8,Rolling
26,202604,CH01,East,SKU-201,249,26362.8,25820.95,8446.9,0.67,Rolling
27,202604,CH01,East,SKU-202,265,57989.0,58732.32,19508.49,0.72,Rolling
28,202604,CH01,East,SKU-203,262,38042.87,39006.17,12805.31,0.76,Rolling
29,202604,CH01,East,SKU-301,263,36522.4,38304.63,12415.11,0.85,Rolling
30,202604,CH01,East,SKU-302,269,22686.31,23571.79,7633.93,0.77,Rolling
31,202604,CH01,East,SKU-303,240,49825.66,50393.89,16706.94,0.78,Rolling
32,202604,CH01,East,SKU-401,274,104427.73,105354.99,34391.79,0.78,Rolling
33,202604,CH01,East,SKU-402,286,37385.15,38056.24,12317.09,0.89,Rolling
34,202604,CH01,West,SKU-101,249,43938.7,41797.1,15244.39,0.82,Rolling
35,202604,CH01,West,SKU-102,263,77404.01,77473.69,27071.89,0.94,Rolling
36,202604,CH01,West,SKU-103,276,41882.31,42646.58,13529.97,0.75,Rolling
37,202604,CH01,West,SKU-201,241,23634.6,23599.74,8119.51,0.8,Rolling
38,202604,CH01,West,SKU-202,262,59241.45,57886.41,20050.15,0.94,Rolling
39,202604,CH01,West,SKU-203,246,33287.22,34847.11,11422.65,0.92,Rolling
40,202604,CH01,West,SKU-301,245,39723.0,41420.22,12819.31,0.68,Rolling
41,202604,CH01,West,SKU-302,222,18471.6,19339.91,6281.01,0.88,Rolling
42,202604,CH01,West,SKU-303,284,59968.26,60542.8,19755.73,0.82,Rolling
43,202604,CH01,West,SKU-401,271,104008.17,103082.94,35664.58,0.68,Rolling
44,202604,CH01,West,SKU-402,284,35288.26,34805.68,11938.7,0.69,Rolling
45,202604,CH02,North,SKU-101,299,62036.59,63321.6,20465.34,0.77,Rolling
46,202604,CH02,North,SKU-102,282,83829.78,82900.65,28052.33,0.95,Rolling
47,202604,CH02,North,SKU-103,255,37247.08,38234.54,12772.78,0.74,Rolling
48,202604,CH02,North,SKU-201,242,24825.64,24603.05,8680.33,0.79,Rolling
49,202604,CH02,North,SKU-202,258,57695.21,58267.41,18628.06,0.76,Rolling
50,202604,CH02,North,SKU-203,305,40270.61,40776.68,13986.48,0.73,Rolling
51,202604,CH02,North,SKU-301,270,38519.09,39365.21,13036.19,0.85,Rolling
52,202604,CH02,North,SKU-302,263,23943.38,23262.29,7963.32,0.71,Rolling
53,202604,CH02,North,SKU-303,267,49798.74,50233.81,16235.84,0.89,Rolling
54,202604,CH02,North,SKU-401,285,108070.93,104770.77,36570.05,0.95,Rolling
55,202604,CH02,North,SKU-402,262,33549.85,33551.51,11534.33,0.7,Rolling
56,202604,CH02,South,SKU-101,278,51786.75,52625.27,17297.29,0.89,Rolling
57,202604,CH02,South,SKU-102,251,66381.64,64350.72,22548.82,0.91,Rolling
58,202604,CH02,South,SKU-103,257,39335.89,38201.34,13544.71,0.88,Rolling
59,202604,CH02,South,SKU-201,250,27339.79,26895.05,9268.0,0.67,Rolling
60,202604,CH02,South,SKU-202,275,65418.24,64472.61,21486.4,0.9,Rolling
61,202604,CH02,South,SKU-203,233,30915.63,30250.32,10738.62,0.88,Rolling
62,202604,CH02,South,SKU-301,238,36361.17,37818.77,11976.95,0.82,Rolling
63,202604,CH02,South,SKU-302,270,23564.45,22870.78,8074.86,0.79,Rolling
64,202604,CH02,South,SKU-303,311,64331.25,67166.44,21866.43,0.91,Rolling
65,202604,CH02,South,SKU-401,288,103279.16,99729.05,34708.59,0.72,Rolling
66,202604,CH02,South,SKU-402,282,37713.64,36841.69,13198.3,0.67,Rolling
67,202604,CH02,East,SKU-101,230,48060.48,50363.72,16323.64,0.91,Rolling
68,202604,CH02,East,SKU-102,250,66764.86,67253.09,22929.0,0.76,Rolling
69,202604,CH02,East,SKU-103,250,39275.64,40580.48,13108.76,0.83,Rolling
70,202604,CH02,East,SKU-201,258,29276.92,27956.69,10147.26,0.82,Rolling
71,202604,CH02,East,SKU-202,269,56657.56,55209.69,19546.04,0.83,Rolling
72,202604,CH02,East,SKU-203,297,37522.69,35669.4,12578.95,0.95,Rolling
73,202604,CH02,East,SKU-301,279,45404.59,46683.74,14550.47,0.9,Rolling
74,202604,CH02,East,SKU-302,260,21705.96,21637.76,7222.57,0.74,Rolling
75,202604,CH02,East,SKU-303,252,55031.54,56560.27,18098.67,0.72,Rolling
76,202604,CH02,East,SKU-401,255,90623.89,91579.07,30917.71,0.85,Rolling
77,202604,CH02,East,SKU-402,260,36563.44,36012.97,11933.53,0.76,Rolling
78,202604,CH02,West,SKU-101,259,52806.22,54670.86,17246.11,0.67,Rolling
79,202604,CH02,West,SKU-102,282,79593.24,76124.05,26010.12,0.89,Rolling
80,202604,CH02,West,SKU-103,286,42134.53,40593.41,13576.81,0.95,Rolling
81,202604,CH02,West,SKU-201,277,30242.09,31270.55,10409.37,0.65,Rolling
82,202604,CH02,West,SKU-202,253,55351.82,58022.45,18817.52,0.94,Rolling
83,202604,CH02,West,SKU-203,254,33386.9,35021.4,10841.75,0.8,Rolling
84,202604,CH02,West,SKU-301,285,43060.76,45155.05,14328.87,0.83,Rolling
85,202604,CH02,West,SKU-302,277,22164.65,22367.83,7101.11,0.65,Rolling
86,202604,CH02,West,SKU-303,275,51822.59,52616.88,16666.71,0.74,Rolling
87,202604,CH02,West,SKU-401,250,90669.13,92674.14,29708.37,0.68,Rolling
88,202604,CH02,West,SKU-402,241,35515.94,34513.43,11638.65,0.68,Rolling
89,202604,CH03,North,SKU-101,275,54215.02,56172.89,18139.95,0.69,Rolling
90,202604,CH03,North,SKU-102,260,76468.23,76705.31,26036.59,0.84,Rolling
91,202604,CH03,North,SKU-103,293,46862.46,45684.84,15949.43,0.92,Rolling
92,202604,CH03,North,SKU-201,264,28613.22,27352.88,9655.39,0.69,Rolling
93,202604,CH03,North,SKU-202,246,56080.1,55210.24,18004.36,0.81,Rolling
94,202604,CH03,North,SKU-203,265,38080.23,39660.85,13050.01,0.9,Rolling
95,202604,CH03,North,SKU-301,255,36641.72,37612.96,12767.35,0.87,Rolling
96,202604,CH03,North,SKU-302,293,25240.89,25053.51,8134.12,0.66,Rolling
97,202604,CH03,North,SKU-303,280,56548.26,56874.32,18566.0,0.79,Rolling
98,202604,CH03,North,SKU-401,269,100381.27,99891.05,33939.84,0.92,Rolling
99,202604,CH03,North,SKU-402,291,37869.32,36108.33,12414.78,0.73,Rolling
100,202604,CH03,South,SKU-101,296,52374.64,50464.95,17004.49,0.84,Rolling
101,202604,CH03,South,SKU-102,282,87926.01,85303.22,28953.44,0.72,Rolling
102,202604,CH03,South,SKU-103,263,40539.01,41504.61,13568.55,0.66,Rolling
103,202604,CH03,South,SKU-201,238,25767.4,25033.88,8803.62,0.89,Rolling
104,202604,CH03,South,SKU-202,266,58511.82,59555.38,20064.87,0.95,Rolling
105,202604,CH03,South,SKU-203,262,33398.01,32409.67,11382.1,0.93,Rolling
106,202604,CH03,South,SKU-301,265,38656.96,38483.21,12707.3,0.72,Rolling
107,202604,CH03,South,SKU-302,282,24998.54,25732.91,8199.19,0.83,Rolling
108,202604,CH03,South,SKU-303,278,55035.48,54191.12,18991.52,0.88,Rolling
109,202604,CH03,South,SKU-401,261,84495.96,81067.75,28516.21,0.67,Rolling
110,202604,CH03,South,SKU-402,262,34258.04,35160.08,11728.72,0.72,Rolling
111,202604,CH03,East,SKU-101,281,52914.64,51382.34,17760.17,0.93,Rolling
112,202604,CH03,East,SKU-102,277,82509.68,81909.03,27867.3,0.87,Rolling
113,202604,CH03,East,SKU-103,271,42907.82,43401.57,13924.61,0.9,Rolling
114,202604,CH03,East,SKU-201,302,31338.75,30583.14,10737.78,0.87,Rolling
115,202604,CH03,East,SKU-202,250,52650.22,54215.29,17569.87,0.75,Rolling
116,202604,CH03,East,SKU-203,251,35172.18,35349.56,11383.92,0.68,Rolling
117,202604,CH03,East,SKU-301,240,37929.27,36254.43,12774.89,0.68,Rolling
118,202604,CH03,East,SKU-302,295,26924.9,28072.41,9271.42,0.9,Rolling
119,202604,CH03,East,SKU-303,273,51710.97,50817.4,17522.51,0.7,Rolling
120,202604,CH03,East,SKU-401,258,86270.38,87035.11,29995.8,0.87,Rolling
121,202604,CH03,East,SKU-402,278,37722.56,36540.2,13083.74,0.72,Rolling
122,202604,CH03,West,SKU-101,244,43998.61,43434.97,14116.89,0.69,Rolling
123,202604,CH03,West,SKU-102,252,74707.79,77225.5,24743.18,0.91,Rolling
124,202604,CH03,West,SKU-103,255,36221.73,36658.42,12047.21,0.83,Rolling
125,202604,CH03,West,SKU-201,283,30136.33,31448.01,9914.01,0.76,Rolling
126,202604,CH03,West,SKU-202,281,59150.05,58417.46,19758.19,0.78,Rolling
127,202604,CH03,West,SKU-203,253,36100.35,36033.04,12288.63,0.92,Rolling
128,202604,CH03,West,SKU-301,249,38151.03,39291.78,12249.82,0.95,Rolling
129,202604,CH03,West,SKU-302,268,22667.43,21929.28,7791.87,0.94,Rolling
130,202604,CH03,West,SKU-303,266,56429.88,56322.95,19198.62,0.78,Rolling
131,202604,CH03,West,SKU-401,273,99632.28,95176.97,34324.57,0.9,Rolling
132,202604,CH03,West,SKU-402,257,34829.52,35166.19,11445.7,0.83,Rolling
133,202604,CH04,North,SKU-101,260,45263.66,43458.32,15560.18,0.94,Rolling
134,202604,CH04,North,SKU-102,266,71535.33,71900.38,23201.74,0.83,Rolling
135,202604,CH04,North,SKU-103,301,48021.56,45733.34,15907.86,0.68,Rolling
136,202604,CH04,North,SKU-201,263,26702.24,26482.01,8785.51,0.85,Rolling
137,202604,CH04,North,SKU-202,298,62901.37,61459.18,21739.97,0.82,Rolling
138,202604,CH04,North,SKU-203,268,36104.44,35304.69,12574.99,0.92,Rolling
139,202604,CH04,North,SKU-301,242,34887.73,34576.45,12081.81,0.81,Rolling
140,202604,CH04,North,SKU-302,262,24354.3,24657.56,8135.36,0.72,Rolling
141,202604,CH04,North,SKU-303,262,52597.38,52075.09,17653.93,0.88,Rolling
142,202604,CH04,North,SKU-401,262,93692.72,95240.56,31984.96,0.91,Rolling
143,202604,CH04,North,SKU-402,264,38989.6,38736.22,13205.69,0.85,Rolling
144,202604,CH04,South,SKU-101,272,54722.36,56384.56,18418.96,0.8,Rolling
145,202604,CH04,South,SKU-102,247,68996.12,67691.03,24052.71,0.89,Rolling
146,202604,CH04,South,SKU-103,278,39620.55,41516.22,13124.36,0.68,Rolling
147,202604,CH04,South,SKU-201,270,30119.09,28646.16,10438.94,0.73,Rolling
148,202604,CH04,South,SKU-202,291,66093.73,68163.26,22709.1,0.92,Rolling
149,202604,CH04,South,SKU-203,272,40433.27,38882.84,13969.14,0.8,Rolling
150,202604,CH04,South,SKU-301,265,36926.43,36950.29,12781.22,0.71,Rolling
151,202604,CH04,South,SKU-302,266,23094.47,22767.37,7695.45,0.81,Rolling
152,202604,CH04,South,SKU-303,276,54704.26,56441.01,18381.27,0.75,Rolling
153,202604,CH04,South,SKU-401,278,98921.08,94535.07,32158.9,0.74,Rolling
154,202604,CH04,South,SKU-402,259,32042.93,32862.21,10508.81,0.74,Rolling
155,202604,CH04,East,SKU-101,271,55782.9,53469.97,18594.2,0.9,Rolling
156,202604,CH04,East,SKU-102,275,78023.29,79635.99,27245.56,0.92,Rolling
157,202604,CH04,East,SKU-103,287,40031.31,38979.08,13321.74,0.87,Rolling
158,202604,CH04,East,SKU-201,276,28721.6,29945.76,9893.16,0.75,Rolling
159,202604,CH04,East,SKU-202,237,49787.33,50921.77,16206.38,0.8,Rolling
160,202604,CH04,East,SKU-203,244,32213.12,33527.84,11221.32,0.65,Rolling
161,202604,CH04,East,SKU-301,268,43857.6,43938.33,14133.04,0.68,Rolling
162,202604,CH04,East,SKU-302,264,24072.31,24957.26,7967.78,0.66,Rolling
163,202604,CH04,East,SKU-303,327,70889.33,69958.39,22706.04,0.86,Rolling
164,202604,CH04,East,SKU-401,251,89437.72,90665.74,30604.03,0.7,Rolling
165,202604,CH04,East,SKU-402,289,38672.26,40517.64,13050.48,0.91,Rolling
166,202604,CH04,West,SKU-101,272,47719.87,46292.34,15536.65,0.73,Rolling
167,202604,CH04,West,SKU-102,260,73764.35,70805.41,23698.34,0.85,Rolling
168,202604,CH04,West,SKU-103,272,42386.18,43775.09,14107.43,0.84,Rolling
