InventoryKey,DateKey,Hub_ID,SKU_Code,Opening_Stock_Units,Closing_Stock_Units,Days_of_Cover,Stock_Level_Status
1,20260401,WH_CH_01,SKU-101,262,259,12.3,WARNING
2,20260401,WH_CH_01,SKU-102,356,351,20.7,NORMAL
3,20260401,WH_CH_01,SKU-103,301,301,16.8,NORMAL
4,20260401,WH_CH_01,SKU-201,511,523,24.9,NORMAL
5,20260401,WH_CH_01,SKU-202,401,405,17.6,NORMAL
6,20260401,WH_CH_01,SKU-203,346,355,14.8,NORMAL
7,20260401,WH_CH_01,SKU-301,500,492,19.7,NORMAL
8,20260401,WH_CH_01,SKU-302,839,864,41.2,NORMAL
9,20260401,WH_CH_01,SKU-303,724,699,30.4,NORMAL
10,20260401,WH_CH_01,SKU-401,698,725,38.2,NORMAL
11,20260401,WH_CH_01,SKU-402,242,248,11.8,WARNING
12,20260401,WH_CH_01,SKU-101,121,125,9.6,WARNING
13,20260401,WH_CH_01,SKU-102,552,541,28.5,NORMAL
14,20260401,WH_CH_01,SKU-103,92,93,9.3,WARNING
15,20260401,WH_CH_01,SKU-201,748,733,36.7,NORMAL
16,20260401,WH_CH_01,SKU-202,420,407,21.4,NORMAL
17,20260401,WH_CH_01,SKU-203,540,556,32.8,NORMAL
18,20260401,WH_CH_01,SKU-301,544,524,32.8,NORMAL
19,20260401,WH_CH_01,SKU-302,581,608,27.7,NORMAL
20,20260401,WH_CH_01,SKU-303,244,252,19.5,NORMAL
21,20260401,WH_CH_01,SKU-401,422,410,21.6,NORMAL
22,20260401,WH_CH_01,SKU-402,1001,1022,44.4,NORMAL
23,20260401,WH_CH_01,SKU-101,656,638,29.0,NORMAL
24,20260401,WH_CH_01,SKU-102,181,173,9.1,WARNING
25,20260401,WH_CH_01,SKU-103,194,188,8.2,WARNING
26,20260401,WH_CH_01,SKU-201,533,538,28.3,NORMAL
27,20260401,WH_CH_01,SKU-202,762,736,33.5,NORMAL
28,20260401,WH_CH_01,SKU-203,369,353,23.6,NORMAL
29,20260401,WH_CH_01,SKU-301,567,572,31.8,NORMAL
30,20260401,WH_CH_01,SKU-302,187,184,9.2,WARNING
31,20260401,WH_CH_01,SKU-303,367,353,15.3,NORMAL
32,20260401,WH_CH_01,SKU-401,155,157,8.3,WARNING
33,20260401,WH_CH_01,SKU-402,726,748,29.9,NORMAL
34,20260401,WH_CH_01,SKU-101,562,541,28.5,NORMAL
35,20260401,WH_CH_01,SKU-102,1105,1147,42.5,NORMAL
36,20260401,WH_CH_01,SKU-103,184,182,20.3,NORMAL
37,20260401,WH_CH_01,SKU-201,474,477,25.1,NORMAL
38,20260401,WH_CH_01,SKU-202,357,366,15.3,NORMAL
39,20260401,WH_CH_01,SKU-203,416,423,24.9,NORMAL
40,20260401,WH_CH_01,SKU-301,769,791,44.0,NORMAL
41,20260401,WH_CH_01,SKU-302,539,537,22.4,NORMAL
42,20260401,WH_CH_01,SKU-303,644,620,38.8,NORMAL
43,20260401,WH_CH_01,SKU-401,510,527,35.2,NORMAL
44,20260401,WH_CH_01,SKU-402,703,681,35.9,NORMAL
45,20260401,WH_CH_01,SKU-101,480,467,35.9,NORMAL
46,20260401,WH_CH_01,SKU-102,543,554,39.6,NORMAL
47,20260401,WH_CH_01,SKU-103,204,197,10.4,WARNING
48,20260401,WH_CH_01,SKU-201,258,270,15.9,NORMAL
49,20260401,WH_CH_01,SKU-202,204,196,15.1,NORMAL
50,20260401,WH_CH_01,SKU-203,479,470,23.5,NORMAL
51,20260401,WH_CH_01,SKU-301,762,768,40.4,NORMAL
52,20260401,WH_CH_01,SKU-302,370,379,31.6,NORMAL
53,20260401,WH_CH_01,SKU-303,754,761,31.7,NORMAL
54,20260401,WH_CH_01,SKU-401,908,926,29.0,NORMAL
55,20260401,WH_CH_01,SKU-402,207,201,8.7,WARNING
56,20260401,WH_CH_01,SKU-101,582,571,30.1,NORMAL
57,20260401,WH_CH_01,SKU-102,700,694,43.4,NORMAL
58,20260401,WH_CH_01,SKU-103,472,485,27.0,NORMAL
59,20260401,WH_CH_01,SKU-201,606,634,39.7,NORMAL
60,20260401,WH_CH_01,SKU-202,188,186,11.6,WARNING
61,20260401,WH_CH_01,SKU-203,330,344,21.6,NORMAL
62,20260401,WH_CH_01,SKU-301,698,689,32.9,NORMAL
63,20260401,WH_CH_01,SKU-302,634,623,31.2,NORMAL
64,20260401,WH_CH_01,SKU-303,275,284,12.9,WARNING
65,20260401,WH_CH_01,SKU-401,612,609,35.9,NORMAL
66,20260401,WH_CH_01,SKU-402,683,658,41.2,NORMAL
67,20260401,WH_CH_01,SKU-101,673,666,35.1,NORMAL
68,20260401,WH_CH_01,SKU-102,449,458,19.1,NORMAL
69,20260401,WH_CH_01,SKU-103,317,319,17.8,NORMAL
70,20260401,WH_CH_01,SKU-201,546,538,29.9,NORMAL
71,20260401,WH_CH_01,SKU-202,119,124,7.8,WARNING
72,20260401,WH_CH_01,SKU-203,533,508,29.9,NORMAL
73,20260401,WH_CH_01,SKU-301,457,440,31.4,NORMAL
74,20260401,WH_CH_01,SKU-302,144,146,10.4,WARNING
75,20260401,WH_CH_01,SKU-303,933,930,34.5,NORMAL
76,20260401,WH_CH_01,SKU-401,340,329,12.7,WARNING
77,20260401,WH_CH_01,SKU-402,202,200,11.8,WARNING
78,20260401,WH_CH_01,SKU-101,746,727,34.6,NORMAL
79,20260401,WH_CH_01,SKU-102,1050,1025,36.6,NORMAL
80,20260401,WH_CH_01,SKU-103,407,428,25.2,NORMAL
81,20260401,WH_CH_01,SKU-201,180,188,11.1,WARNING
82,20260401,WH_CH_01,SKU-202,737,734,38.7,NORMAL
83,20260401,WH_CH_01,SKU-203,275,286,14.3,NORMAL
84,20260401,WH_CH_01,SKU-301,906,888,37.0,NORMAL
85,20260401,WH_CH_01,SKU-302,355,358,23.9,NORMAL
86,20260401,WH_CH_01,SKU-303,289,285,23.8,NORMAL
87,20260401,WH_CH_01,SKU-401,825,854,42.7,NORMAL
88,20260401,WH_CH_01,SKU-402,622,605,24.2,NORMAL
89,20260408,WH_CH_01,SKU-101,986,985,44.8,NORMAL
