SalesKey,DateKey,Chain_ID,Zone,SKU_Code,Ordered_Qty,Delivered_Qty,Actual_Qty,Actual_Revenue,Base_COGS,Logistics_Cost,Scheme_Adjustment,Promo_Cost,CM2_Provisional,Metric_Type
1,202604,CH01,North,SKU-101,317,300,300,60105.53,36000.0,3606.33,1389.66,0,24105.53,Actual
2,202604,CH01,North,SKU-102,301,285,285,87715.45,51300.0,5262.93,2996.49,0,36415.45,Actual
3,202604,CH01,North,SKU-103,267,244,244,34875.41,23180.0,2092.52,909.72,714.78,11695.41,Actual
4,202604,CH01,North,SKU-201,321,292,292,31004.89,18980.0,1860.29,801.26,0,12024.89,Actual
5,202604,CH01,North,SKU-202,317,290,290,68433.44,40600.0,4106.01,2072.49,1495.15,27833.44,Actual
6,202604,CH01,North,SKU-203,276,249,249,31771.99,21165.0,1906.32,1238.4,931.32,10606.99,Actual
7,202604,CH01,North,SKU-301,345,329,329,46235.57,31255.0,2774.13,1331.73,0,14980.57,Actual
8,202604,CH01,North,SKU-302,297,288,288,23131.41,15840.0,1387.88,582.35,0,7291.41,Actual
9,202604,CH01,North,SKU-303,258,243,243,48782.87,30375.0,2926.97,1156.01,0,18407.87,Actual
10,202604,CH01,North,SKU-401,330,302,302,98101.83,66440.0,5886.11,2050.77,1619.33,31661.83,Actual
11,202604,CH01,North,SKU-402,318,295,295,42592.93,25075.0,2555.58,1091.18,888.23,17517.93,Actual
12,202604,CH01,South,SKU-101,299,292,292,51591.68,35040.0,2579.58,1828.66,0,16551.68,Actual
13,202604,CH01,South,SKU-102,305,291,291,88765.16,52380.0,4438.26,3069.51,0,36385.16,Actual
14,202604,CH01,South,SKU-103,263,239,239,35363.94,22705.0,1768.2,1317.73,0,12658.94,Actual
15,202604,CH01,South,SKU-201,332,307,307,29315.24,19955.0,1465.76,776.96,0,9360.24,Actual
16,202604,CH01,South,SKU-202,339,317,317,76163.35,44380.0,3808.17,1705.44,1848.1,31783.35,Actual
17,202604,CH01,South,SKU-203,341,320,320,45731.09,27200.0,2286.55,1392.72,0,18531.09,Actual
18,202604,CH01,South,SKU-301,321,289,289,40698.4,27455.0,2034.92,1331.99,0,13243.4,Actual
19,202604,CH01,South,SKU-302,313,287,287,27186.03,15785.0,1359.3,766.85,0,11401.03,Actual
20,202604,CH01,South,SKU-303,262,241,241,44376.96,30125.0,2218.85,1030.63,0,14251.96,Actual
21,202604,CH01,South,SKU-401,362,351,351,126642.43,77220.0,6332.12,4568.43,0,49422.43,Actual
22,202604,CH01,South,SKU-402,304,293,293,40141.95,24905.0,2007.1,1522.26,0,15236.95,Actual
23,202604,CH01,East,SKU-101,313,292,292,53204.05,35040.0,4256.32,1934.52,0,18164.05,Actual
24,202604,CH01,East,SKU-102,351,327,327,94365.78,58860.0,7549.26,2306.5,0,35505.78,Actual
25,202604,CH01,East,SKU-103,228,211,211,34735.44,20045.0,2778.84,1055.12,835.75,14690.44,Actual
26,202604,CH01,East,SKU-201,317,291,291,32888.16,18915.0,2631.05,984.83,0,13973.16,Actual
27,202604,CH01,East,SKU-202,313,296,296,60546.58,41440.0,4843.73,1819.64,0,19106.58,Actual
28,202604,CH01,East,SKU-203,279,256,256,37481.16,21760.0,2998.49,858.24,741.72,15721.16,Actual
29,202604,CH01,East,SKU-301,335,321,321,46391.78,30495.0,3711.34,1269.08,1050.59,15896.78,Actual
30,202604,CH01,East,SKU-302,332,320,320,25996.73,17600.0,2079.74,686.72,0,8396.73,Actual
31,202604,CH01,East,SKU-303,234,223,223,45360.09,27875.0,3628.81,922.25,0,17485.09,Actual
32,202604,CH01,East,SKU-401,325,297,297,107389.68,65340.0,8591.17,3631.79,0,42049.68,Actual
33,202604,CH01,East,SKU-402,318,294,294,37266.49,24990.0,2981.32,829.91,1061.87,12276.49,Actual
34,202604,CH01,West,SKU-101,352,339,339,67040.45,40680.0,3352.02,2085.23,1380.56,26360.45,Actual
35,202604,CH01,West,SKU-102,308,299,299,92525.45,53820.0,4626.27,3022.07,1552.63,38705.45,Actual
36,202604,CH01,West,SKU-103,243,235,235,38379.65,22325.0,1918.98,1366.22,876.62,16054.65,Actual
37,202604,CH01,West,SKU-201,289,274,274,30625.48,17810.0,1531.27,618.14,368.41,12815.48,Actual
38,202604,CH01,West,SKU-202,335,316,316,66282.24,44240.0,3314.11,2242.85,0,22042.24,Actual
39,202604,CH01,West,SKU-203,334,306,306,43271.63,26010.0,2163.58,1147.04,0,17261.63,Actual
40,202604,CH01,West,SKU-301,340,323,323,52310.78,30685.0,2615.54,1640.79,621.11,21625.78,Actual
41,202604,CH01,West,SKU-302,317,309,309,25886.73,16995.0,1294.34,721.25,0,8891.73,Actual
42,202604,CH01,West,SKU-303,273,256,256,54030.19,32000.0,2701.51,1704.01,0,22030.19,Actual
43,202604,CH01,West,SKU-401,325,299,299,109637.87,65780.0,5481.89,2246.08,2511.74,43857.87,Actual
44,202604,CH01,West,SKU-402,317,296,296,43488.95,25160.0,2174.45,1710.56,1273.03,18328.95,Actual
45,202604,CH02,North,SKU-101,349,337,337,63310.01,40440.0,3798.6,1667.49,847.71,22870.01,Actual
46,202604,CH02,North,SKU-102,328,310,310,92561.54,55800.0,5553.69,2031.13,0,36761.54,Actual
47,202604,CH02,North,SKU-103,230,220,220,35806.13,20900.0,2148.37,1215.27,861.13,14906.13,Actual
48,202604,CH02,North,SKU-201,315,303,303,33339.86,19695.0,2000.39,1244.96,0,13644.86,Actual
49,202604,CH02,North,SKU-202,358,345,345,77301.97,48300.0,4638.12,2550.91,0,29001.97,Actual
50,202604,CH02,North,SKU-203,336,311,311,45388.94,26435.0,2723.34,1248.72,0,18953.94,Actual
51,202604,CH02,North,SKU-301,292,273,273,37885.4,25935.0,2273.12,1168.87,0,11950.4,Actual
52,202604,CH02,North,SKU-302,312,281,281,22551.16,15455.0,1353.07,822.04,387.97,7096.16,Actual
53,202604,CH02,North,SKU-303,229,210,210,44126.2,26250.0,2647.57,1432.24,516.58,17876.2,Actual
54,202604,CH02,North,SKU-401,279,265,265,93990.71,58300.0,5639.44,3244.73,0,35690.71,Actual
55,202604,CH02,North,SKU-402,314,293,293,38135.77,24905.0,2288.15,822.56,0,13230.77,Actual
56,202604,CH02,South,SKU-101,348,318,318,60013.69,38160.0,3000.68,1388.04,900.5,21853.69,Actual
57,202604,CH02,South,SKU-102,327,301,301,89291.85,54180.0,4464.59,3491.07,0,35111.85,Actual
58,202604,CH02,South,SKU-103,261,243,243,37709.72,23085.0,1885.49,941.03,645.57,14624.72,Actual
59,202604,CH02,South,SKU-201,341,308,308,29726.13,20020.0,1486.31,618.74,805.85,9706.13,Actual
60,202604,CH02,South,SKU-202,338,317,317,65653.56,44380.0,3282.68,1934.77,0,21273.56,Actual
61,202604,CH02,South,SKU-203,302,286,286,38155.8,24310.0,1907.79,1247.77,0,13845.8,Actual
62,202604,CH02,South,SKU-301,275,258,258,40141.45,24510.0,2007.07,1490.44,930.23,15631.45,Actual
63,202604,CH02,South,SKU-302,301,271,271,24484.83,14905.0,1224.24,776.55,0,9579.83,Actual
64,202604,CH02,South,SKU-303,282,268,268,52476.11,33500.0,2623.81,1530.47,1097.4,18976.11,Actual
65,202604,CH02,South,SKU-401,366,355,355,135765.69,78100.0,6788.28,3246.95,0,57665.69,Actual
66,202604,CH02,South,SKU-402,286,259,259,32042.1,22015.0,1602.1,1078.54,0,10027.1,Actual
67,202604,CH02,East,SKU-101,287,258,258,52739.2,30960.0,4219.14,1913.87,824.69,21779.2,Actual
68,202604,CH02,East,SKU-102,296,287,287,84654.36,51660.0,6772.35,2937.63,2206.91,32994.36,Actual
69,202604,CH02,East,SKU-103,240,231,231,36761.92,21945.0,2940.95,1463.5,0,14816.92,Actual
70,202604,CH02,East,SKU-201,319,295,295,32270.07,19175.0,2581.61,1246.11,0,13095.07,Actual
71,202604,CH02,East,SKU-202,349,335,335,78569.76,46900.0,6285.58,1733.44,2203.96,31669.76,Actual
72,202604,CH02,East,SKU-203,325,315,315,41394.55,26775.0,3311.56,1150.11,0,14619.55,Actual
73,202604,CH02,East,SKU-301,292,285,285,46975.63,27075.0,3758.05,1478.26,1063.38,19900.63,Actual
74,202604,CH02,East,SKU-302,322,307,307,26148.1,16885.0,2091.85,916.43,0,9263.1,Actual
75,202604,CH02,East,SKU-303,265,248,248,45798.22,31000.0,3663.86,968.69,0,14798.22,Actual
76,202604,CH02,East,SKU-401,327,303,303,114409.31,66660.0,9152.74,2556.06,0,47749.31,Actual
77,202604,CH02,East,SKU-402,300,272,272,37811.96,23120.0,3024.96,819.84,908.22,14691.96,Actual
78,202604,CH02,West,SKU-101,287,260,260,51850.43,31200.0,2592.52,1124.99,0,20650.43,Actual
79,202604,CH02,West,SKU-102,317,310,310,96766.94,55800.0,4838.35,3393.38,0,40966.94,Actual
80,202604,CH02,West,SKU-103,244,230,230,36776.7,21850.0,1838.83,1047.56,1034.42,14926.7,Actual
81,202604,CH02,West,SKU-201,295,276,276,26074.11,17940.0,1303.71,550.84,322.7,8134.11,Actual
82,202604,CH02,West,SKU-202,296,280,280,65613.49,39200.0,3280.67,2574.9,0,26413.49,Actual
83,202604,CH02,West,SKU-203,317,290,290,42165.79,24650.0,2108.29,1655.62,0,17515.79,Actual
84,202604,CH02,West,SKU-301,287,270,270,44651.28,25650.0,2232.56,1455.09,1067.83,19001.28,Actual
85,202604,CH02,West,SKU-302,322,313,313,27979.44,17215.0,1398.97,585.02,0,10764.44,Actual
86,202604,CH02,West,SKU-303,273,251,251,51330.75,31375.0,2566.54,1219.74,0,19955.75,Actual
87,202604,CH02,West,SKU-401,322,291,291,104038.7,64020.0,5201.93,4108.27,0,40018.7,Actual
88,202604,CH02,West,SKU-402,327,312,312,44928.55,26520.0,2246.43,1044.69,0,18408.55,Actual
89,202604,CH03,North,SKU-101,358,342,342,71201.94,41040.0,4272.12,2297.57,0,30161.94,Actual
90,202604,CH03,North,SKU-102,319,288,288,88637.03,51840.0,5318.22,1819.48,0,36797.03,Actual
91,202604,CH03,North,SKU-103,244,222,222,36827.0,21090.0,2209.62,1174.14,648.81,15737.0,Actual
92,202604,CH03,North,SKU-201,348,320,320,32748.47,20800.0,1964.91,691.89,893.85,11948.47,Actual
93,202604,CH03,North,SKU-202,349,317,317,70349.54,44380.0,4220.97,2749.33,0,25969.54,Actual
94,202604,CH03,North,SKU-203,331,314,314,44078.81,26690.0,2644.73,1197.32,540.9,17388.81,Actual
95,202604,CH03,North,SKU-301,335,315,315,50324.74,29925.0,3019.48,1864.21,1058.74,20399.74,Actual
96,202604,CH03,North,SKU-302,328,298,298,25749.43,16390.0,1544.97,529.81,646.38,9359.43,Actual
97,202604,CH03,North,SKU-303,255,232,232,43902.79,29000.0,2634.17,890.83,0,14902.79,Actual
98,202604,CH03,North,SKU-401,315,294,294,101397.1,64680.0,6083.83,3861.52,0,36717.1,Actual
99,202604,CH03,North,SKU-402,315,293,293,41967.31,24905.0,2518.04,1361.49,0,17062.31,Actual
100,202604,CH03,South,SKU-101,325,317,317,60397.66,38040.0,3019.88,1803.01,0,22357.66,Actual
101,202604,CH03,South,SKU-102,314,284,284,77806.87,51120.0,3890.34,1756.69,977.33,26686.87,Actual
102,202604,CH03,South,SKU-103,231,211,211,32919.15,20045.0,1645.96,885.96,919.62,12874.15,Actual
103,202604,CH03,South,SKU-201,323,295,295,28795.02,19175.0,1439.75,599.44,385.24,9620.02,Actual
104,202604,CH03,South,SKU-202,310,281,281,58089.87,39340.0,2904.49,1697.13,820.62,18749.87,Actual
105,202604,CH03,South,SKU-203,317,286,286,40284.55,24310.0,2014.23,1449.77,0,15974.55,Actual
106,202604,CH03,South,SKU-301,332,323,323,52534.98,30685.0,2626.75,1114.87,0,21849.98,Actual
107,202604,CH03,South,SKU-302,310,283,283,26063.25,15565.0,1303.16,630.39,453.75,10498.25,Actual
108,202604,CH03,South,SKU-303,249,233,233,45454.63,29125.0,2272.73,1588.61,487.89,16329.63,Actual
109,202604,CH03,South,SKU-401,309,290,290,109644.26,63800.0,5482.21,3359.75,0,45844.26,Actual
110,202604,CH03,South,SKU-402,295,271,271,37081.4,23035.0,1854.07,941.31,0,14046.4,Actual
111,202604,CH03,East,SKU-101,317,290,290,53822.51,34800.0,4305.8,1428.98,0,19022.51,Actual
112,202604,CH03,East,SKU-102,296,282,282,82641.23,50760.0,6611.3,2957.19,0,31881.23,Actual
