Period,FY_Year,Quarter,Chain,Source_Chain,Chain_Promo_Lakh,Rate_Diff_Lakh,Freight_Lakh,Incentive_Lakh,Off_Invoice_Lakh,Visibility_Lakh,Total_Claim_Lakh
Apr-Jun 2026,FY27,Q1,AirPlaza,AirPlaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apr-Jun 2026,FY27,Q1,Apollo,Apollo,0.0,21.7167,0.0,0.0,0.4734,0.0,22.1901
Apr-Jun 2026,FY27,Q1,Arambagh,Arambagh,0.0,5.4335,0.0,0.0,0.0,0.0,5.4335
Apr-Jun 2026,FY27,Q1,DMart,D-Mart,0.9762,123.0231,0.1336,0.0,0.0,0.0,124.133
Apr-Jun 2026,FY27,Q1,Beauty & Nutrition,Beauty & Nutrition,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apr-Jun 2026,FY27,Q1,Combined Charge,Combined Charge,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apr-Jun 2026,FY27,Q1,Frankross,Frankross,1.7343,-0.1027,0.0,0.0,0.0,0.0,1.6316
Apr-Jun 2026,FY27,Q1,Fleet Labs,FLEET LABS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apr-Jun 2026,FY27,Q1,GHL Pharma,GHL Pharma & Diagnostic Pvt Ltd,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apr-Jun 2026,FY27,Q1,Health & Glow,Health & Glow,4.755,13.6359,0.0,0.0,4.7689,1.336,24.4959
Apr-Jun 2026,FY27,Q1,Lulu,Lulu,58.1821,27.2815,0.0,0.0,0.0,33.4511,118.9147
Apr-Jun 2026,FY27,Q1,Merabo Labs,MERABO LABS PRIVATE LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apr-Jun 2026,FY27,Q1,More Retail,More Retail,5.6628,11.0786,0.0,0.0,11.4671,3.6816,31.89
Apr-Jun 2026,FY27,Q1,Ratnadeep,RATNADEEP RETAIL PVT LTD,0.0,3.9622,0.0,0.0,0.0,0.0,3.9622
Apr-Jun 2026,FY27,Q1,Reliance Retail,Reliance Retail,0.0,86.3163,1.5676,0.0,0.0,0.0,87.8839
Apr-Jun 2026,FY27,Q1,Sumo Save,SUMOSAVE,0.0,2.0542,0.0,0.0,0.0,0.0,2.0542
Apr-Jun 2026,FY27,Q1,Sastasundar,Sastasundar,0.0,-0.2628,0.0,0.0,0.0,0.0,-0.2628
Apr-Jun 2026,FY27,Q1,Spar,Spar,0.0,-0.0205,0.0,0.0,0.0,0.0,-0.0205
Apr-Jun 2026,FY27,Q1,Spencer's,Spencer's,1.972,5.9729,0.0,0.0,0.0,0.0,7.9449
Apr-Jun 2026,FY27,Q1,Transportation,Transportation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apr-Jun 2026,FY27,Q1,Trilife,Trilife,0.0,-0.0384,0.0,0.0,0.0,0.0,-0.0384
Apr-Jun 2026,FY27,Q1,Unspecified,Unspecified / Review,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apr-Jun 2026,FY27,Q1,Vishal Mega Mart,Vishal Mega Mart,3.0457,13.766,2.5598,0.0,0.1857,0.0,19.5573
