Period,FY_Year,Quarter,Distributor,Source_Name,Apr_Lakh,May_Lakh,Jun_Lakh,Total_Claim_Lakh
Apr-Jun 2026,FY27,Q1,AZ Enterprises,A Z Enterprises,37.6388,31.282,19.9102,88.8309
Apr-Jun 2026,FY27,Q1,Balaji,Balaji Associates,15.2761,13.6272,17.3837,46.2869
Apr-Jun 2026,FY27,Q1,Choudhary Enterprises,CHOUDHARY ENTERPRISES,0.0,0.0,0.3052,0.3052
Apr-Jun 2026,FY27,Q1,Chhabra Traders,Chhabra Traders,14.0613,11.7061,0.0,25.7673
Apr-Jun 2026,FY27,Q1,DL Sales,D.L. Sales,13.2332,10.1982,8.7813,32.2127
Apr-Jun 2026,FY27,Q1,Just Mark,Just Mark,0.0,0.0,0.0,0.0
Apr-Jun 2026,FY27,Q1,Kiran Trading,Kiran Trading Co.,0.0,0.0,0.0,0.0
Apr-Jun 2026,FY27,Q1,Kottaram,Kottaram,0.0,0.0,26.528,26.528
Apr-Jun 2026,FY27,Q1,Mark Enterprises,Mark Enterprises,0.109,0.2157,0.2024,0.527
Apr-Jun 2026,FY27,Q1,Pragati Sales,Pragati Sales,0.0,0.0,0.2256,0.2256
Apr-Jun 2026,FY27,Q1,RR Traders,R R Traders,0.0886,0.2668,0.0,0.3554
Apr-Jun 2026,FY27,Q1,RealTime,Real Time Logistics,2.5344,0.5859,1.2139,4.3343
Apr-Jun 2026,FY27,Q1,Sai Saachi,Sai Saachi Associates,1.6703,0.5389,0.462,2.6711
Apr-Jun 2026,FY27,Q1,Sancus Networks Pvt Ltd.,Sancus Network,14.4574,14.4372,15.34,44.2346
Apr-Jun 2026,FY27,Q1,Sehaj Enterprises,Sehaj Enterprises,0.0148,0.0479,0.0221,0.0848
Apr-Jun 2026,FY27,Q1,SVDA,Sri Vijaya Durga Agencies,67.4121,47.3294,62.547,177.2886
Apr-Jun 2026,FY27,Q1,Srijan,Srijan Enterprises,0.694,0.0,0.0,0.694
Apr-Jun 2026,FY27,Q1,United Marketing,United Marketing,0.2995,0.2296,0.1735,0.7025
Apr-Jun 2026,FY27,Q1,VA,Venkateshwara Agencies,16.1519,16.3931,20.7905,53.3355
