Chain,Total_Articles,Brands_Carried,Chain_Total_NSV_Lakh
DMART,10432,4,8454.17
RELIANCE RETAIL,13040,5,6381.9
APOLLO PHARMACY,7824,3,2127.76
NYKAA SS(FSN),10432,4,1490.78
WELLNESS FOREVER,1280,4,990.19
HEALTH & GLOW,800,4,797.35
METRO-CNC-RRL,10432,4,699.6
LULU HYPERMARKET,1062,3,475.36
RMT-SANCUS,10432,4,332.88
MORE RETAIL,204,3,270.77
WALMART CNC,43,1,255.19
SPENCER,312,4,216.85
VMM,40,1,186.3
SARVANA,2608,1,81.46
V-MART,65,1,75.12
POTHYS,7824,3,69.65
RATNADEEP SUPERMARKET,2608,1,69.17
ASCENT WELLNESS,5216,2,60.93
EREMEDIUM,2608,1,44.0
TRENT,14,1,42.08
VIJETHA SUPERMARKET,2608,1,37.06
B&N,10432,4,33.07
GRACE SUPER MKT,2608,1,30.92
GUARDIAN PHARMACY,291,3,18.08
ARAMBAGH,52,1,16.21
WH-SMITH,222,2,16.21
MAX HYPER,2608,1,15.65
FRANKROSS,7824,3,13.25
APNA KLUB,5216,2,7.61
SOHUM SHOPPE,2608,1,6.63
RELAY,5216,2,4.34
SHUBHAM K MART,2608,1,1.37
TRILIFE,7824,3,1.25
G N R C MEDISHOP PVT LTD,2608,1,0.98
HYPER GROCER,2608,1,0.28
NAO GROCERY,2608,1,0.28
SASTA SUNDER,2608,1,0.19
