col0,Unique,Zone,State,City,SO/ASE Emp Code,SO/ASE Name,Chain Name,Store Type,DC Code,DC Name,Internal Code,Site Code,Site Name,Article,Article_1,EAN,Chain Article Description,Net Weight,Description as per Fountain,Brand,Category,Sub_category,Range,MRP,Sales Qty,MRP Sales Value,NSV,Per pc,With Tax,L,Revised Month,Month,Year,PPT Category,MRP 2,M-Value,MRP In Lac
,Shoppers stop 130,North,Delhi,Noida,,,Shoppers stop ,Non BA Counter,,,,130.0,SSL-GIP NOIDA( 130 ),,,8906087772897.0,BhringAmla Shampoo with Bhringraj & Amla for Intense Hair Treatment Ã¯Â¿Â½ 250 ml,250.0,BhringAmla Shampoo with Bhringraj & Amla for Intense Hair Treatment Ã¯Â¿Â½ 250 ml,Mamaearth,Hair,Shampoo,Bhringamla,310.0,1.0,310.0,0.0018027238095238095,310.0,,0.3894,45870.0,August,2025.0,Shampoo,310.0,310.0,0.0031
,Shoppers stop 150,West,Maharashtra,Aurangabad,,,Shoppers stop ,Non BA Counter,,,,150.0,SSL-CHHATRAPATI SAMBHAJINAGAR( 150 ),,,8904417311549.0,Beetroot Gentle Face Wash 100 ml,100.0,Beetroot Gentle Face Wash 100 ml,Mamaearth,Face,Face Cleanser,Beetroot,285.0,1.0,285.0,0.0014747542372881358,285.0,,0.3894,45870.0,August,2025.0,Face Cleanser,285.0,285.0,0.00285
,Shoppers stop 150,West,Maharashtra,Aurangabad,,,Shoppers stop ,Non BA Counter,,,,150.0,SSL-CHHATRAPATI SAMBHAJINAGAR( 150 ),,,8904417312171.0,Beetroot Daily Glow face Cream 80 g,80.0,Beetroot Daily Glow face Cream 80 g,Mamaearth,Face,Face Cream,Beetroot,249.0,1.0,249.0,0.0012884694915254239,249.0,,0.3894,45870.0,August,2025.0,Others Face,249.0,249.0,0.00249
,Shoppers stop 150,West,Maharashtra,Aurangabad,,,Shoppers stop ,Non BA Counter,,,,150.0,SSL-CHHATRAPATI SAMBHAJINAGAR( 150 ),,,8906087772378.0,Onion Hair Serum with Onion & Biotin for Strong Frizz-Free Hair Ã¯Â¿Â½ 100 ml,100.0,Onion Hair Serum with Onion & Biotin for Strong Frizz-Free Hair Ã¯Â¿Â½ 100 ml,Mamaearth,Hair,Hair Serum,Onion,299.0,2.0,598.0,0.003094396610169492,299.0,,0.3894,45870.0,August,2025.0,Other Hair,299.0,598.0,0.00598
,Shoppers stop 150,West,Maharashtra,Aurangabad,,,Shoppers stop ,Non BA Counter,,,,150.0,SSL-CHHATRAPATI SAMBHAJINAGAR( 150 ),,,8906087772859.0,Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination Ã¯Â¿Â½ 100ml,100.0,Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination Ã¯Â¿Â½ 100ml,Mamaearth,Face,Face Cleanser,Vitamin C,285.0,1.0,285.0,0.0014747542372881358,285.0,,0.3894,45870.0,August,2025.0,Face Cleanser,285.0,285.0,0.00285
,Shoppers stop 150,West,Maharashtra,Aurangabad,,,Shoppers stop ,Non BA Counter,,,,150.0,SSL-CHHATRAPATI SAMBHAJINAGAR( 150 ),,,8906087773115.0,Vitamin C Foaming Face Wash,150.0,Vitamin C Foaming Face Wash,Mamaearth,Face,Face Cleanser,Vitamin C,399.0,1.0,399.0,0.00206465593220339,399.0,,0.3894,45870.0,August,2025.0,Face Cleanser,399.0,399.0,0.00399
,Shoppers stop 150,West,Maharashtra,Aurangabad,,,Shoppers stop ,Non BA Counter,,,,150.0,SSL-CHHATRAPATI SAMBHAJINAGAR( 150 ),,,8906087774259.0,Mamaearth Tea Tree Foaming Face Wash 150 ml,150.0,Mamaearth Tea Tree Foaming Face Wash 150 ml,Mamaearth,Face,Face Cleanser,Tea Tree,399.0,1.0,399.0,0.00206465593220339,399.0,,0.3894,45870.0,August,2025.0,Face Cleanser,399.0,399.0,0.00399
,Shoppers stop 150,West,Maharashtra,Aurangabad,,,Shoppers stop ,Non BA Counter,,,,150.0,SSL-CHHATRAPATI SAMBHAJINAGAR( 150 ),,,8906087775522.0,Vitamin C Oil-Free Face Moisturizer 80 g,80.0,Vitamin C Oil-Free Face Moisturizer 80 g,Mamaearth,Face,Moisturisers,Vitamin C,319.0,1.0,319.0,0.001650689830508475,319.0,,0.3894,45870.0,August,2025.0,Others Face,319.0,319.0,0.00319
,Shoppers stop 167,East,West Bengal,Siliguri,,,Shoppers stop ,Non BA Counter,,,,167.0,SSL-SILIGURI( 167 ),,,8904417300604.0,3% Kojic Acid Dark Spot Corrector,30.0,3% Kojic Acid Dark Spot Corrector,The Derma Co.,Face,Face Gel,Kojic Acid,499.0,1.0,499.0,0.0025821135593220345,499.0,,0.3894,45870.0,August,2025.0,Others,499.0,499.0,0.00499
,Shoppers stop 167,East,West Bengal,Siliguri,,,Shoppers stop ,Non BA Counter,,,,167.0,SSL-SILIGURI( 167 ),,,8904417312799.0,SkinRenew Peptide Hydrating Toner,100.0,SkinRenew Peptide Hydrating Toner,The Derma Co.,Face,Face Toner,SkinRenew,599.0,1.0,599.0,0.0030995711864406786,599.0,,0.3894,45870.0,August,2025.0,Others,599.0,599.0,0.00599
