col0,Unique,Zone,State,City,SO/ASE Emp Code,SO/ASE Name,Chain Name,Store Type,DC Code,DC Name,Internal Code,Site Code,Site Name,Article,Article_1,EAN,Chain Article Description,Net Weight,Description as per Fountain,Brand,Category,Sub_category,Range,MRP,Sales Qty,MRP Sales Value,NSV,Per pc,With Tax,L,Revised Month,Month,Year,PPT Category,MRP 2,M-Value,MRP In Lac
,Shoppers stop 127,North,Delhi,Delhi ,,,Shoppers stop ,Non BA Counter,,,,127.0,SSL-MGF SAKET( 127 ),,,8904417314779.0,TDC C-Cinamide Radiance Sunscreen Aqua Gel 80g,80.0,TDC C-Cinamide Radiance Sunscreen Aqua Gel 80g,The Derma Co.,Face,Sun Care,C-Cinamide,799.0,1.0,799.0,0.004134486440677967,799.0,,0.3894,46054.0,FEB ,2026.0,Suncare,799.0,799.0,0.00799
,Shoppers stop 127,North,Delhi,Delhi ,,,Shoppers stop ,Non BA Counter,,,,127.0,SSL-MGF SAKET( 127 ),,,8904417302073.0,SS 5 MIN s HC-C Dark BROWN(20 ml * 5),100.0,SS 5 MIN s HC-C Dark BROWN(20 ml * 5),BBLUNT,Hair Colour,5 Minute Shampoo,Salon Secret,299.0,1.0,299.0,0.001547198305084746,299.0,,0.3894,46054.0,FEB ,2026.0,BBLUNT,299.0,299.0,0.00299
,Shoppers stop 127,North,Delhi,Delhi ,,,Shoppers stop ,Non BA Counter,,,,127.0,SSL-MGF SAKET( 127 ),,,8904417306163.0,C-Cinamide R Sunscreen AquaGel 50g,50.0,C-Cinamide R Sunscreen AquaGel 50g,The Derma Co.,Face,Sun Care,C-Cinamide,499.0,1.0,499.0,0.0025821135593220345,499.0,,0.3894,46054.0,FEB ,2026.0,Suncare,499.0,499.0,0.00499
,Shoppers stop 127,North,Delhi,Delhi ,,,Shoppers stop ,Non BA Counter,,,,127.0,SSL-MGF SAKET( 127 ),,,8904417307771.0,2% Vitamin C Gel Daily Face Wash 80 ml,80.0,2% Vitamin C Gel Daily Face Wash 80 ml,The Derma Co.,Face,Face Cleanser,Vitamin C,249.0,1.0,249.0,0.0012884694915254239,249.0,,0.3894,46054.0,FEB ,2026.0,Face Cleanser,249.0,249.0,0.00249
,Shoppers stop 127,North,Delhi,Delhi ,,,Shoppers stop ,Non BA Counter,,,,127.0,SSL-MGF SAKET( 127 ),,,8904417316933.0,TDC 5% Nia- Ceramide Daily Hydrating Moisturizer,100.0,TDC 5% Nia- Ceramide Daily Hydrating Moisturizer,The Derma Co.,Face,Moisturisers,Nia-Ceramide,449.0,1.0,449.0,0.002323384745762712,449.0,,0.3894,46054.0,FEB ,2026.0,Others,449.0,449.0,0.00449
,Shoppers stop 127,North,Delhi,Delhi ,,,Shoppers stop ,Non BA Counter,,,,127.0,SSL-MGF SAKET( 127 ),,,8906087772095.0,Ultra Matte Sunscreen Gel 50gm,50.0,Ultra Matte Sunscreen Gel 50gm,The Derma Co.,Face,Sun Care,Zinc,699.0,1.0,699.0,0.0036170288135593228,699.0,,0.3894,46054.0,FEB ,2026.0,Suncare,699.0,699.0,0.00699
,Shoppers stop 127,North,Delhi,Delhi ,,,Shoppers stop ,Non BA Counter,,,,127.0,SSL-MGF SAKET( 127 ),,,8906087772460.0,Ubtan Face Scrub with Turmeric & Walnut for Tan Removal - 100g,100.0,Ubtan Face Scrub with Turmeric & Walnut for Tan Removal - 100g,Mamaearth,Face,Face Scrub,Ubtan,349.0,1.0,349.0,0.001805927118644068,349.0,,0.3894,46054.0,FEB ,2026.0,Others Face,349.0,349.0,0.00349
,Shoppers stop 127,North,Delhi,Delhi ,,,Shoppers stop ,Non BA Counter,,,,127.0,SSL-MGF SAKET( 127 ),,,8906087779292.0,Oil-Free Daily Face Moisturizer,100.0,Oil-Free Daily Face Moisturizer,The Derma Co.,Face,Moisturisers,Hyaluronic Acid,349.0,1.0,349.0,0.001805927118644068,349.0,,0.3894,46054.0,FEB ,2026.0,Others,349.0,349.0,0.00349
,Shoppers stop 127,North,Delhi,Delhi ,,,Shoppers stop ,Non BA Counter,,,,127.0,SSL-MGF SAKET( 127 ),,,8904417306231.0,1% Hyaluronic Sunscreen Aqua Gel 80g,80.0,1% Hyaluronic Sunscreen Aqua Gel 80g,The Derma Co.,Face,Sun Care,Hyaluronic Acid,649.0,1.0,649.0,0.0033583000000000003,649.0,,0.3894,46054.0,FEB ,2026.0,Suncare,649.0,649.0,0.00649
,Shoppers stop 127,North,Delhi,Delhi ,,,Shoppers stop ,Non BA Counter,,,,127.0,SSL-MGF SAKET( 127 ),,,8904417308495.0,Radiance+ OFM 100gms,100.0,Radiance+ OFM 100gms,Aqualogica,Face,Moisturisers,Radiance+,399.0,1.0,399.0,0.00206465593220339,399.0,,0.3894,46054.0,FEB ,2026.0,Aqualogica,399.0,399.0,0.00399
,Shoppers stop 127,North,Delhi,Delhi ,,,Shoppers stop ,Non BA Counter,,,,127.0,SSL-MGF SAKET( 127 ),,,8904417319538.0,TDC 1% Hyaluronic Sunscreen Oil-Free Gel,50.0,TDC 1% Hyaluronic Sunscreen Oil-Free Gel,The Derma Co.,Face,Sun Care,Hyaluronic Acid,499.0,1.0,499.0,0.0025821135593220345,499.0,,0.3894,46054.0,FEB ,2026.0,Suncare,499.0,499.0,0.00499
,Shoppers stop 127,North,Delhi,Delhi ,,,Shoppers stop ,Non BA Counter,,,,127.0,SSL-MGF SAKET( 127 ),,,8906087775607.0,10% Vitamin C Face Serum 30ml,30.0,10% Vitamin C Face Serum 30ml,The Derma Co.,Face,Face Serum,Vitamin C,649.0,1.0,649.0,0.0033583000000000003,649.0,,0.3894,46054.0,FEB ,2026.0,Face Serum,649.0,649.0,0.00649
