col0,Unique,Zone,State,City,SO/ASE Emp Code,SO/ASE Name,Chain Name,Store Type,DC Code,DC Name,Internal Code,Site Code,Site Name,Article,Article_1,EAN,Chain Article Description,Net Weight,Description as per Fountain,Brand,Category,Sub_category,Range,MRP,Sales Qty,MRP Sales Value,NSV,Per pc,With Tax,L,Revised Month,Month,Year,PPT Category,MRP 2,M-Value,MRP In Lac
,Shoppers stop 130,North,Delhi,Noida,,,Shoppers stop ,Non BA Counter,,,,130.0,SSL-GIP NOIDA( 130 ),,,8904417312133.0,Beetroot Hydraful Moisturizer 50 ml,50.0,Beetroot Hydraful Moisturizer 50 ml,Mamaearth,Face,Moisturisers,Beetroot,349.0,1.0,349.0,0.001805927118644068,349.0,,0.3894,45839.0,July,2025.0,Others Face,349.0,349.0,0.00349
,Shoppers stop 130,North,Delhi,Noida,,,Shoppers stop ,Non BA Counter,,,,130.0,SSL-GIP NOIDA( 130 ),,,8906087774617.0,Mamaearth Retinol Face Wash 100ml,100.0,Mamaearth Retinol Face Wash 100ml,Mamaearth,Face,Face Cleanser,Retinol,299.0,3.0,897.0,0.004641594915254238,299.0,,0.3894,45839.0,July,2025.0,Face Cleanser,299.0,897.0,0.00897
,Shoppers stop 130,North,Delhi,Noida,,,Shoppers stop ,Non BA Counter,,,,130.0,SSL-GIP NOIDA( 130 ),,,8906087775713.0,1% Hyaluronic Sunscreen Aqua Gel,50.0,1% Hyaluronic Sunscreen Aqua Gel,The Derma Co.,Face,Sun Care,Hyaluronic Acid,499.0,1.0,499.0,0.0025821135593220345,499.0,,0.3894,45839.0,July,2025.0,Suncare,499.0,499.0,0.00499
,Shoppers stop 130,North,Delhi,Noida,,,Shoppers stop ,Non BA Counter,,,,130.0,SSL-GIP NOIDA( 130 ),,,8906087778554.0,The Derma Co. 10% Cica-Glow Face Serum 30ml,30.0,The Derma Co. 10% Cica-Glow Face Serum 30ml,The Derma Co.,Face,Face Serum,Cica,599.0,1.0,599.0,0.0030995711864406786,599.0,,0.3894,45839.0,July,2025.0,Face Serum,599.0,599.0,0.00599
,Shoppers stop 150,West,Maharashtra,Aurangabad,,,Shoppers stop ,Non BA Counter,,,,150.0,SSL-CHHATRAPATI SAMBHAJINAGAR( 150 ),,,8904417301649.0,1% Salicylic Acid Daily E Body S Lotion,250.0,1% Salicylic Acid Daily E Body S Lotion,The Derma Co.,Body,Body Lotion,Salicylic Acid,399.0,1.0,399.0,0.00206465593220339,399.0,,0.3894,45839.0,July,2025.0,Others,399.0,399.0,0.00399
,Shoppers stop 150,West,Maharashtra,Aurangabad,,,Shoppers stop ,Non BA Counter,,,,150.0,SSL-CHHATRAPATI SAMBHAJINAGAR( 150 ),,,8906087772057.0,20% Vitamin C Serum 20 ml,20.0,20% Vitamin C Serum 20 ml,The Derma Co.,Face,Face Serum,Vitamin C,899.0,1.0,899.0,0.00465194406779661,899.0,,0.3894,45839.0,July,2025.0,Face Serum,899.0,899.0,0.00899
,Shoppers stop 150,West,Maharashtra,Aurangabad,,,Shoppers stop ,Non BA Counter,,,,150.0,SSL-CHHATRAPATI SAMBHAJINAGAR( 150 ),,,8906087778608.0,The Derma Co. 1% Salicylic Acid Daily Exfoliating Body Wash,250.0,The Derma Co. 1% Salicylic Acid Daily Exfoliating Body Wash,The Derma Co.,Body,Body Wash,Salicylic Acid,349.0,1.0,349.0,0.001805927118644068,349.0,,0.3894,45839.0,July,2025.0,Others,349.0,349.0,0.00349
,Shoppers stop 167,East,West Bengal,Siliguri,,,Shoppers stop ,Non BA Counter,,,,167.0,SSL-SILIGURI( 167 ),,,8906087771326.0,Ubtan Face Mask for Skin Lightening & Brightening 100ml,100.0,Ubtan Face Mask for Skin Lightening & Brightening 100ml,Mamaearth,Face,Face Masks,Ubtan,399.0,1.0,399.0,0.00206465593220339,399.0,,0.3894,45839.0,July,2025.0,Others Face,399.0,399.0,0.00399
,Shoppers stop 167,East,West Bengal,Siliguri,,,Shoppers stop ,Non BA Counter,,,,167.0,SSL-SILIGURI( 167 ),,,8906087772941.0,HydraGel Indian Sunscreen with Aloe Vera & Raspberry for Sun Protection - 50 g,50.0,HydraGel Indian Sunscreen with Aloe Vera & Raspberry for Sun Protection - 50 g,Mamaearth,Face,Sun Care,Aloe Vera,399.0,1.0,399.0,0.00206465593220339,399.0,,0.3894,45839.0,July,2025.0,Sun Care,399.0,399.0,0.00399
,Shoppers stop 167,East,West Bengal,Siliguri,,,Shoppers stop ,Non BA Counter,,,,167.0,SSL-SILIGURI( 167 ),,,8906087775089.0,Rice Water Shampoo 250 ml,250.0,Rice Water Shampoo 250 ml,Mamaearth,Hair,Shampoo,Rice,310.0,1.0,310.0,0.0018027238095238095,310.0,,0.3894,45839.0,July,2025.0,Shampoo,310.0,310.0,0.0031
