col0,Unique,Zone,State,City,SO/ASE Emp Code,SO/ASE Name,Chain Name,Store Type,DC Code,DC Name,Internal Code,Site Code,Site Name,Article,Article_1,EAN,Chain Article Description,Net Weight,Description as per Fountain,Brand,Category,Sub_category,Range,MRP,Sales Qty,MRP Sales Value,NSV,Per pc,With Tax,L,Revised Month,Month,Year,PPT Category,MRP 2,M-Value,MRP In Lac
,SSL330,North,Uttarakhand,Dehradun,,,Shoppers stop ,Non Brand Counter ,,,,330.0,Shopper Stop Ltd Unison Mall D,S23DERMA778608,S23DERMA778608,8906087778608.0,The Derma Co. 1% Salicylic Acid Daily Exfoliating Body Wash,250.0,The Derma Co. 1% Salicylic Acid Daily Exfoliating Body Wash,The Derma Co.,Body,Body Wash,Salicylic Acid,349.0,3.0,1047.0,0.005417781355932205,,,0.3894,46174.0,Jun,2026.0,,349.0,1047.0,0.01047
,SSL167,East,West Bengal,Siliguri,,,Shoppers stop ,Non Brand Counter ,,,,167.0,SSL-SILIGURI,S23DERMA778608,S23DERMA778608,8906087778608.0,The Derma Co. 1% Salicylic Acid Daily Exfoliating Body Wash,250.0,The Derma Co. 1% Salicylic Acid Daily Exfoliating Body Wash,The Derma Co.,Body,Body Wash,Salicylic Acid,349.0,3.0,1047.0,0.005417781355932205,,,0.3894,46174.0,Jun,2026.0,,349.0,1047.0,0.01047
,SSL127,North,Delhi,Delhi NCR,,,Shoppers stop ,Non Brand Counter ,,,,127.0,SSL-MGF SAKET,S23DERMA778608,S23DERMA778608,8906087778608.0,The Derma Co. 1% Salicylic Acid Daily Exfoliating Body Wash,250.0,The Derma Co. 1% Salicylic Acid Daily Exfoliating Body Wash,The Derma Co.,Body,Body Wash,Salicylic Acid,349.0,1.0,349.0,0.001805927118644068,,,0.3894,46174.0,Jun,2026.0,,349.0,349.0,0.00349
,SSL130,North,Delhi,Delhi NCR,,,Shoppers stop ,Non Brand Counter ,,,,130.0,SSL-GIP NOIDA,S23DERMA778608,S23DERMA778608,8906087778608.0,The Derma Co. 1% Salicylic Acid Daily Exfoliating Body Wash,250.0,The Derma Co. 1% Salicylic Acid Daily Exfoliating Body Wash,The Derma Co.,Body,Body Wash,Salicylic Acid,349.0,1.0,349.0,0.001805927118644068,,,0.3894,46174.0,Jun,2026.0,,349.0,349.0,0.00349
,SSL312,East,Jharkhand,Ranchi,,,Shoppers stop ,Non Brand Counter ,,,,312.0,SSL-RANCHI,S23DERMA778608,S23DERMA778608,8906087778608.0,The Derma Co. 1% Salicylic Acid Daily Exfoliating Body Wash,250.0,The Derma Co. 1% Salicylic Acid Daily Exfoliating Body Wash,The Derma Co.,Body,Body Wash,Salicylic Acid,349.0,2.0,698.0,0.003611854237288136,,,0.3894,46174.0,Jun,2026.0,,349.0,698.0,0.00698
,SSL314,East,Northeast,Guwahati,,,Shoppers stop ,Non Brand Counter ,,,,314.0,SSL-GUWAHATI CITY CENTER,S23DERMA778608,S23DERMA778608,8906087778608.0,The Derma Co. 1% Salicylic Acid Daily Exfoliating Body Wash,250.0,The Derma Co. 1% Salicylic Acid Daily Exfoliating Body Wash,The Derma Co.,Body,Body Wash,Salicylic Acid,349.0,2.0,698.0,0.003611854237288136,,,0.3894,46174.0,Jun,2026.0,,349.0,698.0,0.00698
,SSL8524,East,Northeast,SHILONG,,,Shoppers stop ,Non Brand Counter ,,,,8524.0,SSL- SHILONG,S23DERMA778608,S23DERMA778608,8906087778608.0,The Derma Co. 1% Salicylic Acid Daily Exfoliating Body Wash,250.0,The Derma Co. 1% Salicylic Acid Daily Exfoliating Body Wash,The Derma Co.,Body,Body Wash,Salicylic Acid,349.0,1.0,349.0,0.001805927118644068,,,0.3894,46174.0,Jun,2026.0,,349.0,349.0,0.00349
,SSL127,North,Delhi,Delhi NCR,,,Shoppers stop ,Non Brand Counter ,,,,127.0,SSL-MGF SAKET,S23DERMA775607,S23DERMA775607,8906087775607.0,10% Vitamin C Face Serum 30ml,30.0,10% Vitamin C Face Serum 30ml,The Derma Co.,Face,Face Serum,Vitamin C,699.0,1.0,699.0,0.0036170288135593228,,,0.3894,46174.0,Jun,2026.0,,699.0,699.0,0.00699
,SSL150,West,Maharashtra,Aurangabad,,,Shoppers stop ,Non Brand Counter ,,,,150.0,SSL-AURANGABAD,S23DERMA775607,S23DERMA775607,8906087775607.0,10% Vitamin C Face Serum 30ml,30.0,10% Vitamin C Face Serum 30ml,The Derma Co.,Face,Face Serum,Vitamin C,699.0,1.0,699.0,0.0036170288135593228,,,0.3894,46174.0,Jun,2026.0,,699.0,699.0,0.00699
,SSL167,East,West Bengal,Siliguri,,,Shoppers stop ,Non Brand Counter ,,,,167.0,SSL-SILIGURI,S23DERMA775607,S23DERMA775607,8906087775607.0,10% Vitamin C Face Serum 30ml,30.0,10% Vitamin C Face Serum 30ml,The Derma Co.,Face,Face Serum,Vitamin C,699.0,2.0,1398.0,0.0072340576271186455,,,0.3894,46174.0,Jun,2026.0,,699.0,1398.0,0.01398
,SSL280,North,Rajasthan,Jaipur,,,Shoppers stop ,Non Brand Counter ,,,,280.0,SSL-UPASNA PLAZA JAIPUR,S23DERMA775607,S23DERMA775607,8906087775607.0,10% Vitamin C Face Serum 30ml,30.0,10% Vitamin C Face Serum 30ml,The Derma Co.,Face,Face Serum,Vitamin C,699.0,1.0,699.0,0.0036170288135593228,,,0.3894,46174.0,Jun,2026.0,,699.0,699.0,0.00699
,SSL312,East,Jharkhand,Ranchi,,,Shoppers stop ,Non Brand Counter ,,,,312.0,SSL-RANCHI,S23DERMA775607,S23DERMA775607,8906087775607.0,10% Vitamin C Face Serum 30ml,30.0,10% Vitamin C Face Serum 30ml,The Derma Co.,Face,Face Serum,Vitamin C,699.0,1.0,699.0,0.0036170288135593228,,,0.3894,46174.0,Jun,2026.0,,699.0,699.0,0.00699
,SSL314,East,Northeast,Guwahati,,,Shoppers stop ,Non Brand Counter ,,,,314.0,SSL-GUWAHATI CITY CENTER,S23DERMA775607,S23DERMA775607,8906087775607.0,10% Vitamin C Face Serum 30ml,30.0,10% Vitamin C Face Serum 30ml,The Derma Co.,Face,Face Serum,Vitamin C,699.0,2.0,1398.0,0.0072340576271186455,,,0.3894,46174.0,Jun,2026.0,,699.0,1398.0,0.01398
,SSL330,North,Uttarakhand,Dehradun,,,Shoppers stop ,Non Brand Counter ,,,,330.0,Shopper Stop Ltd Unison Mall D,S23DERMA775607,S23DERMA775607,8906087775607.0,10% Vitamin C Face Serum 30ml,30.0,10% Vitamin C Face Serum 30ml,The Derma Co.,Face,Face Serum,Vitamin C,699.0,1.0,699.0,0.0036170288135593228,,,0.3894,46174.0,Jun,2026.0,,699.0,699.0,0.00699
