col0,Unique,Zone,State,City,SO/ASE Emp Code,SO/ASE Name,Chain Name,Store Type,DC Code,DC Name,Internal Code,Site Code,Site Name,Article,Article_1,EAN,Chain Article Description,Net Weight,Description as per Fountain,Brand,Category,Sub_category,Range,MRP,Sales Qty,MRP Sales Value,NSV,Per pc,With Tax,L,Revised Month,Month,Year,PPT Category,MRP 2,M-Value,MRP In Lac
,Shoppers stop 8543,North,Uttar Pradesh,BAREILLY,,,Shoppers stop ,Non Brand Counter ,,,,8543.0,SHOPPERS STOP LIMITED CITY CEN,,,8906087775713.0,1 HYALURONIC SUNSCREEN AQUA GEL 50 G.,50.0,1% Hyaluronic Sunscreen Aqua Gel,The Derma Co.,Face,Sun Care,Hyaluronic Acid,499.0,1.0,499.0,0.0025821135593220345,,,0.3894,46082.0,Mar,2026.0,,499.0,499.0,0.00499
,Shoppers stop 8543,North,Uttar Pradesh,BAREILLY,,,Shoppers stop ,Non Brand Counter ,,,,8543.0,SHOPPERS STOP LIMITED CITY CEN,,,8906087775713.0,1 HYALURONIC SUNSCREEN AQUA GEL 50 G.,50.0,1% Hyaluronic Sunscreen Aqua Gel,The Derma Co.,Face,Sun Care,Hyaluronic Acid,499.0,1.0,499.0,0.0025821135593220345,,,0.3894,46082.0,Mar,2026.0,,499.0,499.0,0.00499
,Shoppers stop 8543,North,Uttar Pradesh,BAREILLY,,,Shoppers stop ,Non Brand Counter ,,,,8543.0,SHOPPERS STOP LIMITED CITY CEN,,,8906087776437.0,1 SALICYLIC ACID GEL FACE WASH 30ML.,30.0,1% Salicylic Acid Gel Face Wash 30 ML,The Derma Co.,Face,Face Cleanser,Salicylic Acid,149.0,1.0,149.0,0.0007710118644067796,,,0.3894,46082.0,Mar,2026.0,,149.0,149.0,0.00149
,Shoppers stop 8543,North,Uttar Pradesh,BAREILLY,,,Shoppers stop ,Non Brand Counter ,,,,8543.0,SHOPPERS STOP LIMITED CITY CEN,,,8904417301076.0,SALICYLIC ACID FOAMING DAILY FACE WASH.,100.0,1% Salicylic Acid Foaming Daily FaceWash,The Derma Co.,Face,Face Cleanser,Salicylic Acid,349.0,1.0,349.0,0.001805927118644068,,,0.3894,46082.0,Mar,2026.0,,349.0,349.0,0.00349
,Shoppers stop 8543,North,Uttar Pradesh,BAREILLY,,,Shoppers stop ,Non Brand Counter ,,,,8543.0,SHOPPERS STOP LIMITED CITY CEN,,,8906087772019.0,3 AHABHA FOAMING DAILY FACE WASH 100ML.,100.0,3% AHA-BHA Foaming Face Wash 100ml,The Derma Co.,Face,Face Cleanser,AHA-BHA,349.0,1.0,349.0,0.001805927118644068,,,0.3894,46082.0,Mar,2026.0,,349.0,349.0,0.00349
,Shoppers stop 8543,North,Uttar Pradesh,BAREILLY,,,Shoppers stop ,Non Brand Counter ,,,,8543.0,SHOPPERS STOP LIMITED CITY CEN,,,8906087774495.0,2 SALICYLIC ACID MASK 50 G.,50.0,2% Salicylic Acid Mask,The Derma Co.,Face,Face Masks,Salicylic Acid,499.0,1.0,499.0,0.0025821135593220345,,,0.3894,46082.0,Mar,2026.0,,499.0,499.0,0.00499
,Shoppers stop 330,North,Uttarakhand,Dehradun,,,Shoppers stop ,Non Brand Counter ,,,,330.0,Shoppers Stop Ltd Unison Mall Dehra,,,8904417306224.0,GLOW DEWY SUNSCREEN 80GM.,80.0,AQ Glow+ Dewy Gel Sunscreen 80g with 2% C Hylauron + Papaya,Aqualogica,Face,Sun Care,Glow+,599.0,1.0,599.0,0.0030995711864406786,,,0.3894,46082.0,Mar,2026.0,,599.0,599.0,0.00599
,Shoppers stop 330,North,Uttarakhand,Dehradun,,,Shoppers stop ,Non Brand Counter ,,,,330.0,Shoppers Stop Ltd Unison Mall Dehra,,,8904417311389.0,ILLUMINATE DEWY SUNSCREEN SPF 50 PA 50G.,50.0,AQ illuminate+ Dewy Sunscreen Gel SPF 50+ PA+++++ 50g,Aqualogica,Face,Sun Care,Illuminate+,449.0,1.0,449.0,0.002323384745762712,,,0.3894,46082.0,Mar,2026.0,,449.0,449.0,0.00449
,Shoppers stop 330,North,Uttarakhand,Dehradun,,,Shoppers stop ,Non Brand Counter ,,,,330.0,Shoppers Stop Ltd Unison Mall Dehra,,,8904417311389.0,ILLUMINATE DEWY SUNSCREEN SPF 50 PA 50G.,50.0,AQ illuminate+ Dewy Sunscreen Gel SPF 50+ PA+++++ 50g,Aqualogica,Face,Sun Care,Illuminate+,449.0,2.0,898.0,0.004646769491525424,,,0.3894,46082.0,Mar,2026.0,,449.0,898.0,0.00898
,Shoppers stop 330,North,Uttarakhand,Dehradun,,,Shoppers stop ,Non Brand Counter ,,,,330.0,Shoppers Stop Ltd Unison Mall Dehra,,,8904417311389.0,ILLUMINATE DEWY SUNSCREEN SPF 50 PA 50G.,50.0,AQ illuminate+ Dewy Sunscreen Gel SPF 50+ PA+++++ 50g,Aqualogica,Face,Sun Care,Illuminate+,449.0,2.0,898.0,0.004646769491525424,,,0.3894,46082.0,Mar,2026.0,,449.0,898.0,0.00898
