col0,Unique,Zone,State,City,SO/ASE Emp Code,SO/ASE Name,Chain Name,Store Type,DC Code,DC Name,Internal Code,Site Code,Site Name,Article,Article_1,EAN,Chain Article Description,Net Weight,Description as per Fountain,Brand,Category,Sub_category,Range,MRP,Sales Qty,MRP Sales Value,NSV,Per pc,With Tax,L,Revised Month,Month,Year,PPT Category,MRP 2,M-Value,MRP In Lac
,Trends 4826,NORTH,Delhi,Delhi NCR,,,Trends ,Non Brand Counter,,,,4826.0,4826 - Delhi RIL Mal Dwarka,494412358,494412358,8904417310030.0,Mamaearth BeetrtTintd Natural LipBalm 2g,2.0,ME Beetroot Tinted 100%Natural LipBalm2g,Mamaearth,Face,Lip Balm,Beetroot,299.0,1.0,299.0,0.0017737288135593221,,,0.3,46143.0,May,2026.0,,299.0,299.0,299.0
,Trends 4826,NORTH,Delhi,Delhi NCR,,,Trends ,Non Brand Counter,,,,4826.0,4826 - Delhi RIL Mal Dwarka,493725491,493725491,8906087779292.0,THE DERMA COOILFREES MULTIVITAMINS 100G,100.0,Oil-Free Daily Face Moisturizer,The Derma Co.,Face,Moisturisers,Hyaluronic Acid,349.0,1.0,349.0,0.0021590677966101695,,,0.27,46143.0,May,2026.0,,349.0,349.0,349.0
,Trends 4826,NORTH,Delhi,Delhi NCR,,,Trends ,Non Brand Counter,,,,4826.0,4826 - Delhi RIL Mal Dwarka,494497550,494497550,8904417316056.0,TDc 2 SAcid Gel FaceWash Wt WHazel 100ml,100.0,TDC 2% Salicylic Acid Gel Face Wash,The Derma Co.,Face,Face Cleanser,Salicylic Acid,329.0,1.0,329.0,0.002035338983050847,,,0.27,46143.0,May,2026.0,,329.0,329.0,329.0
,Trends 4826,NORTH,Delhi,Delhi NCR,,,Trends ,Non Brand Counter,,,,4826.0,4826 - Delhi RIL Mal Dwarka,493725494,493725494,8906087779308.0,THE DERMA CO OILFREIVITAMINS FOR 100ML,100.0,Oil-Free Daily Face Wash,The Derma Co.,Face,Face Cleanser,Glycolic Acid,275.0,1.0,275.0,0.0017012711864406779,,,0.27,46143.0,May,2026.0,,275.0,275.0,275.0
,Trends 5943,WEST,Maharashtra,Mumbai,,,Trends ,Non Brand Counter,,,,5943.0,5943 - Mumbai InfinityMalad,494431966,494431966,8904417313192.0,AqualogicaRPerfumBdymistDewyflrlkis150ml,150.0,Refresh+ Perfume Body Mist- Dewy floral kiss 150ml,Aqualogica,Fragrance,Body Mist,Refresh+,499.0,1.0,499.0,0.0030870338983050847,,,0.27,46143.0,May,2026.0,,499.0,499.0,499.0
,Trends 5943,WEST,Maharashtra,Mumbai,,,Trends ,Non Brand Counter,,,,5943.0,5943 - Mumbai InfinityMalad,494431965,494431965,8904417313185.0,AqualogicaRPerfumBdymistSnkisdVanla150ml,150.0,Refresh+ Perfume Body Mist- Sun kissed vanilla 150ml,Aqualogica,Fragrance,Body Mist,Refresh+,499.0,1.0,499.0,0.0030870338983050847,,,0.27,46143.0,May,2026.0,,499.0,499.0,499.0
,Trends 5943,WEST,Maharashtra,Mumbai,,,Trends ,Non Brand Counter,,,,5943.0,5943 - Mumbai InfinityMalad,492506706,492506706,8906087776413.0,MAMAEARTH HYDRTNG AQGLW SNSCRNGL 50GMPET,50.0,Aqua Glow Hydrating Sunscreen Gel 50 g,Mamaearth,Face,Sun Care,Aqua,449.0,1.0,449.0,0.002663559322033898,,,0.3,46143.0,May,2026.0,,449.0,449.0,449.0
,Trends 8010,South 2,Telangana,Hyderabad,,,Trends ,Non Brand Counter,,,,8010.0,8010 - Hyderabad Kothapet,494410785,494410785,8904417311662.0,TheDermaCo Long Lasting Sunscreen 50g,50.0,1% Hyaluronic Long Lasting Sunscreen 50 g,The Derma Co.,Face,Sun Care,Hyaluronic Acid,649.0,1.0,649.0,0.004015,,,0.27,46143.0,May,2026.0,,649.0,649.0,649.0
,Trends 8035,NORTH,Delhi,Delhi NCR,,,Trends ,Non Brand Counter,,,,8035.0,8035 - Gurgaon Ambience Mal,494517634,494517634,8904417318777.0,AqualogcaGlwHydraGlMSTRZR WtVitCPpya100g,100.0,AQ Glow+ Hydra Gel Moisturizer,Aqualogica,Face,Moisturisers,Glow+,299.0,1.0,299.0,0.0018497457627118644,,,0.27,46143.0,May,2026.0,,299.0,299.0,299.0
,Trends 8035,NORTH,Delhi,Delhi NCR,,,Trends ,Non Brand Counter,,,,8035.0,8035 - Gurgaon Ambience Mal,491451926,491451926,8906087770671.0,MAMAEARTH UBTN T&S FW F TN RMVL100MLTUBE,100.0,ME Ubtan Natural Glow Face Wash With Turmeric & Saffron 100ml,Mamaearth,Face,Face Cleanser,Ubtan,285.0,1.0,285.0,0.001690677966101695,,,0.3,46143.0,May,2026.0,,285.0,285.0,285.0
