FY,Month,Purchase Order Number,Inv No.,Inv. Date,Category,Article Code,SO No,Ship To Name,EAN No.,net_content,brand,PPT Category,category,sub_category,range,Description,MRP Rate,Inv Qty,Inv. Net value(LOC),Inv. Tax Amount(LOC),Total MRP sales,Avg Tot,Plant,Cust-SAP Code,MTD-Sale type,PO Type,Zone,State,Chain name,Dist chain ten,Store Code,Cust-SAP Code,sale in lac,Channel
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Hair,10100099.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8906087772187.0,400.0,Mamaearth,Shampoo,Hair,Shampoo,Onion,Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin 400ml,533.0,6.0,1993.42,99.68,3198.0,0.34549718574108823,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0199342,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Face,10101318.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8904417318302.0,50.0,Mamaearth,Moisturisers,Face,Moisturisers,Beetroot,Beetroot Hydraful Light Moisturizing Cream 50 g - offline saver pack,149.0,9.0,743.8,133.88,1341.0,0.34550335570469803,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.007437999999999999,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Face,10200219.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8904417306248.0,100.0,The Derma Co.,Face Cleanser,Face,Face Cleanser,Kojic Acid,1% Kojic Acid Daily Face Wash,299.0,22.0,4027.64,724.98,6578.0,0.2774977196716327,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0402764,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Face,10100618.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8906087779032.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Face Wash 100 ml,285.0,27.0,4268.13,768.26,7695.0,0.345498375568551,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0426813,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Face,10100955.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8904417306439.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Multani Mitti,Multani Mitti Face Wash 100 ml,285.0,30.0,4742.36,853.62,8550.0,0.3454994152046784,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.047423599999999996,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Face,10101470.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8904417322675.0,50.0,Mamaearth,Moisturisers,Face,Moisturisers,Beetroot,ME Beetroot Hydraful Light Gel Moisturizer 50 G,149.0,3.0,247.93,44.62,447.0,0.34552572706935125,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0024793000000000003,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Face,10200226.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8904417307771.0,80.0,The Derma Co.,Face Cleanser,Face,Face Cleanser,Vitamin C,2% Vitamin C Gel Daily Face Wash 80 ml,249.0,13.0,1981.97,356.76,3237.0,0.27750077232004944,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0198197,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Baby,10100002.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8906087770022.0,200.0,Mamaearth,Baby,Baby,Shampoo,Solution Oriented,ME Baby gentle cleansing shampoo 200ml,221.0,12.0,1653.08,82.66,2652.0,0.3454977375565611,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0165308,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Face,10100195.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8906087775126.0,100.0,Mamaearth,Others,Face,Face Scrub,Vitamin C,Vitamin C Face Scrub 100 g,349.0,6.0,1161.46,209.06,2094.0,0.3455014326647564,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.011614600000000001,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Face,10101336.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8904417318432.0,50.0,Mamaearth,Moisturisers,Face,Moisturisers,Rice,ME Rice Dewy Bright Light Moisturizing Cream 50 g - Offline Saver Pack,149.0,7.0,578.51,104.14,1043.0,0.3454937679769895,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0057851,EB2B
