FY,Month,Purchase Order Number,Inv No.,Inv. Date,Category,Article Code,SO No,Ship To Name,EAN No.,net_content,brand,PPT Category,category,sub_category,range,Description,MRP Rate,Inv Qty,Inv. Net value(LOC),Inv. Tax Amount(LOC),Total MRP sales,Avg Tot,Plant,Cust-SAP Code,MTD-Sale type,PO Type,Zone,State,Chain name,Dist chain ten,Store Code,Cust-SAP Code,sale in lac,Channel
FY'25-26,Aug'25,9201864571.0,8061150754.0,45870.0,Face,,1061131178.0,Reliance Retail Limited-SAAH,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,419.0,2256.0,320428.88,57677.12,945264.0,0.5999995768377935,1004.0,1102369.0,Sales,Direct,North,Delhi NCR,Reliance Retail Limited,Reliance Retail Limited,,1102369.0,3.2042888,MT
FY'25-26,Aug'25,9201864569.0,8061150755.0,45870.0,Face,,1061131176.0,Reliance Retail Limited_Fraz,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,419.0,336.0,47723.34,8590.21,140784.0,0.6000003551539947,1004.0,1100928.0,Sales,Direct,North,Punjab,Reliance Retail Limited,Reliance Retail Limited,,1100928.0,0.4772334,MT
FY'25-26,Aug'25,9201864569.0,8061150755.0,45870.0,Face,,1061131176.0,Reliance Retail Limited_Fraz,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,419.0,2208.0,313610.5,56449.95,925152.0,0.6000003783162118,1004.0,1100928.0,Sales,Direct,North,Punjab,Reliance Retail Limited,Reliance Retail Limited,,1100928.0,3.136105,MT
FY'25-26,Aug'25,1102851/29/7/2025/1,8061150756.0,45870.0,Body,,1061131118.0,Sancus Networks Private Limited-RMT,8904417317695.0,500.0,Mamaearth,Body Wash,Body,Body Wash,Aloe Vera,ME Aloe Vera Moisturizing Body Wash 500 ml,599.0,240.0,48732.2,8771.8,143760.0,0.6,1004.0,1102851.0,Sales,Dist.,North,Delhi NCR,Sancus Networks Private Limited-RMT,Sancus Networks Private Limited-RMT,,1102851.0,0.487322,MT
FY'25-26,Aug'25,1102851/29/7/2025/1,8061150756.0,45870.0,Body,,1061131118.0,Sancus Networks Private Limited-RMT,8904417317596.0,500.0,Mamaearth,Body Wash,Body,Body Wash,Rice Water,Rice Water Moisturizing Body Wash 500 ml,599.0,360.0,73098.3,13157.7,215640.0,0.6,1004.0,1102851.0,Sales,Dist.,North,Delhi NCR,Sancus Networks Private Limited-RMT,Sancus Networks Private Limited-RMT,,1102851.0,0.730983,MT
FY'25-26,Aug'25,1102851/29/7/2025/1,8061150756.0,45870.0,Body,,1061131118.0,Sancus Networks Private Limited-RMT,8904417317701.0,500.0,Mamaearth,Body Wash,Body,Body Wash,Charcoal,ME Charcoal Moisturizing Body Wash 500 ml,599.0,240.0,48732.2,8771.8,143760.0,0.6,1004.0,1102851.0,Sales,Dist.,North,Delhi NCR,Sancus Networks Private Limited-RMT,Sancus Networks Private Limited-RMT,,1102851.0,0.487322,MT
FY'25-26,Aug'25,9201864574.0,8061150757.0,45870.0,Face,,1061131172.0,Reliance Retail Limited_SL6S,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,419.0,2832.0,402239.69,72403.2,1186608.0,0.6000002612488707,1004.0,1102952.0,Sales,Direct,North,Rajasthan,Reliance Retail Limited,Reliance Retail Limited,,1102952.0,4.0223969,MT
FY'25-26,Aug'25,9201864574.0,8061150757.0,45870.0,Face,,1061131172.0,Reliance Retail Limited_SL6S,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,419.0,912.0,129534.82,23316.29,382128.0,0.6000002355231755,1004.0,1102952.0,Sales,Direct,North,Rajasthan,Reliance Retail Limited,Reliance Retail Limited,,1102952.0,1.2953482,MT
FY'25-26,Aug'25,9201864573.0,8061150758.0,45870.0,Face,,1061131171.0,RELIANCE RETAIL LIMITED-SH71,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,419.0,2016.0,286340.74,51541.26,844704.0,0.5999995264613402,1004.0,1101954.0,Sales,Direct,North,Madhya Pradesh,Reliance Retail Limited,Reliance Retail Limited,,1101954.0,2.8634074,MT
FY'25-26,Aug'25,PO NO: 25/009/PO-1965,8061150759.0,45870.0,Face,,1061131169.0,Guardian Healthcare Services Pvt Ltd(DL),8906087775713.0,50.0,The Derma Co.,Sun Care,Face,Sun Care,Hyaluronic Acid,1% Hyaluronic Sunscreen Aqua Gel,499.0,48.0,12179.03,2192.22,23952.0,0.39999791249164995,1004.0,1101422.0,Sales,Direct,North,Delhi NCR,Guardian Healthcare,Guardian Healthcare,,1101422.0,0.1217903,MT
FY'25-26,Aug'25,PO NO: 25/009/PO-1965,8061150759.0,45870.0,Face,,1061131169.0,Guardian Healthcare Services Pvt Ltd(DL),8904417306255.0,50.0,Aqualogica,Sun Care,Face,Sun Care,Detan+,Detan+ Dewy Sunscreen 50 gm,449.0,24.0,5479.34,986.28,10776.0,0.39999814402375655,1004.0,1101422.0,Sales,Direct,North,Delhi NCR,Guardian Healthcare,Guardian Healthcare,,1101422.0,0.0547934,MT
FY'25-26,Aug'25,PO NO: 25/009/PO-1965,8061150759.0,45870.0,Face,,1061131169.0,Guardian Healthcare Services Pvt Ltd(DL),8904417309188.0,125.0,The Derma Co.,Face Cleanser,Face,Face Cleanser,Niacinamide,TDC 2% Niacinamide Oily Skin Cleanser,299.0,14.0,2128.48,383.12,4186.0,0.4,1004.0,1101422.0,Sales,Direct,North,Delhi NCR,Guardian Healthcare,Guardian Healthcare,,1101422.0,0.0212848,MT
FY'25-26,Aug'25,PO NO: 25/009/PO-1965,8061150759.0,45870.0,Face,,1061131169.0,Guardian Healthcare Services Pvt Ltd(DL),8906087775645.0,100.0,The Derma Co.,Face Cleanser,Face,Face Cleanser,Salicylic Acid,The Derma 1% Salicylic Acid Gel Face Wash,299.0,48.0,7297.66,1313.57,14352.0,0.39999790969899673,1004.0,1101422.0,Sales,Direct,North,Delhi NCR,Guardian Healthcare,Guardian Healthcare,,1101422.0,0.0729766,MT
FY'25-26,Aug'25,PO NO: 25/009/PO-1965,8061150759.0,45870.0,Face,,1061131169.0,Guardian Healthcare Services Pvt Ltd(DL),8904417307146.0,10.0,The Derma Co.,Face Serum,Face,Face Serum,Salicylic Acid,2% Salicylic Acid Face Serum 10 ml,249.0,48.0,6077.31,1093.91,11952.0,0.3999983266398929,1004.0,1101422.0,Sales,Direct,North,Delhi NCR,Guardian Healthcare,Guardian Healthcare,,1101422.0,0.060773100000000004,MT
FY'25-26,Aug'25,PO NO: 25/009/PO-1965,8061150759.0,45870.0,Hair,,1061131169.0,Guardian Healthcare Services Pvt Ltd(DL),8906087771807.0,250.0,Mamaearth,Shampoo,Hair,Shampoo,Onion,Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin 250 ml,349.0,27.0,4791.38,862.44,9423.0,0.3999978775336942,1004.0,1101422.0,Sales,Direct,North,Delhi NCR,Guardian Healthcare,Guardian Healthcare,,1101422.0,0.0479138,MT
FY'25-26,Aug'25,PO NO: 25/009/PO-1965,8061150759.0,45870.0,Body,,1061131169.0,Guardian Healthcare Services Pvt Ltd(DL),8904417317268.0,400.0,Mamaearth,Body Lotion,Body,Body Lotion,Vitamin C,Vitamin C Daily Glow Body Lotion 400 ml,499.0,8.0,2029.84,365.37,3992.0,0.39999749498997994,1004.0,1101422.0,Sales,Direct,North,Delhi NCR,Guardian Healthcare,Guardian Healthcare,,1101422.0,0.020298399999999998,MT
FY'25-26,Aug'25,PO NO: 25/009/PO-1965,8061150759.0,45870.0,Face,,1061131169.0,Guardian Healthcare Services Pvt Ltd(DL),8904417303308.0,4.0,Mamaearth,Others,Face,Lip Balm,Strawberry,Nourishing tinted 100%Natural Lip Balm VitE & Strawbery,199.0,24.0,2428.48,437.12,4776.0,0.4,1004.0,1101422.0,Sales,Direct,North,Delhi NCR,Guardian Healthcare,Guardian Healthcare,,1101422.0,0.0242848,MT
FY'25-26,Aug'25,PO NO: 25/009/PO-1965,8061150759.0,45870.0,Face,,1061131169.0,Guardian Healthcare Services Pvt Ltd(DL),8906087770671.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Ubtan,ME Ubtan Natural Glow Face Wash With Turmeric & Saffron 100ml,269.0,120.0,16413.61,2954.44,32280.0,0.3999984510532838,1004.0,1101422.0,Sales,Direct,North,Delhi NCR,Guardian Healthcare,Guardian Healthcare,,1101422.0,0.1641361,MT
FY'25-26,Aug'25,PO NO: 25/009/PO-1965,8061150759.0,45870.0,Face,,1061131169.0,Guardian Healthcare Services Pvt Ltd(DL),8904417306248.0,100.0,The Derma Co.,Face Cleanser,Face,Face Cleanser,Kojic Acid,1% Kojic Acid Daily Face Wash,299.0,48.0,7297.66,1313.57,14352.0,0.39999790969899673,1004.0,1101422.0,Sales,Direct,North,Delhi NCR,Guardian Healthcare,Guardian Healthcare,,1101422.0,0.0729766,MT
FY'25-26,Aug'25,PO NO: 25/009/PO-1965,8061150759.0,45870.0,Face,,1061131169.0,Guardian Healthcare Services Pvt Ltd(DL),8906087775690.0,10.0,The Derma Co.,Face Serum,Face,Face Serum,Vitamin C,10% Vitamin C Face Serum 10 ml,299.0,48.0,7297.66,1313.57,14352.0,0.39999790969899673,1004.0,1101422.0,Sales,Direct,North,Delhi NCR,Guardian Healthcare,Guardian Healthcare,,1101422.0,0.0729766,MT
FY'25-26,Aug'25,PO NO: 25/009/PO-1965,8061150759.0,45870.0,Body,,1061131169.0,Guardian Healthcare Services Pvt Ltd(DL),8904417317268.0,400.0,Mamaearth,Body Lotion,Body,Body Lotion,Vitamin C,Vitamin C Daily Glow Body Lotion 400 ml,499.0,4.0,1014.92,182.69,1996.0,0.39999498997995997,1004.0,1101422.0,Sales,Direct,North,Delhi NCR,Guardian Healthcare,Guardian Healthcare,,1101422.0,0.010149199999999999,MT
FY'25-26,Aug'25,PO NO: 25/009/PO-1965,8061150759.0,45870.0,Face,,1061131169.0,Guardian Healthcare Services Pvt Ltd(DL),8904417309188.0,125.0,The Derma Co.,Face Cleanser,Face,Face Cleanser,Niacinamide,TDC 2% Niacinamide Oily Skin Cleanser,299.0,10.0,1520.35,273.66,2990.0,0.3999966555183947,1004.0,1101422.0,Sales,Direct,North,Delhi NCR,Guardian Healthcare,Guardian Healthcare,,1101422.0,0.015203499999999998,MT
FY'25-26,Aug'25,PO NO: 25/009/PO-1965,8061150759.0,45870.0,Face,,1061131169.0,Guardian Healthcare Services Pvt Ltd(DL),8906087772460.0,100.0,Mamaearth,Others,Face,Face Scrub,Ubtan,Ubtan Face Scrub with Turmeric & Walnut for Tan Removal - 100g,349.0,72.0,12777.0,2299.85,25128.0,0.3999980101878382,1004.0,1101422.0,Sales,Direct,North,Delhi NCR,Guardian Healthcare,Guardian Healthcare,,1101422.0,0.12777,MT
FY'25-26,Aug'25,PO NO: 25/009/PO-1965,8061150759.0,45870.0,Baby,,1061131169.0,Guardian Healthcare Services Pvt Ltd(DL),8906087770640.0,24.0,Mamaearth,Baby,Baby,Mosquito Protection,Solution Oriented,Natural Mosquito Repellent Patches 24pcs,249.0,48.0,6077.31,1093.91,11952.0,0.3999983266398929,1004.0,1101422.0,Sales,Direct,North,Delhi NCR,Guardian Healthcare,Guardian Healthcare,,1101422.0,0.060773100000000004,MT
FY'25-26,Aug'25,PO NO: 25/009/PO-1965,8061150759.0,45870.0,Face,,1061131169.0,Guardian Healthcare Services Pvt Ltd(DL),8904417307139.0,10.0,The Derma Co.,Face Serum,Face,Face Serum,Kojic Acid,2% Kojic Acid Face Serum 10 ml,249.0,48.0,6077.31,1093.91,11952.0,0.3999983266398929,1004.0,1101422.0,Sales,Direct,North,Delhi NCR,Guardian Healthcare,Guardian Healthcare,,1101422.0,0.060773100000000004,MT
