FY,Month,Channel,Inv. Date,Cust-SAP Code,Ship To Name,EAN No.,net_content,brand,PPT Category,category,sub_category,range,Description,MRP,Inv Qty,Inv. Net value(LOC),Inv. Tax Amount(LOC),Total MRP sales,Avg Tot,MTD-Sale type,PO Type,Chain name for Dashboard,Zone,State
FY27,Aug'26,MT,2026-08-02,1101911,Avenue Supermarts Ltd.-DC-1050,8904417317244,400.0,Mamaearth,Body Lotion,Body,Body Lotion,Rice Water,ME Rice Water Hydrating Body Lotion 400,549,168,33219.15,5979.45,92232,0.575,Sales,Direct,D-Mart,North,Punjab
FY27,Aug'26,MT,2026-08-02,1101911,Avenue Supermarts Ltd.-DC-1050,8904417300512,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Ubtan,ME Ubtan Glow Facewash 150ml,449,160,27396.61,4931.39,71840,0.55,Sales,Direct,D-Mart,North,Punjab
FY27,Aug'26,MT,2026-08-02,1101911,Avenue Supermarts Ltd.-DC-1050,8904417300512,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Ubtan,ME Ubtan Glow Facewash 150ml,449,120,20547.46,3698.54,53880,0.55,Sales,Direct,D-Mart,North,Punjab
FY27,Aug'26,MT,2026-08-02,1101911,Avenue Supermarts Ltd.-DC-1050,8904417300512,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Ubtan,ME Ubtan Glow Facewash 150ml,449,1320,226022.02,40683.97,592680,0.5500000168725113,Sales,Direct,D-Mart,North,Punjab
FY27,Aug'26,MT,2026-08-02,1101911,Avenue Supermarts Ltd.-DC-1050,8904417310245,200.0,Mamaearth,Others,Hair,Hair Oil,Onion,ME Onion hair oil 200 ml,499,360,72711.43,3635.57,179640,0.575,Sales,Direct,D-Mart,North,Punjab
FY27,Aug'26,MT,2026-08-02,1101911,Avenue Supermarts Ltd.-DC-1050,8904417317244,400.0,Mamaearth,Body Lotion,Body,Body Lotion,Rice Water,ME Rice Water Hydrating Body Lotion 400,549,72,14236.78,2562.62,39528,0.575,Sales,Direct,D-Mart,North,Punjab
FY27,Aug'26,MT,2026-08-02,1101911,Avenue Supermarts Ltd.-DC-1050,8904417311549,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Beetroot,ME Beetroot Gentle Face Wash 100 ml,285,768,88108.46,15859.52,218880,0.525000091374269,Sales,Direct,D-Mart,North,Punjab
FY27,Aug'26,MT,2026-08-02,1101911,Avenue Supermarts Ltd.-DC-1050,8904417306439,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Multani Mitti,ME Multani Mitti Face Wash 100 ml,285,240,30432.2,5477.8,68400,0.475,Sales,Direct,D-Mart,North,Punjab
FY27,Aug'26,MT,2026-08-02,1101911,Avenue Supermarts Ltd.-DC-1050,8904417314298,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,ME Rice Dewy Bright Face wash 150 ml,449,288,45478.37,8186.11,129312,0.585,Sales,Direct,D-Mart,North,Punjab
FY27,Aug'26,MT,2026-08-02,1101911,Avenue Supermarts Ltd.-DC-1050,8904417314298,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,ME Rice Dewy Bright Face wash 150 ml,449,1488,234971.55,42294.89,668112,0.5850000598702014,Sales,Direct,D-Mart,North,Punjab
