FY,Month,Purchase Order Number,Inv No.,Inv. Date,Category,Article Code,SO No,Ship To Name,EAN No.,net_content,brand,PPT Category,category,sub_category,range,Description,MRP Rate,Inv Qty,Inv. Net value(LOC),Inv. Tax Amount(LOC),Total MRP sales,Avg Tot,Plant,Cust-SAP Code,MTD-Sale type,PO Type,Zone,State,Chain name,Dist chain ten,Store Code,Cust-SAP Code.1,sale in lac,Channel
FY'25-26,Dec'25,5111976537.0,8061167201.0,45992.0,Face,10100033.0,1061149251.0,Metro Cash & Carry India Pvt Ltd-(DC53)-T0QV,8906087770657.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Charcoal,Charcoal Facewash for oil control 100ml,269.0,30.0,4445.36,800.16,8070.0,0.3499975216852541,1004.0,1100640.0,Sales,Direct,North,Lucknow-UPE,Metro-CNC,Metro-CNC,T0QV,1100640.0,0.0444535999999999,MT
FY'25-26,Dec'25,5111976537.0,8061167201.0,45992.0,Body,10101274.0,1061149251.0,Metro Cash & Carry India Pvt Ltd-(DC53)-T0QV,8904417317268.0,400.0,Mamaearth,Body Lotion,Body,Body Lotion,Vitamin C,Vitamin C Daily Glow Body Lotion 400 ml,499.0,24.0,4567.15,822.08,11976.0,0.54999749498998,1004.0,1100640.0,Sales,Direct,North,Lucknow-UPE,Metro-CNC,Metro-CNC,T0QV,1100640.0,0.0456715,MT
FY'25-26,Dec'25,5111976537.0,8061167201.0,45992.0,Face,10100035.0,1061149251.0,Metro Cash & Carry India Pvt Ltd-(DC53)-T0QV,8906087770671.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Ubtan,ME Ubtan Natural Glow Face Wash With Turmeric & Saffron 100ml,269.0,30.0,4445.36,800.16,8070.0,0.3499975216852541,1004.0,1100640.0,Sales,Direct,North,Lucknow-UPE,Metro-CNC,Metro-CNC,T0QV,1100640.0,0.0444535999999999,MT
FY'25-26,Dec'25,5111976537.0,8061167201.0,45992.0,Hair,10100102.0,1061149251.0,Metro Cash & Carry India Pvt Ltd-(DC53)-T0QV,8906087772378.0,100.0,Mamaearth,Others,Hair,Hair Serum,Onion,Onion Hair Serum with Onion & Biotin for Strong Frizz-Free Hair Ã¯Â¿Â½ 100 ml,299.0,12.0,1976.45,355.76,3588.0,0.3499972129319955,1004.0,1100640.0,Sales,Direct,North,Lucknow-UPE,Metro-CNC,Metro-CNC,T0QV,1100640.0,0.0197645,MT
FY'25-26,Dec'25,5111976537.0,8061167201.0,45992.0,Face,10100034.0,1061149251.0,Metro Cash & Carry India Pvt Ltd-(DC53)-T0QV,8906087770664.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Tea Tree,Tea Tree Facewash for acne & pimples 100ml,269.0,30.0,4445.36,800.16,8070.0,0.3499975216852541,1004.0,1100640.0,Sales,Direct,North,Lucknow-UPE,Metro-CNC,Metro-CNC,T0QV,1100640.0,0.0444535999999999,MT
FY'25-26,Dec'25,NDH94739,8061167206.0,45993.0,Face,10300069.0,1061150030.0,Nykaa E-Retail Limited.-PB EB2B,8904417306255.0,50.0,Aqualogica,Sun Care,Face,Sun Care,Detan+,Detan+ Dewy Sunscreen 50 gm,449.0,3.0,824.75,148.46,1347.0,0.2774981440237565,1004.0,1103994.0,Sales,Direct,North,Punjab,Nykaa E-Retail Limited,Nykaa E-Retail Limited,0x2a,1103994.0,0.0082475,EB2B
FY'25-26,Dec'25,NDH94739,8061167206.0,45993.0,Face,10200219.0,1061150030.0,Nykaa E-Retail Limited.-PB EB2B,8904417306248.0,100.0,The Derma Co.,Face Cleanser,Face,Face Cleanser,Kojic Acid,1% Kojic Acid Daily Face Wash,299.0,12.0,2196.91,395.45,3588.0,0.2774916387959867,1004.0,1103994.0,Sales,Direct,North,Punjab,Nykaa E-Retail Limited,Nykaa E-Retail Limited,0x2a,1103994.0,0.0219691,EB2B
FY'25-26,Dec'25,NDH94739,8061167206.0,45993.0,Hair,10100313.0,1061150030.0,Nykaa E-Retail Limited.-PB EB2B,8906087778271.0,50.0,Mamaearth,Others,Hair,Hair Oil,Onion,Onion Hair Oil 50 ml,177.0,18.0,1985.93,99.3,3186.0,0.3455021971123666,1004.0,1103994.0,Sales,Direct,North,Punjab,Nykaa E-Retail Limited,Nykaa E-Retail Limited,0x2a,1103994.0,0.0198593,EB2B
FY'25-26,Dec'25,NDH94739,8061167206.0,45993.0,Face,10100033.0,1061150030.0,Nykaa E-Retail Limited.-PB EB2B,8906087770657.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Charcoal,Charcoal Facewash for oil control 100ml,269.0,12.0,1790.44,322.28,3228.0,0.3455018587360594,1004.0,1103994.0,Sales,Direct,North,Punjab,Nykaa E-Retail Limited,Nykaa E-Retail Limited,0x2a,1103994.0,0.0179044,EB2B
FY'25-26,Dec'25,NDH94739,8061167206.0,45993.0,Face,10100200.0,1061150030.0,Nykaa E-Retail Limited.-PB EB2B,8906087775522.0,80.0,Mamaearth,Moisturisers,Face,Moisturisers,Vitamin C,Vitamin C Oil-Free Face Moisturizer 80 g,319.0,6.0,1061.62,191.09,1914.0,0.3455015673981192,1004.0,1103994.0,Sales,Direct,North,Punjab,Nykaa E-Retail Limited,Nykaa E-Retail Limited,0x2a,1103994.0,0.0106162,EB2B
