FY,Month,Purchase Order Number,Inv No.,Inv. Date,Category,Article Code,SO No,Ship To Name,EAN No.,net_content,brand,PPT Category,category,sub_category,range,Description,MRP Rate,Inv Qty,Inv. Net value(LOC),Inv. Tax Amount(LOC),Total MRP sales,Avg Tot,Plant,Cust-SAP Code,MTD-Sale type,PO Type,Zone,State,Chain name,Dist chain ten,Store Code,Cust-SAP Code,sale in lac,Channel
FY'25-26,Feb'26,PO-S000293901,8061176228.0,46056.0,Baby,10100025.0,1061160192.0,Apollo Healthco Limited_Faridabad,8906087770510.0,100.0,Mamaearth,Baby,Baby,Hair Oil,Solution Oriented,Nourishing Hair Oil for babies 100ml,266.0,6.0,972.8,48.64,1596.0,0.36,1004.0,1101092.0,Sales,Direct,North,Delhi NCR,Apollo Healthco,Apollo Healthco,0.0,1101092.0,0.009727999999999999,MT
FY'25-26,Feb'26,PO-S000293901,8061176228.0,46056.0,Baby,10100057.0,1061160192.0,Apollo Healthco Limited_Faridabad,8906087771180.0,150.0,Mamaearth,Baby,Baby,Baby Soap,Solution Oriented,Moisturizing Bathing Bar Soap For Babies pack of 2*75gm,221.0,26.0,3502.33,175.12,5746.0,0.3599982596588932,1004.0,1101092.0,Sales,Direct,North,Delhi NCR,Apollo Healthco,Apollo Healthco,0.0,1101092.0,0.0350233,MT
FY'25-26,Feb'26,PO-S000293901,8061176228.0,46056.0,Hair,10100076.0,1061160192.0,Apollo Healthco Limited_Faridabad,8906087771807.0,250.0,Mamaearth,Shampoo,Hair,Shampoo,Onion,Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin 250 ml,310.0,6.0,1133.71,56.68,1860.0,0.3600053763440859,1004.0,1101092.0,Sales,Direct,North,Delhi NCR,Apollo Healthco,Apollo Healthco,0.0,1101092.0,0.011337100000000001,MT
FY'25-26,Feb'26,PO-S000293901,8061176228.0,46056.0,Baby,10100224.0,1061160192.0,Apollo Healthco Limited_Faridabad,8906087776116.0,400.0,Mamaearth,Baby,Baby,Baby Body Wash,Milky,Milky Soft Body Wash For Babies 400 ml,499.0,30.0,4693.99,844.92,14970.0,0.629999331997328,1004.0,1101092.0,Sales,Direct,North,Delhi NCR,Apollo Healthco,Apollo Healthco,0.0,1101092.0,0.0469399,MT
FY'25-26,Feb'26,PO-S000293901,8061176228.0,46056.0,Baby,10100226.0,1061160192.0,Apollo Healthco Limited_Faridabad,8906087776215.0,150.0,Mamaearth,Baby,Baby,Baby Soap,Milky,Milky Soft Bathing Bar For Babies (75 g*2),221.0,5.0,673.52,33.68,1105.0,0.3600000000000001,1004.0,1101092.0,Sales,Direct,North,Delhi NCR,Apollo Healthco,Apollo Healthco,0.0,1101092.0,0.0067352,MT
FY'25-26,Feb'26,PO-S000293901,8061176228.0,46056.0,Hair,10100076.0,1061160192.0,Apollo Healthco Limited_Faridabad,8906087771807.0,250.0,Mamaearth,Shampoo,Hair,Shampoo,Onion,Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin 250 ml,310.0,12.0,2267.43,113.38,3720.0,0.359997311827957,1004.0,1101092.0,Sales,Direct,North,Delhi NCR,Apollo Healthco,Apollo Healthco,0.0,1101092.0,0.022674299999999998,MT
FY'25-26,Feb'26,PO-S000293901,8061176228.0,46056.0,Hair,10100088.0,1061160192.0,Apollo Healthco Limited_Faridabad,8906087771968.0,150.0,Mamaearth,Others,Hair,Hair Oil,Castor,Castor Oil for Healthier Skin Hair and Nails with 100% Pure and Natural Cold-Pressed Oil 150ml,266.0,6.0,972.8,48.64,1596.0,0.36,1004.0,1101092.0,Sales,Direct,North,Delhi NCR,Apollo Healthco,Apollo Healthco,0.0,1101092.0,0.009727999999999999,MT
FY'25-26,Feb'26,PO-S000293901,8061176228.0,46056.0,Baby,10100027.0,1061160192.0,Apollo Healthco Limited_Faridabad,8906087770534.0,60.0,Mamaearth,Baby,Baby,Moisturisers,Milky,Milky Soft Face Cream With Murumuru Butter for Babies 60 ml,199.0,30.0,3237.98,582.84,5970.0,0.3599966499162479,1004.0,1101092.0,Sales,Direct,North,Delhi NCR,Apollo Healthco,Apollo Healthco,0.0,1101092.0,0.0323798,MT
FY'25-26,Feb'26,PO-S000293901,8061176228.0,46056.0,Baby,10100001.0,1061160192.0,Apollo Healthco Limited_Faridabad,8906087770008.0,200.0,Mamaearth,Baby,Baby,Body Lotion,Solution Oriented,Moisturizing Daily Lotion For Babies 200ml,249.0,40.0,5402.04,972.36,9960.0,0.36,1004.0,1101092.0,Sales,Direct,North,Delhi NCR,Apollo Healthco,Apollo Healthco,0.0,1101092.0,0.054020399999999996,MT
FY'25-26,Feb'26,PO-S000293901,8061176228.0,46056.0,Face,10100062.0,1061160192.0,Apollo Healthco Limited_Faridabad,8906087771333.0,80.0,Mamaearth,Sun Care,Face,Sun Care,Ubtan,Mamaearth Ultra Light Indian Sunscreen with Carrot Seed Turmeric & SPF 50 PA+++ - 80ml,499.0,5.0,1353.22,243.58,2495.0,0.36,1004.0,1101092.0,Sales,Direct,North,Delhi NCR,Apollo Healthco,Apollo Healthco,0.0,1101092.0,0.0135322,MT
