FY,Month,Purchase Order Number,Inv No.,Inv. Date,Category,Article Code,SO No,Ship To Name,EAN No.,net_content,brand,PPT Category,category,sub_category,range,Description,MRP Rate,Inv Qty,Inv. Net value(LOC),Inv. Tax Amount(LOC),Total MRP sales,Avg Tot,Plant,Cust-SAP Code,MTD-Sale type,PO Type,Zone,State,Chain name,Dist chain ten,Store Code,Cust-SAP Code.1,sale in lac,Channel
FY'25-26,Jan'26,5002646386.0,8061171493.0,46024.0,Face,10100121.0,1061154575.0,Avenue Supermarts Ltd.-DC-1068,8906087772859.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Vitamin C,Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination Ã¯Â¿Â½ 100ml,269.0,600.0,71809.3,12925.68,161400.0,0.4750001239157372,1004.0,1102386.0,Sales,Direct,North,Rajasthan,D-Mart,D-Mart,1068.0,1102386.0,0.718093,MT
FY'25-26,Jan'26,5002646386.0,8061171493.0,46024.0,Face,10100618.0,1061154575.0,Avenue Supermarts Ltd.-DC-1068,8906087779032.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Face Wash 100 ml,269.0,1200.0,143618.61,25851.36,322800.0,0.475000092936803,1004.0,1102386.0,Sales,Direct,North,Rajasthan,D-Mart,D-Mart,1068.0,1102386.0,1.4361860999999998,MT
FY'25-26,Jan'26,5002646386.0,8061171493.0,46024.0,Face,10101163.0,1061154575.0,Avenue Supermarts Ltd.-DC-1068,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,419.0,768.0,113172.58,20371.07,321792.0,0.5850000932279236,1004.0,1102386.0,Sales,Direct,North,Rajasthan,D-Mart,D-Mart,1068.0,1102386.0,1.1317258,MT
FY'25-26,Jan'26,5002646386.0,8061171493.0,46024.0,Hair,10100076.0,1061154575.0,Avenue Supermarts Ltd.-DC-1068,8906087771807.0,250.0,Mamaearth,Shampoo,Hair,Shampoo,Onion,Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin 250 ml,310.0,900.0,139499.97,6975.0,279000.0,0.4750001075268817,1004.0,1102386.0,Sales,Direct,North,Rajasthan,D-Mart,D-Mart,1068.0,1102386.0,1.3949997,MT
FY'25-26,Jan'26,5002646386.0,8061171493.0,46024.0,Hair,10101057.0,1061154575.0,Avenue Supermarts Ltd.-DC-1068,8904417310245.0,200.0,Mamaearth,Others,Hair,Hair Oil,Onion,ME Onion hair oil 200 ml,444.0,360.0,64697.13,3234.86,159840.0,0.5750000625625626,1004.0,1102386.0,Sales,Direct,North,Rajasthan,D-Mart,D-Mart,1068.0,1102386.0,0.6469713,MT
FY'25-26,Jan'26,5002646386.0,8061171493.0,46024.0,Face,10101322.0,1061154575.0,Avenue Supermarts Ltd.-DC-1068,8904417318081.0,200.0,Mamaearth,Moisturisers,Face,Moisturisers,Vitamin C,Vitamin C Daily Glow Light Moisturizing Cream 200 g,449.0,180.0,28423.97,5116.32,80820.0,0.5850001237317495,1004.0,1102386.0,Sales,Direct,North,Rajasthan,D-Mart,D-Mart,1068.0,1102386.0,0.2842397,MT
FY'25-26,Jan'26,5002646386.0,8061171493.0,46024.0,Hair,10101208.0,1061154575.0,Avenue Supermarts Ltd.-DC-1068,8904417315073.0,600.0,Mamaearth,Shampoo,Hair,Shampoo,Rosemary,Rosemary Anti-Hairfall Shampoo 600 ml,799.0,360.0,113686.27,5684.31,287640.0,0.5850000695313586,1004.0,1102386.0,Sales,Direct,North,Rajasthan,D-Mart,D-Mart,1068.0,1102386.0,1.1368627,MT
FY'25-26,Jan'26,5002646386.0,8061171493.0,46024.0,Face,10100695.0,1061154575.0,Avenue Supermarts Ltd.-DC-1068,8904417300512.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Ubtan,ME Ubtan Natural Glow Face Wash With Turmeric & Saffron 150ml,419.0,600.0,95872.86,17257.12,251400.0,0.5500000795544948,1004.0,1102386.0,Sales,Direct,North,Rajasthan,D-Mart,D-Mart,1068.0,1102386.0,0.9587286,MT
FY'25-26,Jan'26,5002646386.0,8061171493.0,46024.0,Face,10100035.0,1061154575.0,Avenue Supermarts Ltd.-DC-1068,8906087770671.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Ubtan,ME Ubtan Natural Glow Face Wash With Turmeric & Saffron 100ml,269.0,1200.0,143618.61,25851.36,322800.0,0.475000092936803,1004.0,1102386.0,Sales,Direct,North,Rajasthan,D-Mart,D-Mart,1068.0,1102386.0,1.4361860999999998,MT
FY'25-26,Jan'26,5002646386.0,8061171493.0,46024.0,Face,10101321.0,1061154575.0,Avenue Supermarts Ltd.-DC-1068,8904417318074.0,200.0,Mamaearth,Moisturisers,Face,Moisturisers,Beetroot,Beetroot Hydraful Light Moisturizing Cream 200 g,449.0,360.0,56847.96,10232.63,161640.0,0.5850000618658748,1004.0,1102386.0,Sales,Direct,North,Rajasthan,D-Mart,D-Mart,1068.0,1102386.0,0.5684796,MT
FY'25-26,Jan'26,5002646386.0,8061171493.0,46024.0,Face,10101163.0,1061154575.0,Avenue Supermarts Ltd.-DC-1068,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,419.0,1632.0,240491.73,43288.52,683808.0,0.5850001023679161,1004.0,1102386.0,Sales,Direct,North,Rajasthan,D-Mart,D-Mart,1068.0,1102386.0,2.4049173,MT
FY'25-26,Jan'26,5002646386.0,8061171493.0,46024.0,Face,10101166.0,1061154575.0,Avenue Supermarts Ltd.-DC-1068,8904417312546.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Vitamin C,Vitamin C Face Wash 150 ml,419.0,480.0,70732.86,12731.92,201120.0,0.5850000994431186,1004.0,1102386.0,Sales,Direct,North,Rajasthan,D-Mart,D-Mart,1068.0,1102386.0,0.7073286,MT
FY'25-26,Jan'26,5112571746.0,8061171496.0,46024.0,Hair,10101055.0,1061154930.0,Reliance Retail Limited_SL6S,8904417310351.0,400.0,Mamaearth,Shampoo,Hair,Shampoo,Rosemary,ME Rosemary Anti-Hairfall Shampoo 400 ml,533.0,504.0,106173.32,5308.68,268632.0,0.5850010423181156,1004.0,1102952.0,Sales,Direct,North,Rajasthan,Reliance Retail Limited,Reliance Retail Limited,SL6S,1102952.0,1.0617332000000002,MT
FY'25-26,Jan'26,5112571745.0,8061171497.0,46024.0,Hair,10101055.0,1061154929.0,Reliance Retail Limited-S2BZ,8904417310351.0,400.0,Mamaearth,Shampoo,Hair,Shampoo,Rosemary,ME Rosemary Anti-Hairfall Shampoo 400 ml,533.0,277.0,58353.33,2917.67,147641.0,0.5850001015977946,1004.0,1103528.0,Sales,Direct,North,Lucknow-UPE,Reliance Retail Limited,Reliance Retail Limited,S2BZ,1103528.0,0.5835333,MT
FY'25-26,Jan'26,5112561977.0,8061171498.0,46024.0,Face,10101163.0,1061154994.0,Reliance Retail Limited_Fraz,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,419.0,48.0,6817.83,1227.17,20112.0,0.5999900556881463,1004.0,1100928.0,Sales,Direct,North,Punjab,Reliance Retail Limited,Reliance Retail Limited,Fraz,1100928.0,0.0681783,MT
