FY,Month,Purchase Order Number,Inv No.,Inv. Date,Category,Article Code,SO No,Ship To Name,EAN No.,net_content,brand,PPT Category,category,sub_category,range,Description,MRP Rate,Inv Qty,Inv. Net value(LOC),Inv. Tax Amount(LOC),Total MRP sales,Avg Tot,Plant,Cust-SAP Code,MTD-Sale type,PO Type,Zone,State,Chain name,Dist chain ten,Store Code,Cust-SAP Code.1,sale in lac,Channel
FY'25-26,Jul'25,PO NO: 25/009/PO-1481,8061147471.0,45839.0,Face,,1061127362.0,Guardian Healthcare Services Pvt Ltd(DL),8906087779407.0,50.0,Aqualogica,Sun Care,Face,Sun Care,Radiance+,Radiance+ Dewy Sunscreen 50gm,449.0,24.0,5479.33,986.28,10776.0,0.39999907201187823,1004.0,1101422.0,Sales,Direct,North,Delhi NCR,Guardian Healthcare,Guardian Healthcare,0.0,1101422.0,0.054793299999999996,MT
FY'25-26,Jul'25,PO NO: 25/009/PO-1481,8061147471.0,45839.0,Face,,1061127362.0,Guardian Healthcare Services Pvt Ltd(DL),8906087779032.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Face Wash 100 ml,269.0,120.0,16413.6,2954.44,32280.0,0.3999987608426271,1004.0,1101422.0,Sales,Direct,North,Delhi NCR,Guardian Healthcare,Guardian Healthcare,0.0,1101422.0,0.16413599999999998,MT
FY'25-26,Jul'25,PO NO: 25/009/PO-1481,8061147471.0,45839.0,Face,,1061127362.0,Guardian Healthcare Services Pvt Ltd(DL),8904417307139.0,10.0,The Derma Co.,Face Serum,Face,Face Serum,Kojic Acid,2% Kojic Acid Face Serum 10 ml,249.0,7.0,886.27,159.53,1743.0,0.4,1004.0,1101422.0,Sales,Direct,North,Delhi NCR,Guardian Healthcare,Guardian Healthcare,0.0,1101422.0,0.0088627,MT
FY'25-26,Jul'25,PO NO: 25/009/PO-1481,8061147471.0,45839.0,Hair,,1061127362.0,Guardian Healthcare Services Pvt Ltd(DL),8906087771807.0,250.0,Mamaearth,Shampoo,Hair,Shampoo,Onion,Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin 250 ml,349.0,36.0,6388.48,1149.92,12564.0,0.4,1004.0,1101422.0,Sales,Direct,North,Delhi NCR,Guardian Healthcare,Guardian Healthcare,0.0,1101422.0,0.06388479999999999,MT
FY'25-26,Jul'25,PO NO: 25/009/PO-1481,8061147471.0,45839.0,Face,,1061127362.0,Guardian Healthcare Services Pvt Ltd(DL),8906087775645.0,100.0,The Derma Co.,Face Cleanser,Face,Face Cleanser,Salicylic Acid,The Derma 1% Salicylic Acid Gel Face Wash,299.0,48.0,7297.65,1313.57,14352.0,0.39999860646599783,1004.0,1101422.0,Sales,Direct,North,Delhi NCR,Guardian Healthcare,Guardian Healthcare,0.0,1101422.0,0.0729765,MT
FY'25-26,Jul'25,PO NO: 25/009/PO-1481,8061147471.0,45839.0,Face,,1061127362.0,Guardian Healthcare Services Pvt Ltd(DL),8906087778462.0,50.0,Aqualogica,Sun Care,Face,Sun Care,Glow+,Glow+ Dewy Sunscreen 50gm,449.0,24.0,5479.33,986.28,10776.0,0.39999907201187823,1004.0,1101422.0,Sales,Direct,North,Delhi NCR,Guardian Healthcare,Guardian Healthcare,0.0,1101422.0,0.054793299999999996,MT
FY'25-26,Jul'25,PO NO: 25/009/PO-1481,8061147471.0,45839.0,Face,,1061127362.0,Guardian Healthcare Services Pvt Ltd(DL),8906087775713.0,50.0,The Derma Co.,Sun Care,Face,Sun Care,Hyaluronic Acid,1% Hyaluronic Sunscreen Aqua Gel,499.0,96.0,24358.02,4384.43,47904.0,0.39999895624582493,1004.0,1101422.0,Sales,Direct,North,Delhi NCR,Guardian Healthcare,Guardian Healthcare,0.0,1101422.0,0.2435802,MT
FY'25-26,Jul'25,PO NO: 25/009/PO-1481,8061147471.0,45839.0,Face,,1061127362.0,Guardian Healthcare Services Pvt Ltd(DL),8904417311549.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Beetroot,Beetroot Gentle Face Wash 100 ml,269.0,24.0,3282.72,590.88,6456.0,0.4,1004.0,1101422.0,Sales,Direct,North,Delhi NCR,Guardian Healthcare,Guardian Healthcare,0.0,1101422.0,0.0328272,MT
FY'25-26,Jul'25,PO NO: 25/009/PO-1481,8061147471.0,45839.0,Face,,1061127362.0,Guardian Healthcare Services Pvt Ltd(DL),8904417307139.0,10.0,The Derma Co.,Face Serum,Face,Face Serum,Kojic Acid,2% Kojic Acid Face Serum 10 ml,249.0,29.0,3671.7,660.9,7221.0,0.4,1004.0,1101422.0,Sales,Direct,North,Delhi NCR,Guardian Healthcare,Guardian Healthcare,0.0,1101422.0,0.036717,MT
FY'25-26,Jul'25,PO NO: 25/009/PO-1481,8061147471.0,45839.0,Baby,,1061127362.0,Guardian Healthcare Services Pvt Ltd(DL),8906087770640.0,24.0,Mamaearth,Baby,Baby,Mosquito Protection,Solution Oriented,Natural Mosquito Repellent Patches 24pcs,249.0,24.0,3038.65,546.96,5976.0,0.3999983266398929,1004.0,1101422.0,Sales,Direct,North,Delhi NCR,Guardian Healthcare,Guardian Healthcare,0.0,1101422.0,0.0303865,MT
FY'25-26,Jul'25,PO NO: 25/009/PO-1481,8061147471.0,45839.0,Face,,1061127362.0,Guardian Healthcare Services Pvt Ltd(DL),8906087772460.0,100.0,Mamaearth,Others,Face,Face Scrub,Ubtan,Ubtan Face Scrub with Turmeric & Walnut for Tan Removal - 100g,349.0,7.0,1242.2,223.6,2443.0,0.4,1004.0,1101422.0,Sales,Direct,North,Delhi NCR,Guardian Healthcare,Guardian Healthcare,0.0,1101422.0,0.012422,MT
FY'25-26,Jul'25,PO NO: 25/009/PO-1481,8061147471.0,45839.0,Face,,1061127362.0,Guardian Healthcare Services Pvt Ltd(DL),8906087772460.0,100.0,Mamaearth,Others,Face,Face Scrub,Ubtan,Ubtan Face Scrub with Turmeric & Walnut for Tan Removal - 100g,349.0,65.0,11534.78,2076.26,22685.0,0.39999823672029977,1004.0,1101422.0,Sales,Direct,North,Delhi NCR,Guardian Healthcare,Guardian Healthcare,0.0,1101422.0,0.1153478,MT
FY'25-26,Jul'25,PO NO: 25/009/PO-1481,8061147471.0,45839.0,Face,,1061127362.0,Guardian Healthcare Services Pvt Ltd(DL),8904417307481.0,100.0,Aqualogica,Others,Face,Moisturisers,Illuminate+,Illuminate+ Oil Free Moisturizer 100g,399.0,24.0,4869.16,876.45,9576.0,0.39999895572264,1004.0,1101422.0,Sales,Direct,North,Delhi NCR,Guardian Healthcare,Guardian Healthcare,0.0,1101422.0,0.0486916,MT
FY'25-26,Jul'25,PO NO: 25/009/PO-1481,8061147471.0,45839.0,Face,,1061127362.0,Guardian Healthcare Services Pvt Ltd(DL),8904417306514.0,100.0,Aqualogica,Face Cleanser,Face,Face Cleanser,Detan+,Detan+ Smoothie Face Wash,249.0,24.0,3038.65,546.96,5976.0,0.3999983266398929,1004.0,1101422.0,Sales,Direct,North,Delhi NCR,Guardian Healthcare,Guardian Healthcare,0.0,1101422.0,0.0303865,MT
FY'25-26,Jul'25,5002350387.0,8061147472.0,45839.0,Hair,,1061127335.0,Avenue Supermarts Ltd.-DC-1050,8904417307764.0,150.0,Mamaearth,Others,Hair,Hair Oil,Rosemary,Rosemary Hair Growth Oil 150ml,419.0,360.0,67111.02,12079.98,150840.0,0.475,1004.0,1101911.0,Sales,Direct,North,Punjab,D-Mart,D-Mart,1050.0,1101911.0,0.6711102,MT
FY'25-26,Jul'25,5002350387.0,8061147472.0,45839.0,Hair,,1061127335.0,Avenue Supermarts Ltd.-DC-1050,8906087772897.0,250.0,Mamaearth,Shampoo,Hair,Shampoo,Bhringamla,BhringAmla Shampoo with Bhringraj & Amla for Intense Hair Treatment Ã¯Â¿Â½ 250 ml,349.0,225.0,34936.97,6288.65,78525.0,0.47500006367398917,1004.0,1101911.0,Sales,Direct,North,Punjab,D-Mart,D-Mart,1050.0,1101911.0,0.3493697,MT
FY'25-26,Jul'25,5002350387.0,8061147472.0,45839.0,Hair,,1061127335.0,Avenue Supermarts Ltd.-DC-1050,8904417303537.0,600.0,Mamaearth,Shampoo,Hair,Shampoo,Onion,Onion Shampoo 600 ml,839.0,360.0,108785.57,19581.41,302040.0,0.5750000662163952,1004.0,1101911.0,Sales,Direct,North,Punjab,D-Mart,D-Mart,1050.0,1101911.0,1.0878557,MT
FY'25-26,Jul'25,5002350387.0,8061147472.0,45839.0,Face,,1061127335.0,Avenue Supermarts Ltd.-DC-1050,8906087775645.0,100.0,The Derma Co.,Face Cleanser,Face,Face Cleanser,Salicylic Acid,The Derma 1% Salicylic Acid Gel Face Wash,299.0,480.0,72976.27,13135.73,143520.0,0.4,1004.0,1101911.0,Sales,Direct,North,Punjab,D-Mart,D-Mart,1050.0,1101911.0,0.7297627,MT
FY'25-26,Jul'25,5002350387.0,8061147472.0,45839.0,Body,,1061127335.0,Avenue Supermarts Ltd.-DC-1050,8904417318296.0,500.0,Mamaearth,Body Wash,Body,Body Wash,Ubtan,ME Ubtan Moisturizing Body Wash 500 ml,599.0,240.0,50559.66,9100.74,143760.0,0.585,1004.0,1101911.0,Sales,Direct,North,Punjab,D-Mart,D-Mart,1050.0,1101911.0,0.5055966000000001,MT
FY'25-26,Jul'25,PO-S000241332,8061147497.0,45840.0,Body,,1061127332.0,Apollo Healthco Limited_Faridabad,8904417317053.0,275.0,Mamaearth,Body Wash,Body,Body Wash,Ubtan,Ubtan Moisturizing Body Wash 275 ml,299.0,408.0,43420.64,7815.76,121992.0,0.5800019673421208,1004.0,1101092.0,Sales,Direct,North,Delhi NCR,Apollo Healthco,Apollo Healthco,0.0,1101092.0,0.4342064,MT
FY'25-26,Jul'25,PO-S000241332,8061147497.0,45840.0,Body,,1061127332.0,Apollo Healthco Limited_Faridabad,8904417315660.0,275.0,Mamaearth,Body Wash,Body,Body Wash,Rice Water,Rice Water Moisturizing Body Wash 275ml,299.0,36.0,3831.23,689.62,10764.0,0.5800027870680045,1004.0,1101092.0,Sales,Direct,North,Delhi NCR,Apollo Healthco,Apollo Healthco,0.0,1101092.0,0.0383123,MT
FY'25-26,Jul'25,PO-S000241332,8061147497.0,45840.0,Body,,1061127332.0,Apollo Healthco Limited_Faridabad,8904417315660.0,275.0,Mamaearth,Body Wash,Body,Body Wash,Rice Water,Rice Water Moisturizing Body Wash 275ml,299.0,24.0,2554.16,459.76,7176.0,0.5800000000000001,1004.0,1101092.0,Sales,Direct,North,Delhi NCR,Apollo Healthco,Apollo Healthco,0.0,1101092.0,0.025541599999999998,MT
FY'25-26,Jul'25,PO-S000241332,8061147497.0,45840.0,Body,,1061127332.0,Apollo Healthco Limited_Faridabad,8904417315660.0,275.0,Mamaearth,Body Wash,Body,Body Wash,Rice Water,Rice Water Moisturizing Body Wash 275ml,299.0,300.0,31926.95,5746.88,89700.0,0.580001895206243,1004.0,1101092.0,Sales,Direct,North,Delhi NCR,Apollo Healthco,Apollo Healthco,0.0,1101092.0,0.3192695,MT
FY'25-26,Jul'25,6300680415.0,8061147527.0,45840.0,Hair,,1061127484.0,Wal-Mart India Private Limited 4760,8906087775096.0,250.0,Mamaearth,Others,Hair,Conditioner,Rice,Rice Water Conditioner 250 ml,349.0,45.0,8251.68,1485.32,15705.0,0.3800063673989176,1004.0,1100509.0,Sales,Direct,Central,Madhya Pradesh,Walmart-CNC,Walmart-CNC,4760.0,1100509.0,0.0825168,MT
FY'25-26,Jul'25,6300680415.0,8061147527.0,45840.0,Hair,,1061127484.0,Wal-Mart India Private Limited 4760,8906087771807.0,250.0,Mamaearth,Shampoo,Hair,Shampoo,Onion,Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin 250 ml,349.0,90.0,16503.36,2970.64,31410.0,0.3800063673989176,1004.0,1100509.0,Sales,Direct,Central,Madhya Pradesh,Walmart-CNC,Walmart-CNC,4760.0,1100509.0,0.1650336,MT
FY'25-26,Jul'25,6300680415.0,8061147527.0,45840.0,Hair,,1061127484.0,Wal-Mart India Private Limited 4760,8906087771845.0,250.0,Mamaearth,Shampoo,Hair,Shampoo,Tea Tree,Tea Tree Shampoo for Dandruff Free Hair - 250ml,349.0,45.0,8251.68,1485.32,15705.0,0.3800063673989176,1004.0,1100509.0,Sales,Direct,Central,Madhya Pradesh,Walmart-CNC,Walmart-CNC,4760.0,1100509.0,0.0825168,MT
FY'25-26,Jul'25,RTO_8061141844,8062020394.0,45840.0,Face,,1062021302.0,Apollo Healthco Limited Faridabad_ShipTo,8906087772859.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Vitamin C,Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination Ã¯Â¿Â½ 100ml,269.0,-1.0,-145.74,-26.26,-269.0,0.3605947955390335,1004.0,1101092.0,MRN,Direct,North,Delhi NCR,Apollo Healthco,Apollo Healthco,0.0,1101092.0,-0.0014574000000000002,MT
FY'25-26,Jul'25,PO-S000241564,8191005541.0,45840.0,Hair,,1191007063.0,APOLLO HEALTHCO LIMITED-WB-2,8904417310351.0,400.0,Mamaearth,Shampoo,Hair,Shampoo,Rosemary,ME Rosemary Anti-Hairfall Shampoo 400 ml,559.0,240.0,72764.8,13097.66,134160.0,0.3599995527728085,1313.0,1102406.0,Sales,Direct,East,West Bengal,Apollo Healthco,Apollo Healthco,0.0,1102406.0,0.7276480000000001,MT
FY'25-26,Jul'25,PO-S000241564,8191005541.0,45840.0,Baby,,1191007063.0,APOLLO HEALTHCO LIMITED-WB-2,8906087776116.0,400.0,Mamaearth,Baby,Baby,Baby Body Wash,Milky,Milky Soft Body Wash For Babies 400 ml,499.0,48.0,12990.93,2338.36,23952.0,0.35999958249833,1313.0,1102406.0,Sales,Direct,East,West Bengal,Apollo Healthco,Apollo Healthco,0.0,1102406.0,0.1299093,MT
FY'25-26,Jul'25,PO-S000241564,8191005541.0,45840.0,Baby,,1191007063.0,APOLLO HEALTHCO LIMITED-WB-2,8904417308129.0,400.0,Mamaearth,Baby,Baby,Baby Body Wash,Milky,ME Baby MilkySoft Head To Toe Wash 400ml,499.0,180.0,48715.96,8768.86,89820.0,0.3599997773324427,1313.0,1102406.0,Sales,Direct,East,West Bengal,Apollo Healthco,Apollo Healthco,0.0,1102406.0,0.48715959999999997,MT
FY'25-26,Jul'25,PO-S000241564,8191005541.0,45840.0,Face,,1191007063.0,APOLLO HEALTHCO LIMITED-WB-2,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,399.0,480.0,103875.32,18697.54,191520.0,0.35999968671679194,1313.0,1102406.0,Sales,Direct,East,West Bengal,Apollo Healthco,Apollo Healthco,0.0,1102406.0,1.0387532000000002,MT
