FY,Month,Channel,Inv. Date,Cust-SAP Code,Ship To Name,EAN No.,net_content,brand,PPT Category,category,sub_category,range,Description,MRP,Inv Qty,Inv. Net value(LOC),Inv. Tax Amount(LOC),Total MRP sales,Avg Tot,MTD-Sale type,PO Type,Chain name for Dashboard,Zone,State
FY27,Jul'26,MT,2026-07-01,1100618,Reliance Retail Limited Fb08,8904417311570.0,,Mamaearth,,Body,,,ME Vitamin C Lotion Soap Pack of 4,378.0,48,8937.15,446.86,20400,0.5399995098039216,Sales,Direct,Reliance Retail Limited,North,Punjab
FY27,Jul'26,MT,2026-07-01,1100618,Reliance Retail Limited Fb08,8904417309546.0,,Mamaearth,,Hair,,,ME Onion Hair Fall Control Shampoo 650ml,862.0,24,7093.04,354.65,20688,0.6399995166279969,Sales,Direct,Reliance Retail Limited,North,Punjab
FY27,Jul'26,MT,2026-07-01,1100618,Reliance Retail Limited Fb08,8904417314298.0,,Mamaearth,,Face,,,ME Rice Dewy Bright Face wash 150 ml,449.0,192,29223.09,5260.15,86208,0.5999995360059391,Sales,Direct,Reliance Retail Limited,North,Punjab
FY27,Jul'26,MT,2026-07-01,1100618,Reliance Retail Limited Fb08,8904417300512.0,,Mamaearth,,Face,,,ME Ubtan Glow Facewash 150ml,419.0,360,60272.61,10849.06,161640,0.5599995669388765,Sales,Direct,Reliance Retail Limited,North,Punjab
FY27,Jul'26,MT,2026-07-01,1100618,Reliance Retail Limited Fb08,8904417314298.0,,Mamaearth,,Face,,,ME Rice Dewy Bright Face wash 150 ml,449.0,336,51140.41,9205.26,150864,0.5999995360059391,Sales,Direct,Reliance Retail Limited,North,Punjab
FY27,Jul'26,MT,2026-07-01,1100618,Reliance Retail Limited Fb08,8904417310351.0,,Mamaearth,,Hair,,,ME Rosemary Anti-Hairfall Shampoo 400 ml,533.0,96,22727.8,1136.39,57504,0.5849994782971619,Sales,Direct,Reliance Retail Limited,North,Punjab
FY27,Jul'26,MT,2026-07-01,1100618,Reliance Retail Limited Fb08,8906087775713.0,,The Derma Co,,Face,,,TDC 1%Hyaluronic Sunscreen Aqua Gel 50gm,499.0,100,30870.38,5556.66,49900,0.2699991983967935,Sales,Direct,Reliance Retail Limited,North,Punjab
FY27,Jul'26,MT,2026-07-01,1100618,Reliance Retail Limited Fb08,8904417318364.0,,Mamaearth,,Face,,,ME Rice Light Moisturizing Cream 200 g,449.0,72,14739.27,2653.07,39528,0.5599994940295487,Sales,Direct,Reliance Retail Limited,North,Punjab
FY27,Jul'26,MT,2026-07-01,1100618,Reliance Retail Limited Fb08,8904417316896.0,,Mamaearth,,Face,,,ME Rice Water Dewy Sunscreen 80 g,549.0,120,49759.38,8956.68,83880,0.2999992846924177,Sales,Direct,Reliance Retail Limited,North,Punjab
FY27,Jul'26,MT,2026-07-01,1100618,Reliance Retail Limited Fb08,8904417317183.0,,Mamaearth,,Body,,,ME Ubtan Moisturizing Body Lotion 400 ml,499.0,48,9491.2,1708.41,26352,0.5749996205221615,Sales,Direct,Reliance Retail Limited,North,Punjab
FY27,Jul'26,MT,2026-07-01,1100618,Reliance Retail Limited Fb08,8904417306255.0,,Aqualogica,,Face,,,AQ Detan + Dewy Sunscreen Gel 50g,449.0,72,19999.56,3599.92,32328,0.2699987626825042,Sales,Direct,Reliance Retail Limited,North,Punjab
FY27,Jul'26,MT,2026-07-02,1102038,RELIANCE RETAIL LIMITED-Badli,8904417322361.0,,Mamaearth,,Hair,,,ME Rice Shampoo 400ml,533.0,48,11363.89,568.2,28752,0.584999652198108,Sales,Direct,Reliance Retail Limited,North,Haryana
FY27,Jul'26,MT,2026-07-02,1102038,RELIANCE RETAIL LIMITED-Badli,8904417311570.0,,Mamaearth,,Body,,,ME Vitamin C Lotion Soap Pack of 4,378.0,72,13405.71,670.28,30600,0.5400003267973856,Sales,Direct,Reliance Retail Limited,North,Haryana
