FY,Month,Channel,Inv. Date,Cust-SAP Code,Ship To Name,EAN No.,net_content,brand,PPT Category,category,sub_category,range,Description,MRP,Inv Qty,Inv. Net value(LOC),Inv. Tax Amount(LOC),Total MRP sales,Avg Tot,MTD-Sale type,PO Type,Chain name for Dashboard,Zone,State
FY27,Jun'26,EB2B,2026-06-04,1103994,Nykaa E-Retail Limited.-PB EB2B,8906087770671,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Ubtan,ME Ubtan Natural Glow Face Wash With Turmeric & Saffron 100ml,285,35,5532.76,995.9,9975,0.3455,Sales,Direct,Nykaa E-Retail Limited,North,Punjab
FY27,Jun'26,EB2B,2026-06-04,1103994,Nykaa E-Retail Limited.-PB EB2B,8906087778271,50.0,Mamaearth,Others,Hair,Hair Oil,Onion,Onion Hair Oil 50 ml,177,6,661.98,33.1,1062,0.3455,Sales,Direct,Nykaa E-Retail Limited,North,Punjab
FY27,Jun'26,EB2B,2026-06-04,1103994,Nykaa E-Retail Limited.-PB EB2B,8906087770527,50.0,Mamaearth,Baby,Baby,Oral,Berry Blast,100% Natural Berry Blast Toothpaste for Kids 50gm,132,12,987.36,49.37,1584,0.3455,Sales,Direct,Nykaa E-Retail Limited,North,Punjab
FY27,Jun'26,EB2B,2026-06-04,1103994,Nykaa E-Retail Limited.-PB EB2B,8906087772477,100.0,Mamaearth,Others,Face,Face Scrub,Charcoal,Charcoal Face Scrub For Oily Skin & Normal skin with Charcoal & Walnut for Deep Exfoliation Ã¯Â¿Â½ 100g,349,6,1161.46,209.06,2094,0.3455,Sales,Direct,Nykaa E-Retail Limited,North,Punjab
FY27,Jun'26,EB2B,2026-06-04,1103994,Nykaa E-Retail Limited.-PB EB2B,8904417300673,60.0,Mamaearth,Baby,Baby,Moisturisers,Coco Soft,Coco Soft Face Cream For Babies 60 g,199,12,1324.53,238.42,2388,0.3455,Sales,Direct,Nykaa E-Retail Limited,North,Punjab
FY27,Jun'26,EB2B,2026-06-04,1103994,Nykaa E-Retail Limited.-PB EB2B,8904417306576,80.0,The Derma Co.,Face Cleanser,Face,Face Cleanser,Sali-Cinamide,Sali-Cinamide Anti-Acne Face Wash,249,54,8232.84,1481.91,13446,0.2775,Sales,Direct,Nykaa E-Retail Limited,North,Punjab
FY27,Jun'26,EB2B,2026-06-04,1103994,Nykaa E-Retail Limited.-PB EB2B,8906087775126,100.0,Mamaearth,Others,Face,Face Scrub,Vitamin C,Vitamin C Face Scrub 100 g,349,6,1161.46,209.06,2094,0.3455,Sales,Direct,Nykaa E-Retail Limited,North,Punjab
FY27,Jun'26,EB2B,2026-06-04,1103994,Nykaa E-Retail Limited.-PB EB2B,8906087778783,100.0,Mamaearth,Others,Hair,Conditioner,Onion,Onion Conditioner 100 ml,149,18,1487.6,267.77,2682,0.3455,Sales,Direct,Nykaa E-Retail Limited,North,Punjab
FY27,Jun'26,EB2B,2026-06-04,1103994,Nykaa E-Retail Limited.-PB EB2B,8904417307740,250.0,Mamaearth,Shampoo,Hair,Shampoo,Rosemary,Rosemary Anti-Hair Fall Shampoo 250ml,349,18,3915.78,195.79,6282,0.3455,Sales,Direct,Nykaa E-Retail Limited,North,Punjab
FY27,Jun'26,EB2B,2026-06-04,1103994,Nykaa E-Retail Limited.-PB EB2B,8904417311549,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Beetroot,Beetroot Gentle Face Wash 100 ml,285,45,7113.54,1280.44,12825,0.3455,Sales,Direct,Nykaa E-Retail Limited,North,Punjab
