FY,Month,Purchase Order Number,Inv No.,Inv. Date,Category,Article Code,SO No,Ship To Name,EAN No.,net_content,brand,PPT Category,category,sub_category,range,Description,MRP Rate,Inv Qty,Inv. Net value(LOC),Inv. Tax Amount(LOC),Total MRP sales,Avg Tot,Plant,Cust-SAP Code,MTD-Sale type,PO Type,Zone,State,Chain name,Dist chain ten,Store Code,Cust-SAP Code.1,sale in lac,Channel
FY'25-26,Mar'26,S000302517,8061180336.0,46086.0,Face,10200214.0,1061164928.0,Apollo Healthco Ltd_Raipur,8904417306231.0,80.0,The Derma Co.,Sun Care,Face,Sun Care,Hyaluronic Acid,1% Hyaluronic Sunscreen Aqua Gel 80g,649.0,14.0,5390.01,970.2,9086.0,0.299998899405679,1004.0,1101274.0,Sales,Direct,West,CG,Apollo Healthco,Apollo Healthco,0.0,1101274.0,0.0539001,MT
FY'25-26,Mar'26,S000302517,8061180336.0,46086.0,Face,10200214.0,1061164928.0,Apollo Healthco Ltd_Raipur,8904417306231.0,80.0,The Derma Co.,Sun Care,Face,Sun Care,Hyaluronic Acid,1% Hyaluronic Sunscreen Aqua Gel 80g,649.0,34.0,13090.04,2356.2,22066.0,0.2999981872564125,1004.0,1101274.0,Sales,Direct,West,CG,Apollo Healthco,Apollo Healthco,0.0,1101274.0,0.1309004,MT
FY'25-26,Mar'26,S000302517,8061180336.0,46086.0,Face,10100912.0,1061164928.0,Apollo Healthco Ltd_Raipur,8904417305258.0,50.0,Mamaearth,Sun Care,Face,Sun Care,Vitamin C,Vitamin C Daily Glow Sunscreen 50 g,349.0,48.0,9085.86,1635.45,16752.0,0.3599982091690543,1004.0,1101274.0,Sales,Direct,West,CG,Apollo Healthco,Apollo Healthco,0.0,1101274.0,0.0908586,MT
FY'25-26,Mar'26,S000302517,8061180336.0,46086.0,Face,10101138.0,1061164928.0,Apollo Healthco Ltd_Raipur,8904417313420.0,50.0,Mamaearth,Sun Care,Face,Sun Care,Rice,Rice Dewy Bright Sunscreen SPF 50 50g,449.0,48.0,11689.25,2104.06,21552.0,0.3599986080178173,1004.0,1101274.0,Sales,Direct,West,CG,Apollo Healthco,Apollo Healthco,0.0,1101274.0,0.1168925,MT
FY'25-26,Mar'26,S000302517,8061180336.0,46086.0,Face,10100062.0,1061164928.0,Apollo Healthco Ltd_Raipur,8906087771333.0,80.0,Mamaearth,Sun Care,Face,Sun Care,Ubtan,Mamaearth Ultra Light Indian Sunscreen with Carrot Seed Turmeric & SPF 50 PA+++ - 80ml,499.0,240.0,64954.76,11691.82,119760.0,0.359998496993988,1004.0,1101274.0,Sales,Direct,West,CG,Apollo Healthco,Apollo Healthco,0.0,1101274.0,0.6495476,MT
FY'25-26,Mar'26,S000302517,8061180336.0,46086.0,Face,10200214.0,1061164928.0,Apollo Healthco Ltd_Raipur,8904417306231.0,80.0,The Derma Co.,Sun Care,Face,Sun Care,Hyaluronic Acid,1% Hyaluronic Sunscreen Aqua Gel 80g,649.0,144.0,55440.15,9979.2,93456.0,0.2999983949666153,1004.0,1101274.0,Sales,Direct,West,CG,Apollo Healthco,Apollo Healthco,0.0,1101274.0,0.5544015,MT
FY'25-26,Mar'26,S000302525,8061180338.0,46086.0,Face,10101163.0,1061164926.0,Apollo Healthco Ltd_Raipur,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,419.0,12.0,1597.88,287.62,5028.0,0.625,1004.0,1101274.0,Sales,Direct,West,CG,Apollo Healthco,Apollo Healthco,0.0,1101274.0,0.0159788,MT
FY'25-26,Mar'26,S000302525,8061180338.0,46086.0,Face,10101166.0,1061164926.0,Apollo Healthco Ltd_Raipur,8904417312546.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Vitamin C,Vitamin C Face Wash 150 ml,419.0,30.0,3994.69,719.05,12570.0,0.6250007955449484,1004.0,1101274.0,Sales,Direct,West,CG,Apollo Healthco,Apollo Healthco,0.0,1101274.0,0.0399469,MT
FY'25-26,Mar'26,S000302525,8061180338.0,46086.0,Face,10101166.0,1061164926.0,Apollo Healthco Ltd_Raipur,8904417312546.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Vitamin C,Vitamin C Face Wash 150 ml,419.0,1.0,133.15,23.97,419.0,0.6250119331742243,1004.0,1101274.0,Sales,Direct,West,CG,Apollo Healthco,Apollo Healthco,0.0,1101274.0,0.0013315,MT
FY'25-26,Mar'26,S000302525,8061180338.0,46086.0,Face,10101163.0,1061164926.0,Apollo Healthco Ltd_Raipur,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,419.0,27.0,3595.22,647.14,11313.0,0.6250013259082472,1004.0,1101274.0,Sales,Direct,West,CG,Apollo Healthco,Apollo Healthco,0.0,1101274.0,0.0359522,MT
