FY,Month,Purchase Order Number,Inv No.,Inv. Date,Category,Article Code,SO No,Ship To Name,EAN No.,net_content,brand,PPT Category,category,sub_category,range,Description,MRP Rate,Inv Qty,Inv. Net value(LOC),Inv. Tax Amount(LOC),Total MRP sales,Avg Tot,Plant,Cust-SAP Code,MTD-Sale type,PO Type,Zone,State,Chain name,Dist chain ten,Store Code,Cust-SAP Code.1,sale in lac,Channel
FY'25-26,May'25,1101548/April/30,8061141814.0,45778.0,Face,,1061120977.0,VISHAL ENTERPRISES_Solapur,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,399.0,1200.0,160276.34,28849.73,478800.0,0.6049998538011696,1004.0,1101548.0,Sales,Dist.,West,Maharashtra,VISHAL ENTERPRISES,D-Mart,,1101548.0,1.6027634,MT
FY'25-26,May'25,1101548/April/30,8061141814.0,45778.0,Face,,1061120977.0,VISHAL ENTERPRISES_Solapur,8906087771333.0,80.0,Mamaearth,Sun Care,Face,Sun Care,Ubtan,Mamaearth Ultra Light Indian Sunscreen with Carrot Seed Turmeric & SPF 50 PA+++ - 80ml,499.0,1440.0,261848.26,47132.67,718560.0,0.5699998190826097,1004.0,1101548.0,Sales,Dist.,West,Maharashtra,VISHAL ENTERPRISES,D-Mart,,1101548.0,2.6184826,MT
FY'25-26,May'25,9201566563.0,8061141815.0,45778.0,Face,,1061120595.0,Reliance Retail Limited-SAAH,8904417300512.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Ubtan,ME Ubtan Natural Glow Face Wash With Turmeric & Saffron 150ml,399.0,80.0,11902.18,2142.42,31920.0,0.5600062656641605,1004.0,1102369.0,Sales,Direct,North,Delhi NCR,Reliance Retail Limited,Reliance Retail Limited,,1102369.0,0.1190218,MT
FY'25-26,May'25,9201566563.0,8061141815.0,45778.0,Face,,1061120595.0,Reliance Retail Limited-SAAH,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,399.0,96.0,12984.21,2337.19,38304.0,0.6000052213868003,1004.0,1102369.0,Sales,Direct,North,Delhi NCR,Reliance Retail Limited,Reliance Retail Limited,,1102369.0,0.1298421,MT
FY'25-26,May'25,PO-S000227677,8061141821.0,45778.0,Face,,1061121087.0,Apollo Healthco Limited Faridabad_ShipTo,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,399.0,97.0,12299.68,2213.94,38703.0,0.6250001291889518,1004.0,1101092.0,Sales,Direct,North,Delhi NCR,Apollo Healthco,Apollo Healthco,,1101092.0,0.1229968,MT
FY'25-26,May'25,PO-S000227677,8061141821.0,45778.0,Face,,1061121087.0,Apollo Healthco Limited Faridabad_ShipTo,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,399.0,1543.0,195653.75,35217.64,615657.0,0.6249999756357842,1004.0,1101092.0,Sales,Direct,North,Delhi NCR,Apollo Healthco,Apollo Healthco,,1101092.0,1.9565375,MT
FY'25-26,May'25,PO-S000227677,8061141821.0,45778.0,Face,,1061121087.0,Apollo Healthco Limited Faridabad_ShipTo,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,399.0,40.0,5072.03,912.96,15960.0,0.6250006265664161,1004.0,1101092.0,Sales,Direct,North,Delhi NCR,Apollo Healthco,Apollo Healthco,,1101092.0,0.0507202999999999,MT
FY'25-26,May'25,NDH72599,8061141823.0,45778.0,Face,,1061120991.0,Fsn Distribution Ltd_Khasarwara,8906087775645.0,100.0,The Derma Co.,Face Cleanser,Face,Face Cleanser,Salicylic Acid,The Derma 1% Salicylic Acid Gel Face Wash,299.0,2.0,366.14,65.91,598.0,0.2775083612040134,1004.0,1101412.0,Sales,Direct,North,Lucknow-UPE,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1101412.0,0.0036614,EB2B
FY'25-26,May'25,NDH72599,8061141823.0,45778.0,Face,,1061120991.0,Fsn Distribution Ltd_Khasarwara,8906087775713.0,50.0,The Derma Co.,Sun Care,Face,Sun Care,Hyaluronic Acid,1% Hyaluronic Sunscreen Aqua Gel,499.0,100.0,30553.16,5499.57,49900.0,0.2775004008016033,1004.0,1101412.0,Sales,Direct,North,Lucknow-UPE,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1101412.0,0.3055316,EB2B
FY'25-26,May'25,NDH72599,8061141823.0,45778.0,Face,,1061120991.0,Fsn Distribution Ltd_Khasarwara,8904417302301.0,60.0,Mamaearth,Others,Face,Facial Kit,Vitamin C,Vitamin C Facial Kit,399.0,9.0,1991.79,358.52,3591.0,0.3454998607630186,1004.0,1101412.0,Sales,Direct,North,Lucknow-UPE,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1101412.0,0.0199179,EB2B
FY'25-26,May'25,NDH72599,8061141823.0,45778.0,Face,,1061120991.0,Fsn Distribution Ltd_Khasarwara,8904417311389.0,50.0,Aqualogica,Sun Care,Face,Sun Care,Illuminate+,Illuminate+ Dewy Sunscreen SPF 50+ PA++++ 50g,449.0,6.0,1649.5,296.91,2694.0,0.2775018559762434,1004.0,1101412.0,Sales,Direct,North,Lucknow-UPE,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1101412.0,0.016495,EB2B
FY'25-26,May'25,NDH72599,8061141823.0,45778.0,Face,,1061120991.0,Fsn Distribution Ltd_Khasarwara,8906087778462.0,50.0,Aqualogica,Sun Care,Face,Sun Care,Glow+,Glow+ Dewy Sunscreen 50gm,449.0,12.0,3299.01,593.82,5388.0,0.2774999999999999,1004.0,1101412.0,Sales,Direct,North,Lucknow-UPE,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1101412.0,0.0329901,EB2B
FY'25-26,May'25,NDH72599,8061141823.0,45778.0,Face,,1061120991.0,Fsn Distribution Ltd_Khasarwara,8904417312867.0,50.0,Mamaearth,Sun Care,Face,Sun Care,Beetroot,ME Beetroot Hydraful Sunscreen 50 g,399.0,63.0,13942.51,2509.65,25137.0,0.3455002585829654,1004.0,1101412.0,Sales,Direct,North,Lucknow-UPE,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1101412.0,0.1394251,EB2B
FY'25-26,May'25,NDH72599,8061141823.0,45778.0,Baby,,1061120991.0,Fsn Distribution Ltd_Khasarwara,8906087771203.0,50.0,Mamaearth,Baby,Baby,Sun Care,Solution Oriented,Mineral Based Sunscreen 50ml,150.0,60.0,4991.94,898.55,9000.0,0.3455011111111111,1004.0,1101412.0,Sales,Direct,North,Lucknow-UPE,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1101412.0,0.0499193999999999,EB2B
