FY,Month,Purchase Order Number,Inv No.,Inv. Date,Category,Article Code,SO No,Ship To Name,EAN No.,net_content,brand,PPT Category,category,sub_category,range,Description,MRP Rate,Inv Qty,Inv. Net value(LOC),Inv. Tax Amount(LOC),Total MRP sales,Avg Tot,Plant,Cust-SAP Code,MTD-Sale type,PO Type,Zone,State,Chain name,Dist chain ten,Store Code,Cust-SAP Code,sale in lac,Channel
FY'26-27,May'26,5002874593.0,8061189597.0,46143.0,Face,10101082.0,1061176052.0,Avenue Supermarts Ltd.-DC-1091,8904417311501.0,80.0,Mamaearth,Sun Care,Face,Sun Care,Vitamin C,Vitamin C Daily Glow Sunscreen 80 g,499.0,1008.0,176899.68,31841.96,502992.0,0.5850000795241277,1004.0,1103576.0,Sales,Direct,North,Haryana,D-Mart,D-Mart,1091.0,1103576.0,1.7689968,MT
FY'26-27,May'26,5002874593.0,8061189597.0,46143.0,Face,10200325.0,1061176052.0,Avenue Supermarts Ltd.-DC-1091,8904417315141.0,150.0,The Derma Co.,Face Cleanser,Face,Face Cleanser,Sali-Cinamide,TDC 2% Sali Cinamide anti-acne face wash 150ml,449.0,480.0,75797.27,13643.52,215520.0,0.5850000463994061,1004.0,1103576.0,Sales,Direct,North,Haryana,D-Mart,D-Mart,1091.0,1103576.0,0.7579727,MT
FY'26-27,May'26,5002874593.0,8061189597.0,46143.0,Face,10300034.0,1061176052.0,Avenue Supermarts Ltd.-DC-1091,8906087779407.0,50.0,Aqualogica,Sun Care,Face,Sun Care,Radiance+,Radiance+ Dewy Sunscreen 50gm,449.0,800.0,182644.01,32875.94,359200.0,0.4000001391982182,1004.0,1103576.0,Sales,Direct,North,Haryana,D-Mart,D-Mart,1091.0,1103576.0,1.8264401000000001,MT
FY'26-27,May'26,5002874593.0,8061189597.0,46143.0,Face,10101082.0,1061176052.0,Avenue Supermarts Ltd.-DC-1091,8904417311501.0,80.0,Mamaearth,Sun Care,Face,Sun Care,Vitamin C,Vitamin C Daily Glow Sunscreen 80 g,499.0,432.0,75814.15,13646.56,215568.0,0.5850000463890745,1004.0,1103576.0,Sales,Direct,North,Haryana,D-Mart,D-Mart,1091.0,1103576.0,0.7581414999999999,MT
FY'26-27,May'26,5002874593.0,8061189597.0,46143.0,Face,10300026.0,1061176052.0,Avenue Supermarts Ltd.-DC-1091,8906087778462.0,50.0,Aqualogica,Sun Care,Face,Sun Care,Glow+,Glow+ Dewy Sunscreen 50gm,449.0,500.0,114152.51,20547.46,224500.0,0.4000001336302895,1004.0,1103576.0,Sales,Direct,North,Haryana,D-Mart,D-Mart,1091.0,1103576.0,1.1415251,MT
FY'26-27,May'26,5002874593.0,8061189597.0,46143.0,Face,10200219.0,1061176052.0,Avenue Supermarts Ltd.-DC-1091,8904417306248.0,100.0,The Derma Co.,Face Cleanser,Face,Face Cleanser,Kojic Acid,1% Kojic Acid Daily Face Wash,299.0,960.0,145952.5,26271.46,287040.0,0.4000001393534003,1004.0,1103576.0,Sales,Direct,North,Haryana,D-Mart,D-Mart,1091.0,1103576.0,1.459525,MT
FY'26-27,May'26,5002874593.0,8061189597.0,46143.0,Face,10101314.0,1061176052.0,Avenue Supermarts Ltd.-DC-1091,8904417316896.0,80.0,Mamaearth,Sun Care,Face,Sun Care,Rice,Rice Water Dewy Sunscreen 80 g,549.0,600.0,115848.28,20852.7,329400.0,0.585000060716454,1004.0,1103576.0,Sales,Direct,North,Haryana,D-Mart,D-Mart,1091.0,1103576.0,1.1584828,MT
FY'26-27,May'26,2604110184100002-RE,8061189598.0,46143.0,Face,10101341.0,1061175835.0,M/S KOTTARAM BUSINESS CORPORATION-MT,8904417318364.0,200.0,Mamaearth,Moisturisers,Face,Moisturisers,Rice,ME Rice Dewy Bright Light Moisturizing Cream 200 g,449.0,72.0,17621.48,3171.87,32328.0,0.356800606285573,1004.0,1101841.0,Sales,Dist.,South-1,Kerala,M/S KOTTARAM BUSINESS,Apollo/H&G/Lulu,0.0,1101841.0,0.1762148,MT
FY'26-27,May'26,2604110184100002-RE,8061189598.0,46143.0,Hair,10100193.0,1061175835.0,M/S KOTTARAM BUSINESS CORPORATION-MT,8906087775089.0,250.0,Mamaearth,Shampoo,Hair,Shampoo,Rice,Rice Water Shampoo 250 ml,349.0,45.0,9620.43,481.02,15705.0,0.35680038204393505,1004.0,1101841.0,Sales,Dist.,South-1,Kerala,M/S KOTTARAM BUSINESS,Apollo/H&G/Lulu,0.0,1101841.0,0.0962043,MT
FY'26-27,May'26,2604110184100002-RE,8061189598.0,46143.0,Body,10101273.0,1061175835.0,M/S KOTTARAM BUSINESS CORPORATION-MT,8904417317275.0,400.0,Mamaearth,Body Lotion,Body,Body Lotion,Cocoa,Cocoa Rich Moisturizing Body Lotion 400 ml,549.0,114.0,34114.64,6140.64,62586.0,0.3568005624261017,1004.0,1101841.0,Sales,Dist.,South-1,Kerala,M/S KOTTARAM BUSINESS,Apollo/H&G/Lulu,0.0,1101841.0,0.3411464,MT
FY'26-27,May'26,2604110184100002-RE,8061189598.0,46143.0,Face,10200266.0,1061175835.0,M/S KOTTARAM BUSINESS CORPORATION-MT,8904417311327.0,50.0,The Derma Co.,Others,Face,Moisturisers,Ceramide,4% Ceramide Barrier Repair Moisturizer,229.0,100.0,12482.43,2246.84,22900.0,0.35680043668122274,1004.0,1101841.0,Sales,Dist.,South-1,Kerala,M/S KOTTARAM BUSINESS,Apollo/H&G/Lulu,0.0,1101841.0,0.1248243,MT
FY'26-27,May'26,2604110184100002-RE,8061189598.0,46143.0,Face,10100843.0,1061175835.0,M/S KOTTARAM BUSINESS CORPORATION-MT,8904417302608.0,150.0,Mamaearth,Others,Face,Face Cream,Vitamin C,Vitamin C Daily Glow Face Cream 150 gm,399.0,48.0,10439.46,1879.1,19152.0,0.35680033416875523,1004.0,1101841.0,Sales,Dist.,South-1,Kerala,M/S KOTTARAM BUSINESS,Apollo/H&G/Lulu,0.0,1101841.0,0.10439459999999999,MT
