FY,Month,Purchase Order Number,Inv No.,Inv. Date,Category,Article Code,SO No,Ship To Name,EAN No.,net_content,brand,PPT Category,category,sub_category,range,Description,MRP Rate,Inv Qty,Inv. Net value(LOC),Inv. Tax Amount(LOC),Total MRP sales,Avg Tot,Plant,Cust-SAP Code,MTD-Sale type,PO Type,Zone,State,Chain name,Dist chain ten,Store Code,Cust-SAP Code,sale in lac,Channel
FY'25-26,Nov'25,5111723073.0,8061162383.0,45964.0,Body,10101090.0,1061144761.0,Reliance Retail Limited_Fr87,8904417311570.0,500.0,Mamaearth,Soap,Body,Soap,Vitamin C,Vitamin C Moisturizing Lotion Soap Pack of 4 (125 g x 4),378.0,192.0,28277.16,1413.84,72576.0,0.5908978174603174,1004.0,1100930.0,Sales,Direct,North,Haryana,Reliance Retail Limited,Reliance Retail Limited,,1100930.0,0.2827716,MT
FY'25-26,Nov'25,5111722205.0,8061162384.0,45964.0,Body,10101090.0,1061144759.0,RELIANCE RETAIL LIMITED-Badli,8904417311570.0,500.0,Mamaearth,Soap,Body,Soap,Vitamin C,Vitamin C Moisturizing Lotion Soap Pack of 4 (125 g x 4),378.0,108.0,15905.7,795.3,40824.0,0.5909024103468548,1004.0,1102038.0,Sales,Direct,North,Haryana,Reliance Retail Limited,Reliance Retail Limited,,1102038.0,0.159057,MT
FY'25-26,Nov'25,9202048229.0,8061162385.0,45964.0,Hair,10101112.0,1061144765.0,Reliance Retail Limited_Fr87,8904417312294.0,400.0,Mamaearth,Shampoo,Hair,Shampoo,Lemon,Lemon Anti-Dandruff Shampoo 400 ml,533.0,96.0,20223.82,1011.18,51168.0,0.5849945278298937,1004.0,1100930.0,Sales,Direct,North,Haryana,Reliance Retail Limited,Reliance Retail Limited,,1100930.0,0.2022382,MT
FY'25-26,Nov'25,9202013285.0,8061162386.0,45964.0,Hair,10101112.0,1061144763.0,Reliance Retail Limited-S2BZ,8904417312294.0,400.0,Mamaearth,Shampoo,Hair,Shampoo,Lemon,Lemon Anti-Dandruff Shampoo 400 ml,533.0,216.0,45502.85,2275.15,115128.0,0.5850010423181156,1004.0,1103528.0,Sales,Direct,North,Lucknow-UPE,Reliance Retail Limited,Reliance Retail Limited,,1103528.0,0.4550285,MT
FY'25-26,Nov'25,9202048499.0,8061162387.0,45964.0,Hair,10101112.0,1061144766.0,RELIANCE RETAIL LIMITED-Badli,8904417312294.0,400.0,Mamaearth,Shampoo,Hair,Shampoo,Lemon,Lemon Anti-Dandruff Shampoo 400 ml,533.0,72.0,15167.62,758.38,38376.0,0.5850010423181156,1004.0,1102038.0,Sales,Direct,North,Haryana,Reliance Retail Limited,Reliance Retail Limited,,1102038.0,0.1516762,MT
FY'25-26,Nov'25,9202013286.0,8061162389.0,45964.0,Hair,10101112.0,1061144764.0,Reliance Retail Limited-SAAH,8904417312294.0,400.0,Mamaearth,Shampoo,Hair,Shampoo,Lemon,Lemon Anti-Dandruff Shampoo 400 ml,533.0,96.0,20223.82,1011.18,51168.0,0.5849945278298937,1004.0,1102369.0,Sales,Direct,North,Delhi NCR,Reliance Retail Limited,Reliance Retail Limited,,1102369.0,0.2022382,MT
FY'25-26,Nov'25,5111722834.0,8061162393.0,45964.0,Body,10101090.0,1061144760.0,Reliance Retail Limited-S2BZ,8904417311570.0,500.0,Mamaearth,Soap,Body,Soap,Vitamin C,Vitamin C Moisturizing Lotion Soap Pack of 4 (125 g x 4),378.0,228.0,33579.05,1678.95,86184.0,0.5908985426529286,1004.0,1103528.0,Sales,Direct,North,Lucknow-UPE,Reliance Retail Limited,Reliance Retail Limited,,1103528.0,0.33579050000000005,MT
FY'25-26,Nov'25,5111723098.0,8061162394.0,45964.0,Body,10101090.0,1061144762.0,Reliance Retail Limited-SAAH,8904417311570.0,500.0,Mamaearth,Soap,Body,Soap,Vitamin C,Vitamin C Moisturizing Lotion Soap Pack of 4 (125 g x 4),378.0,96.0,14138.07,706.93,36288.0,0.5909115961199294,1004.0,1102369.0,Sales,Direct,North,Delhi NCR,Reliance Retail Limited,Reliance Retail Limited,,1102369.0,0.1413807,MT
FY'25-26,Nov'25,NDH91300,8061162442.0,45965.0,Face,10100311.0,1061144791.0,Nykaa E-Retail Limited.-UP-LKW EB2B,8906087778240.0,50.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Vitamin C,ME Vitamin C Daily Glow Face Wash 50 ml,99.0,100.0,5491.13,988.41,9900.0,0.3455010101010101,1004.0,1103984.0,Sales,Direct,North,Lucknow-UPE,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103984.0,0.0549113,EB2B
FY'25-26,Nov'25,NDH91300,8061162442.0,45965.0,Face,10100121.0,1061144791.0,Nykaa E-Retail Limited.-UP-LKW EB2B,8906087772859.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Vitamin C,Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination Ã¯Â¿Â½ 100ml,269.0,120.0,17904.39,3222.8,32280.0,0.3455021685254027,1004.0,1103984.0,Sales,Direct,North,Lucknow-UPE,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103984.0,0.1790439,EB2B
FY'25-26,Nov'25,NDH91300,8061162442.0,45965.0,Face,10100121.0,1061144791.0,Nykaa E-Retail Limited.-UP-LKW EB2B,8906087772859.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Vitamin C,Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination Ã¯Â¿Â½ 100ml,269.0,8.0,1193.63,214.85,2152.0,0.34550185873605943,1004.0,1103984.0,Sales,Direct,North,Lucknow-UPE,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103984.0,0.0119363,EB2B
