FY,Month,Purchase Order Number,Inv No.,Inv. Date,Category,Article Code,SO No,Ship To Name,EAN No.,net_content,brand,PPT Category,category,sub_category,range,Description,MRP Rate,Inv Qty,Inv. Net value(LOC),Inv. Tax Amount(LOC),Total MRP sales,Avg Tot,Plant,Cust-SAP Code,MTD-Sale type,PO Type,Zone,State,Chain name,Dist chain ten,Store Code,Cust-SAP Code.1,sale in lac,Channel
FY'25-26,Oct'25,9201903996.0,8061158179.0,45934.0,Hair,10101045.0,1061139106.0,RELIANCE RETAIL LIMITED-SH71,8904417309546.0,650.0,Mamaearth,Shampoo,Hair,Shampoo,Onion,Onion Shampoo 650ml,862.0,24.0,6308.89,315.44,20688.0,0.6797984338747101,1004.0,1101954.0,,Direct,Central,Madhya Pradesh,Reliance Retail Limited,Reliance Retail Limited,,1101954.0,0.0630889,MT
FY'25-26,Oct'25,9201903996.0,8061158179.0,45934.0,Hair,10101055.0,1061139106.0,RELIANCE RETAIL LIMITED-SH71,8904417310351.0,400.0,Mamaearth,Shampoo,Hair,Shampoo,Rosemary,ME Rosemary Anti-Hairfall Shampoo 400 ml,599.0,96.0,20712.48,1035.62,57504.0,0.6217984835837507,1004.0,1101954.0,,Direct,Central,Madhya Pradesh,Reliance Retail Limited,Reliance Retail Limited,,1101954.0,0.2071248,MT
FY'25-26,Oct'25,9201903996.0,8061158179.0,45934.0,Hair,10100099.0,1061139106.0,RELIANCE RETAIL LIMITED-SH71,8906087772187.0,400.0,Mamaearth,Shampoo,Hair,Shampoo,Onion,Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin 400ml,599.0,60.0,12945.31,647.26,35940.0,0.6217982749026154,1004.0,1101954.0,,Direct,Central,Madhya Pradesh,Reliance Retail Limited,Reliance Retail Limited,,1101954.0,0.1294531,MT
FY'25-26,Oct'25,S000263303,8061158207.0,45935.0,Baby,10101002.0,1061140044.0,Apollo Healthco Ltd_Raipur,8904417308129.0,400.0,Mamaearth,Baby,Baby,Baby Body Wash,Milky,ME Baby MilkySoft Head To Toe Wash 400ml,499.0,48.0,7510.44,1351.87,23952.0,0.6299970774883099,1004.0,1101274.0,,Direct,West,CG,Apollo Healthco,Apollo Healthco,,1101274.0,0.0751044,MT
FY'25-26,Oct'25,S000263303,8061158207.0,45935.0,Body,10101211.0,1061140044.0,Apollo Healthco Ltd_Raipur,8904417315738.0,275.0,Mamaearth,Body Wash,Body,Body Wash,Vitamin C,Vitamin C Moisturizing Body Wash 275ml (250ml + 25ml),299.0,240.0,25541.91,4597.5,71760.0,0.5799970735785953,1004.0,1101274.0,,Direct,West,CG,Apollo Healthco,Apollo Healthco,,1101274.0,0.2554191,MT
FY'25-26,Oct'25,S000263303,8061158207.0,45935.0,Face,10200051.0,1061140044.0,Apollo Healthco Ltd_Raipur,8906087775713.0,50.0,The Derma Co.,Sun Care,Face,Sun Care,Hyaluronic Acid,1% Hyaluronic Sunscreen Aqua Gel,499.0,12.0,3552.23,639.4,5988.0,0.2999949899799599,1004.0,1101274.0,,Direct,West,CG,Apollo Healthco,Apollo Healthco,,1101274.0,0.0355223,MT
FY'25-26,Oct'25,S000263303,8061158207.0,45935.0,Body,10101200.0,1061140044.0,Apollo Healthco Ltd_Raipur,8904417315660.0,275.0,Mamaearth,Body Wash,Body,Body Wash,Rice Water,Rice Water Moisturizing Body Wash 275ml,299.0,144.0,15325.15,2758.5,43056.0,0.5799969806763285,1004.0,1101274.0,,Direct,West,CG,Apollo Healthco,Apollo Healthco,,1101274.0,0.15325149999999998,MT
FY'25-26,Oct'25,5111380741.0,8061158212.0,45935.0,Face,10101163.0,1061139945.0,Reliance Retail Limited-6205,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,419.0,48.0,6817.82,1227.18,20112.0,0.5999900556881463,1004.0,1102276.0,,Direct,North,Delhi NCR,Reliance Retail Limited,Reliance Retail Limited,,1102276.0,0.0681782,MT
FY'25-26,Oct'25,5111391046.0,8061158214.0,45935.0,Face,10101272.0,1061140129.0,Reliance Retail Limited_Fr89,8904417316346.0,50.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Face Wash 50 ml,125.0,72.0,5339.0,961.02,9000.0,0.2999977777777777,1004.0,1100929.0,,Direct,North,Lucknow-UPE,Reliance Retail Limited,Reliance Retail Limited,,1100929.0,0.05339,MT
FY'25-26,Oct'25,5111391046.0,8061158214.0,45935.0,Face,10100310.0,1061140129.0,Reliance Retail Limited_Fr89,8906087778233.0,50.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Ubtan,Ubtan Face Wash 50 ml,125.0,100.0,7415.27,1334.75,12500.0,0.2999984,1004.0,1100929.0,,Direct,North,Lucknow-UPE,Reliance Retail Limited,Reliance Retail Limited,,1100929.0,0.0741527,MT
FY'25-26,Oct'25,5111391046.0,8061158214.0,45935.0,Face,10100121.0,1061140129.0,Reliance Retail Limited_Fr89,8906087772859.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Vitamin C,Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination Ã¯Â¿Â½ 100ml,269.0,120.0,19149.21,3446.85,32280.0,0.29999814126394064,1004.0,1100929.0,,Direct,North,Lucknow-UPE,Reliance Retail Limited,Reliance Retail Limited,,1100929.0,0.1914921,MT
FY'25-26,Oct'25,5111391046.0,8061158214.0,45935.0,Face,10101163.0,1061140129.0,Reliance Retail Limited_Fr89,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,419.0,48.0,6817.65,1227.17,20112.0,0.5999990055688147,1004.0,1100929.0,,Direct,North,Lucknow-UPE,Reliance Retail Limited,Reliance Retail Limited,,1100929.0,0.0681765,MT
FY'25-26,Oct'25,5111391046.0,8061158214.0,45935.0,Face,10100105.0,1061140129.0,Reliance Retail Limited_Fr89,8906087772460.0,100.0,Mamaearth,Others,Face,Face Scrub,Ubtan,Ubtan Face Scrub with Turmeric & Walnut for Tan Removal - 100g,349.0,120.0,24844.15,4471.93,41880.0,0.2999980897803247,1004.0,1100929.0,,Direct,North,Lucknow-UPE,Reliance Retail Limited,Reliance Retail Limited,,1100929.0,0.2484415,MT
FY'25-26,Oct'25,9201994277.0,8061158215.0,45935.0,Hair,10100076.0,1061140137.0,Reliance Retail Limited_Fr89,8906087771807.0,250.0,Mamaearth,Shampoo,Hair,Shampoo,Onion,Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin 250 ml,349.0,90.0,18600.69,930.04,31410.0,0.37820025469595675,1004.0,1100929.0,,Direct,North,Lucknow-UPE,Reliance Retail Limited,Reliance Retail Limited,,1100929.0,0.18600689999999998,MT
FY'25-26,Oct'25,9201994277.0,8061158215.0,45935.0,Hair,10100099.0,1061140137.0,Reliance Retail Limited_Fr89,8906087772187.0,400.0,Mamaearth,Shampoo,Hair,Shampoo,Onion,Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin 400ml,599.0,30.0,6472.62,323.63,17970.0,0.6218002225932109,1004.0,1100929.0,,Direct,North,Lucknow-UPE,Reliance Retail Limited,Reliance Retail Limited,,1100929.0,0.0647262,MT
FY'25-26,Oct'25,9201994277.0,8061158215.0,45935.0,Hair,10101055.0,1061140137.0,Reliance Retail Limited_Fr89,8904417310351.0,400.0,Mamaearth,Shampoo,Hair,Shampoo,Rosemary,ME Rosemary Anti-Hairfall Shampoo 400 ml,599.0,120.0,25890.49,1294.53,71880.0,0.6217999443516973,1004.0,1100929.0,,Direct,North,Lucknow-UPE,Reliance Retail Limited,Reliance Retail Limited,,1100929.0,0.2589049,MT
FY'25-26,Oct'25,5111377623.0,8061158217.0,45935.0,Face,10100744.0,1061139907.0,Reliance Retail Limited_FRCQ,8904417301762.0,80.0,Mamaearth,Others,Face,Face Cream,Vitamin C,Vitamin C Daily Glow Cream 80 g,249.0,11.0,1624.85,292.46,2739.0,0.2999963490324936,1004.0,1102863.0,,Direct,North,Delhi NCR,Reliance Retail Limited,Reliance Retail Limited,,1102863.0,0.0162485,MT
FY'25-26,Oct'25,5111377623.0,8061158217.0,45935.0,Face,10101389.0,1061139907.0,Reliance Retail Limited_FRCQ,8904417319880.0,200.0,Mamaearth,Moisturisers,Face,Moisturisers,Vitamin C,ME Vitamin C Daily Glow Light Gel Moisturizer 200 G,499.0,6.0,1097.38,197.52,2994.0,0.56750167000668,1004.0,1102863.0,,Direct,North,Delhi NCR,Reliance Retail Limited,Reliance Retail Limited,,1102863.0,0.0109738,MT
