FY,Month,Purchase Order Number,Inv No.,Inv. Date,Category,Article Code,SO No,Ship To Name,EAN No.,net_content,brand,PPT Category,category,sub_category,range,Description,MRP Rate,Inv Qty,Inv. Net value(LOC),Inv. Tax Amount(LOC),Total MRP sales,Avg Tot,Plant,Cust-SAP Code,MTD-Sale type,PO Type,Zone,State,Chain name,Dist chain ten,Store Code,Cust-SAP Code.1,sale in lac,Channel
FY'25-26,Sep'25,6300709441.0,8061154261.0,45902.0,Face,,1061133929.0,Wal-Mart India Private Limited 4719,8904417305258.0,50.0,Mamaearth,Sun Care,Face,Sun Care,Vitamin C,Vitamin C Daily Glow Sunscreen 50 g,349.0,72.0,13202.96,2376.51,25128.0,0.3799956224132442,1004.0,1100500.0,Sales,Direct,North,Punjab,Walmart-CNC,Walmart-CNC,,1100500.0,0.1320296,MT
FY'25-26,Sep'25,6300709441.0,8061154261.0,45902.0,Face,,1061133929.0,Wal-Mart India Private Limited 4719,8906087779032.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Face Wash 100 ml,269.0,120.0,16960.83,3052.92,32280.0,0.3799953531598513,1004.0,1100500.0,Sales,Direct,North,Punjab,Walmart-CNC,Walmart-CNC,,1100500.0,0.1696083,MT
FY'25-26,Sep'25,6300709441.0,8061154261.0,45902.0,Face,,1061133929.0,Wal-Mart India Private Limited 4719,8906087772859.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Vitamin C,Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination Ã¯Â¿Â½ 100ml,269.0,120.0,16960.83,3052.92,32280.0,0.3799953531598513,1004.0,1100500.0,Sales,Direct,North,Punjab,Walmart-CNC,Walmart-CNC,,1100500.0,0.1696083,MT
FY'25-26,Sep'25,6300709441.0,8061154261.0,45902.0,Face,,1061133929.0,Wal-Mart India Private Limited 4719,8906087778240.0,50.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Vitamin C,ME Vitamin C Daily Glow Face Wash 50 ml,99.0,100.0,5201.73,936.3,9900.0,0.3799969696969697,1004.0,1100500.0,Sales,Direct,North,Punjab,Walmart-CNC,Walmart-CNC,,1100500.0,0.0520172999999999,MT
FY'25-26,Sep'25,6300709433.0,8061154262.0,45902.0,Hair,,1061133924.0,Wal-Mart India Private Limited 4719,8906087772897.0,250.0,Mamaearth,Shampoo,Hair,Shampoo,Bhringamla,BhringAmla Shampoo with Bhringraj & Amla for Intense Hair Treatment Ã¯Â¿Â½ 250 ml,349.0,45.0,8251.53,1485.32,15705.0,0.3800159184972939,1004.0,1100500.0,Sales,Direct,North,Punjab,Walmart-CNC,Walmart-CNC,,1100500.0,0.0825153,MT
FY'25-26,Sep'25,6300709433.0,8061154262.0,45902.0,Hair,,1061133924.0,Wal-Mart India Private Limited 4719,8906087776352.0,1000.0,Mamaearth,Shampoo,Hair,Shampoo,Onion,Onion Shampoo 1 Ltr.,1299.0,6.0,4095.02,737.13,7794.0,0.3800166794970491,1004.0,1100500.0,Sales,Direct,North,Punjab,Walmart-CNC,Walmart-CNC,,1100500.0,0.0409502,MT
FY'25-26,Sep'25,6300709445.0,8061154263.0,45902.0,Baby,,1061133932.0,Wal-Mart India Private Limited 4719,8906087770558.0,150.0,Mamaearth,Baby,Baby,Dusting Powder,Solution Oriented,Dusting Powder for Babies 150gm,199.0,50.0,5228.05,941.03,9950.0,0.379991959798995,1004.0,1100500.0,Sales,Direct,North,Punjab,Walmart-CNC,Walmart-CNC,,1100500.0,0.0522805,MT
FY'25-26,Sep'25,6300709445.0,8061154263.0,45902.0,Baby,,1061133932.0,Wal-Mart India Private Limited 4719,8906087770022.0,200.0,Mamaearth,Baby,Baby,Shampoo,Solution Oriented,ME Baby gentle cleansing shampoo 200ml,249.0,60.0,7849.95,1412.97,14940.0,0.3799919678714859,1004.0,1100500.0,Sales,Direct,North,Punjab,Walmart-CNC,Walmart-CNC,,1100500.0,0.0784995,MT
FY'25-26,Sep'25,NDH84586,8061154301.0,45903.0,Baby,,1061135092.0,Nykaa E-Retail Limited.-UP-Hapur EB2B,8906087770022.0,200.0,Mamaearth,Baby,Baby,Shampoo,Solution Oriented,ME Baby gentle cleansing shampoo 200ml,249.0,12.0,1657.34,298.32,2988.0,0.3454953145917001,1004.0,1103991.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103991.0,0.0165734,EB2B
FY'25-26,Sep'25,NDH84586,8061154301.0,45903.0,Face,,1061135092.0,Nykaa E-Retail Limited.-UP-Hapur EB2B,8906087772859.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Vitamin C,Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination Ã¯Â¿Â½ 100ml,269.0,31.0,4625.34,832.56,8339.0,0.3454970619978414,1004.0,1103991.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103991.0,0.0462534,EB2B
