Bill to customer,Direct/Distributor,NSV,MRP value,Month,FY,Zone,State,Brand,Chain Name,Channel
Avenue Supermarts Ltd.-DC-1050,Direct,0.33219150000000003,0.92232,Aug'26,FY_26-27,North,Punjab,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1050,Direct,0.2739661,0.7184,Aug'26,FY_26-27,North,Punjab,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1050,Direct,0.20547459999999998,0.5388,Aug'26,FY_26-27,North,Punjab,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1050,Direct,2.2602202,5.9268,Aug'26,FY_26-27,North,Punjab,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1050,Direct,0.7271142999999999,1.7964,Aug'26,FY_26-27,North,Punjab,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1050,Direct,0.14236780000000002,0.39528,Aug'26,FY_26-27,North,Punjab,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1050,Direct,0.8810846000000001,2.1888,Aug'26,FY_26-27,North,Punjab,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1050,Direct,0.304322,0.684,Aug'26,FY_26-27,North,Punjab,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1050,Direct,0.4547837,1.29312,Aug'26,FY_26-27,North,Punjab,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1050,Direct,2.3497155,6.68112,Aug'26,FY_26-27,North,Punjab,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1050,Direct,1.5719656,3.88368,Aug'26,FY_26-27,North,Punjab,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1050,Direct,1.364425,3.45216,Aug'26,FY_26-27,North,Punjab,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1050,Direct,0.912966,2.052,Aug'26,FY_26-27,North,Punjab,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1050,Direct,0.1746629,0.43152,Aug'26,FY_26-27,North,Punjab,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1050,Direct,0.3031892,0.86208,Aug'26,FY_26-27,North,Punjab,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1050,Direct,0.530581,1.50864,Aug'26,FY_26-27,North,Punjab,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1050,Direct,0.4564831,1.026,Aug'26,FY_26-27,North,Punjab,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1050,Direct,2.0466376,5.17824,Aug'26,FY_26-27,North,Punjab,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1050,Direct,0.392625,0.78525,Aug'26,FY_26-27,North,Punjab,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1050,Direct,0.4564831,1.026,Aug'26,FY_26-27,North,Punjab,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1050,Direct,0.152161,0.342,Aug'26,FY_26-27,North,Punjab,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1050,Direct,0.7709492,1.9152,Aug'26,FY_26-27,North,Punjab,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1091,Direct,4.5245287,8.89824,Aug'26,FY_26-27,North,Haryana,The Derma Co,MT,MT
Avenue Supermarts Ltd.-DC-1091,Direct,1.3135729,2.58336,Aug'26,FY_26-27,North,Haryana,The Derma Co,MT,MT
Avenue Supermarts Ltd.-DC-1091,Direct,1.3013385,3.4124,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1091,Direct,0.8337699000000001,2.37072,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1091,Direct,1.3643507000000001,3.87936,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1091,Direct,1.5753046,4.1308,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1091,Direct,0.8337699000000001,2.37072,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.014949200000000001,0.0504,Aug'26,FY_26-27,North,Rajasthan,The Derma Co,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.019540699999999998,0.03294,Aug'26,FY_26-27,North,Rajasthan,The Derma Co,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.7941257,2.2536,Aug'26,FY_26-27,North,Rajasthan,The Derma Co,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.0124398,0.02097,Aug'26,FY_26-27,North,Rajasthan,The Derma Co,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.0112119,0.0378,Aug'26,FY_26-27,North,Rajasthan,The Derma Co,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.0352029,0.0999,Aug'26,FY_26-27,North,Rajasthan,The Derma Co,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.7881525,2.6572,Aug'26,FY_26-27,North,Rajasthan,The Derma Co,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.07984,0.11976,Aug'26,FY_26-27,North,Rajasthan,The Derma Co,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.0553653,0.18666,Aug'26,FY_26-27,North,Rajasthan,The Derma Co,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.0760297,0.21576,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.4131458,1.3176,Aug'26,FY_26-27,North,Rajasthan,The Derma Co,MT,MT
