Month,MonthStart,FY Year,Ship To Name,Direct/Distributor,Chain,Zone,State,Brand,Primary NSV,MRP Value,Cont%
Apr'24,2024-04-01,FY_24-25,Apollo Healthco Limited_Bhiwandi,Direct,Apollo Healthco,West,Mumbai,Aqualogica,40000.0,60000.0,100.0
Apr'24,2024-04-01,FY_24-25,Apollo Healthco Limited_Bhiwandi,Direct,Apollo Healthco,West,Mumbai,Mamaearth,220000.0,410000.0,100.0
Apr'24,2024-04-01,FY_24-25,Apollo Healthco Limited_Bhiwandi,Direct,Apollo Healthco,West,Mumbai,The Derma Co,20000.0,40000.0,100.0
Apr'24,2024-04-01,FY_24-25,Apollo Healthco Limited_Faridabad,Direct,Apollo Healthco,North,Haryana,Aqualogica,140000.0,240000.0,100.0
Apr'24,2024-04-01,FY_24-25,Apollo Healthco Limited_Faridabad,Direct,Apollo Healthco,North,Haryana,Mamaearth,840000.0,1540000.0,100.0
Apr'24,2024-04-01,FY_24-25,Apollo Healthco Limited_Faridabad,Direct,Apollo Healthco,North,Haryana,The Derma Co,380000.0,630000.0,100.0
Apr'24,2024-04-01,FY_24-25,Apollo Healthco Limited_Rajasthan,Direct,Apollo Healthco,North,Rajasthan,Mamaearth,180000.0,340000.0,100.0
Apr'24,2024-04-01,FY_24-25,Apollo Healthco Limited-Bangalore,Direct,Apollo Healthco,South-1,Karnataka,Mamaearth,-10000.0,-10000.0,100.0
Apr'24,2024-04-01,FY_24-25,Apollo Healthco Ltd_Raipur,Direct,Apollo Healthco,West,Chattishgarh,Mamaearth,140000.0,260000.0,100.0
Apr'24,2024-04-01,FY_24-25,Avenue E Commerce Limited(Belapur),Direct,D-Mart,West,Mumbai,Aqualogica,60000.0,110000.0,100.0
Apr'24,2024-04-01,FY_24-25,Avenue E Commerce Limited(Ck Palya),Direct,D-Mart,South-1,Karnataka,Aqualogica,40000.0,80000.0,100.0
Apr'24,2024-04-01,FY_24-25,Avenue E Commerce Limited(Kanjur),Direct,D-Mart,West,Mumbai,Aqualogica,60000.0,110000.0,100.0
Apr'24,2024-04-01,FY_24-25,Avenue E Commerce Limited(Kiwale),Direct,D-Mart,West,Pune,Aqualogica,60000.0,110000.0,100.0
Apr'24,2024-04-01,FY_24-25,Avenue E Commerce Limited(Kushaiguda),Direct,D-Mart,South-2,Telangana,Aqualogica,40000.0,80000.0,100.0
Apr'24,2024-04-01,FY_24-25,Avenue E Commerce Limited(Mira Road) N2,Direct,D-Mart,West,Pune,Aqualogica,60000.0,110000.0,100.0
Apr'24,2024-04-01,FY_24-25,Avenue E Commerce Limited(Nahur),Direct,D-Mart,West,Mumbai,Aqualogica,60000.0,110000.0,100.0
Apr'24,2024-04-01,FY_24-25,Avenue E Commerce Limited_3826,Direct,D-Mart,West,Gujarat,Aqualogica,60000.0,110000.0,100.0
Apr'24,2024-04-01,FY_24-25,Avenue E Commerce Limited_GachibowlI,Direct,D-Mart,South-2,Telangana,Aqualogica,50000.0,100000.0,100.0
Apr'24,2024-04-01,FY_24-25,Avenue E Commerce Limited_Panvel-2,Direct,D-Mart,West,Pune,Aqualogica,40000.0,80000.0,100.0
Apr'24,2024-04-01,FY_24-25,Avenue E Commerce Ltd._Hennur Fc-Ka,Direct,D-Mart,South-1,Karnataka,Aqualogica,40000.0,80000.0,100.0
Apr'24,2024-04-01,FY_24-25,Avenue E Commerce Ltd_3919-Sardarnagar,Direct,D-Mart,West,Gujarat,Aqualogica,40000.0,80000.0,100.0
Apr'24,2024-04-01,FY_24-25,Avenue E Commerce Ltd_3925-Jahangirabad.,Direct,D-Mart,West,Gujarat,Aqualogica,60000.0,110000.0,100.0
Apr'24,2024-04-01,FY_24-25,Avenue E Commerce Ltd_4047-Vasai Waliv,Direct,D-Mart,West,Mumbai,Aqualogica,40000.0,80000.0,100.0
Apr'24,2024-04-01,FY_24-25,Avenue E Commerce Ltd_CadburyFC.,Direct,D-Mart,West,Mumbai,Aqualogica,60000.0,110000.0,100.0
Apr'24,2024-04-01,FY_24-25,Avenue E Commerce Ltd_Goregaon,Direct,D-Mart,West,Mumbai,Aqualogica,40000.0,80000.0,100.0
Apr'24,2024-04-01,FY_24-25,Avenue E Commerce Ltd_Hoodi FC,Direct,D-Mart,South-1,Karnataka,Aqualogica,40000.0,80000.0,100.0
Apr'24,2024-04-01,FY_24-25,Avenue E Commerce Ltd_Manpada,Direct,D-Mart,West,Mumbai,Aqualogica,40000.0,80000.0,100.0
Apr'24,2024-04-01,FY_24-25,Avenue E Commerce Ltd_PeddaAmberpetFC,Direct,D-Mart,South-2,Telangana,Aqualogica,40000.0,80000.0,100.0
Apr'24,2024-04-01,FY_24-25,Avenue E Commerce Ltd_SanandFC,Direct,D-Mart,West,Gujarat,Aqualogica,40000.0,80000.0,100.0
Apr'24,2024-04-01,FY_24-25,Avenue E Commerce Ltd_Wagholi,Direct,D-Mart,West,Pune,Aqualogica,40000.0,80000.0,100.0
Apr'24,2024-04-01,FY_24-25,Avenue Supermarts Ltd.-4905,Direct,D-Mart,West,Chattishgarh,Mamaearth,90000.0,240000.0,100.0
Apr'24,2024-04-01,FY_24-25,Avenue Supermarts Ltd.-DC-1032,Direct,D-Mart,South-1,Karnataka,Mamaearth,9240000.0,23110000.0,100.0
Apr'24,2024-04-01,FY_24-25,Avenue Supermarts Ltd.-DC-1039,Direct,D-Mart,West,Mumbai,BBlunt,210000.0,410000.0,100.0
Apr'24,2024-04-01,FY_24-25,Avenue Supermarts Ltd.-DC-1039,Direct,D-Mart,West,Mumbai,Mamaearth,23780000.0,60220000.0,100.0
Apr'24,2024-04-01,FY_24-25,Avenue Supermarts Ltd.-DC-1049,Direct,D-Mart,North,Madhya Pradesh,Mamaearth,4410000.0,11550000.0,100.0
Apr'24,2024-04-01,FY_24-25,Avenue Supermarts Ltd.-DC-1050,Direct,D-Mart,North,Punjab,Mamaearth,5920000.0,15500000.0,100.0
Apr'24,2024-04-01,FY_24-25,Avenue Supermarts Ltd.-DC-1068,Direct,D-Mart,North,Rajasthan,Mamaearth,2260000.0,5700000.0,100.0
Apr'24,2024-04-01,FY_24-25,Avenue Supermarts Ltd_4901,Direct,D-Mart,West,Chattishgarh,Mamaearth,250000.0,620000.0,100.0
Apr'24,2024-04-01,FY_24-25,Avenue Supermarts Ltd_4902,Direct,D-Mart,West,Chattishgarh,Mamaearth,350000.0,910000.0,100.0
Apr'24,2024-04-01,FY_24-25,Avenue Supermarts Ltd_4903,Direct,D-Mart,West,Chattishgarh,Mamaearth,220000.0,590000.0,100.0
Apr'24,2024-04-01,FY_24-25,Avenue Supermarts Ltd_4904,Direct,D-Mart,West,Chattishgarh,Mamaearth,100000.0,280000.0,100.0
Apr'24,2024-04-01,FY_24-25,Avenue Supermarts Ltd_4906,Direct,D-Mart,West,Chattishgarh,Mamaearth,120000.0,340000.0,100.0
Apr'24,2024-04-01,FY_24-25,Guardian Healthcare Services Pvt Ltd(DL),Direct,Guardian,North,Delhi,Aqualogica,10000.0,20000.0,100.0
Apr'24,2024-04-01,FY_24-25,Guardian Healthcare Services Pvt Ltd(DL),Direct,Guardian,North,Delhi,Mamaearth,90000.0,180000.0,100.0
Apr'24,2024-04-01,FY_24-25,Guardian Healthcare Services Pvt Ltd(DL),Direct,Guardian,North,Delhi,The Derma Co,20000.0,40000.0,100.0
Apr'24,2024-04-01,FY_24-25,H&B STORES LIMITED-BLR,Direct,B&N,South-1,Karnataka,Aqualogica,10000.0,30000.0,100.0
Apr'24,2024-04-01,FY_24-25,H&B STORES LIMITED-BLR,Direct,B&N,South-1,Karnataka,BBlunt,90000.0,140000.0,100.0
Apr'24,2024-04-01,FY_24-25,H&B STORES LIMITED-BLR,Direct,B&N,South-1,Karnataka,Mamaearth,390000.0,670000.0,100.0
Apr'24,2024-04-01,FY_24-25,H&B STORES LIMITED-BLR,Direct,B&N,South-1,Karnataka,The Derma Co,10000.0,20000.0,100.0
Apr'24,2024-04-01,FY_24-25,H&B STORES LIMITED-HYD,Direct,B&N,South-2,Telangana,Aqualogica,10000.0,20000.0,100.0
Apr'24,2024-04-01,FY_24-25,H&B STORES LIMITED-HYD,Direct,B&N,South-2,Telangana,BBlunt,50000.0,80000.0,100.0
Apr'24,2024-04-01,FY_24-25,H&B STORES LIMITED-HYD,Direct,B&N,South-2,Telangana,Mamaearth,220000.0,370000.0,100.0
Apr'24,2024-04-01,FY_24-25,H&B STORES LIMITED-HYD,Direct,B&N,South-2,Telangana,The Derma Co,10000.0,10000.0,100.0
Apr'24,2024-04-01,FY_24-25,Metro Cash & Carry India Pvt Ltd -(DC27)-T0SJ,Direct,Metro-CNC-RRL,South-1,Karnataka,BBlunt,10000.0,20000.0,100.0
Apr'24,2024-04-01,FY_24-25,Metro Cash & Carry India Pvt Ltd -(DC27)-T0SJ,Direct,Metro-CNC-RRL,South-1,Karnataka,Mamaearth,510000.0,980000.0,100.0
Apr'24,2024-04-01,FY_24-25,Metro Cash & Carry India Pvt Ltd -(DC34)-T0SR,Direct,Metro-CNC-RRL,South-1,Karnataka,Mamaearth,130000.0,230000.0,100.0
Apr'24,2024-04-01,FY_24-25,Metro Cash & Carry India Pvt Ltd-(DC10)-T0SM,Direct,Metro-CNC-RRL,South-1,Karnataka,BBlunt,-10000.0,-10000.0,100.0
Apr'24,2024-04-01,FY_24-25,Metro Cash & Carry India Pvt Ltd-(DC10)-T0SM,Direct,Metro-CNC-RRL,South-1,Karnataka,Mamaearth,360000.0,790000.0,100.0
Apr'24,2024-04-01,FY_24-25,Metro Cash & Carry India Pvt Ltd-(DC11)-T0SL,Direct,Metro-CNC-RRL,South-1,Karnataka,BBlunt,0.0,10000.0,100.0
Apr'24,2024-04-01,FY_24-25,Metro Cash & Carry India Pvt Ltd-(DC11)-T0SL,Direct,Metro-CNC-RRL,South-1,Karnataka,Mamaearth,210000.0,470000.0,100.0
