Month,MonthStart,FY Year,Ship To Name,Direct/Distributor,Chain,Zone,State,Brand,Primary NSV,MRP Value,Cont%
May'25,2025-05-01,FY_25-26,Apollo Healthco Limited Faridabad_ShipTo,Direct,Apollo,North,Haryana,Aqualogica,102434.3,172674.0,1.0
May'25,2025-05-01,FY_25-26,Apollo Healthco Limited Faridabad_ShipTo,Direct,Apollo,North,Haryana,Mamaearth,2459741.74,6732517.0,1.0
May'25,2025-05-01,FY_25-26,Apollo Healthco Limited Faridabad_ShipTo,Direct,Apollo,North,Haryana,The Derma Co.,565034.44,952487.0,1.0
May'25,2025-05-01,FY_25-26,APOLLO HEALTHCO LIMITED_AHMEDABAD,Direct,Apollo,West,Gujarat,Mamaearth,337400.77,1251356.0,1.0
May'25,2025-05-01,FY_25-26,Apollo Healthco Limited_Bhiwandi,Direct,Apollo,West,Mumbai,Aqualogica,28941.54,48787.0,1.0
May'25,2025-05-01,FY_25-26,Apollo Healthco Limited_Bhiwandi,Direct,Apollo,West,Mumbai,Mamaearth,597162.14,1557866.0,1.0
May'25,2025-05-01,FY_25-26,Apollo Healthco Limited_Bhiwandi,Direct,Apollo,West,Mumbai,The Derma Co.,137128.02,231158.0,1.0
May'25,2025-05-01,FY_25-26,Apollo Healthco Limited_Faridabad,Direct,Apollo,North,Haryana,Aqualogica,-592.06,-998.0,1.0
May'25,2025-05-01,FY_25-26,Apollo Healthco Limited_Faridabad,Direct,Apollo,North,Haryana,Mamaearth,51850.99,144290.0,1.0
May'25,2025-05-01,FY_25-26,Apollo Healthco Limited_Faridabad,Direct,Apollo,North,Haryana,The Derma Co.,-3636.85,-6131.0,1.0
May'25,2025-05-01,FY_25-26,Apollo Healthco Limited_Rajasthan,Direct,Apollo,North,Rajasthan,Mamaearth,421016.58,1133804.0,1.0
May'25,2025-05-01,FY_25-26,Apollo Healthco Limited_Rajasthan,Direct,Apollo,North,Rajasthan,The Derma Co.,198197.82,334105.0,1.0
May'25,2025-05-01,FY_25-26,Apollo Healthco Limited-Bangalore,Direct,Apollo,South-1,Karnataka,Mamaearth,2701170.3,8382294.0,1.0
May'25,2025-05-01,FY_25-26,Apollo Healthco Limited-Chennai,Direct,Apollo,South-1,Tamil Nadu,Mamaearth,498499.18,1547051.0,1.0
May'25,2025-05-01,FY_25-26,APOLLO HEALTHCO LIMITED-Chittor,Direct,Apollo,South-2,Andhra Pradesh,Mamaearth,324420.3,1025580.0,1.0
May'25,2025-05-01,FY_25-26,Apollo Healthco Limited-Goa,Direct,Apollo,West,Goa,Aqualogica,9589.23,16164.0,1.0
May'25,2025-05-01,FY_25-26,Apollo Healthco Limited-Goa,Direct,Apollo,West,Goa,Mamaearth,216700.87,639678.0,1.0
May'25,2025-05-01,FY_25-26,Apollo Healthco Limited-Goa,Direct,Apollo,West,Goa,The Derma Co.,33437.17,56365.0,1.0
May'25,2025-05-01,FY_25-26,Apollo Healthco Limited-Hubbli,Direct,Apollo,South-1,Karnataka,Mamaearth,1216887.16,3811335.0,1.0
May'25,2025-05-01,FY_25-26,APOLLO HEALTHCO LIMITED-HYD,Direct,Apollo,South-2,Telangana,Mamaearth,163389.03,511761.0,1.0
May'25,2025-05-01,FY_25-26,Apollo Healthco Limited-Kochi,Direct,Apollo,South-1,Kerala,Aqualogica,12785.06,21552.0,1.0
May'25,2025-05-01,FY_25-26,Apollo Healthco Limited-Kochi,Direct,Apollo,South-1,Kerala,Mamaearth,577306.7,1428596.0,1.0
May'25,2025-05-01,FY_25-26,Apollo Healthco Limited-Kochi,Direct,Apollo,South-1,Kerala,The Derma Co.,124036.92,209091.0,1.0
May'25,2025-05-01,FY_25-26,APOLLO HEALTHCO LIMITED-Madurai,Direct,Apollo,South-1,Tamil Nadu,Aqualogica,0.0,0.0,1.0
May'25,2025-05-01,FY_25-26,APOLLO HEALTHCO LIMITED-Madurai,Direct,Apollo,South-1,Tamil Nadu,Mamaearth,663270.37,2084503.0,1.0
May'25,2025-05-01,FY_25-26,APOLLO HEALTHCO LIMITED-Madurai,Direct,Apollo,South-1,Tamil Nadu,The Derma Co.,0.0,0.0,1.0
May'25,2025-05-01,FY_25-26,Apollo Healthco Limited-Ore,Direct,Apollo,East,Orissa,Mamaearth,396441.57,852086.0,1.0
May'25,2025-05-01,FY_25-26,Apollo Healthco Limited-Ore,Direct,Apollo,East,Orissa,The Derma Co.,436045.81,735048.0,1.0
May'25,2025-05-01,FY_25-26,Apollo Healthco Limited-Sanath Nagar,Direct,Apollo,South-2,Telangana,Mamaearth,365810.83,1138222.0,1.0
May'25,2025-05-01,FY_25-26,APOLLO HEALTHCO LIMITED-Vijayawada,Direct,Apollo,South-2,Andhra Pradesh,Mamaearth,265202.57,816446.0,1.0
May'25,2025-05-01,FY_25-26,APOLLO HEALTHCO LIMITED-WB,Direct,Apollo,East,West Bengal,Aqualogica,-2042.49,-3443.0,1.0
May'25,2025-05-01,FY_25-26,APOLLO HEALTHCO LIMITED-WB,Direct,Apollo,East,West Bengal,Mamaearth,-13299.53,-24520.0,1.0
May'25,2025-05-01,FY_25-26,APOLLO HEALTHCO LIMITED-WB,Direct,Apollo,East,West Bengal,The Derma Co.,-3995.38,-6735.0,1.0
May'25,2025-05-01,FY_25-26,APOLLO HEALTHCO LIMITED-WB-2,Direct,Apollo,East,West Bengal,Aqualogica,888.05,1497.0,1.0
May'25,2025-05-01,FY_25-26,APOLLO HEALTHCO LIMITED-WB-2,Direct,Apollo,East,West Bengal,Mamaearth,925380.65,3117042.0,1.0
May'25,2025-05-01,FY_25-26,Apollo Healthco Ltd_Raipur,Direct,Apollo,West,Chattishgarh,Aqualogica,17579.47,29634.0,1.0
May'25,2025-05-01,FY_25-26,Apollo Healthco Ltd_Raipur,Direct,Apollo,West,Chattishgarh,Mamaearth,509120.25,1500546.0,1.0
May'25,2025-05-01,FY_25-26,Apollo Healthco Ltd_Raipur,Direct,Apollo,West,Chattishgarh,The Derma Co.,24865.4,41916.0,1.0
May'25,2025-05-01,FY_25-26,Avenue E Commerce Limited(Belapur),Direct,D-Mart,West,Mumbai,Aqualogica,6998.74,13764.0,1.0
May'25,2025-05-01,FY_25-26,Avenue E Commerce Limited(Belapur),Direct,D-Mart,West,Mumbai,The Derma Co.,6693.66,13164.0,1.0
May'25,2025-05-01,FY_25-26,Avenue E Commerce Limited(Ck Palya),Direct,D-Mart,South-1,Karnataka,The Derma Co.,19720.24,43728.0,1.0
May'25,2025-05-01,FY_25-26,Avenue E Commerce Limited(Kanjur),Direct,D-Mart,West,Mumbai,Aqualogica,1519.34,2988.0,1.0
May'25,2025-05-01,FY_25-26,Avenue E Commerce Limited(Kanjur),Direct,D-Mart,West,Mumbai,The Derma Co.,14838.34,30528.0,1.0
May'25,2025-05-01,FY_25-26,Avenue E Commerce Limited(Mira Road) N2,Direct,D-Mart,West,Pune,Aqualogica,4259.18,8376.0,1.0
May'25,2025-05-01,FY_25-26,Avenue E Commerce Limited(Mira Road) N2,Direct,D-Mart,West,Pune,The Derma Co.,10966.26,25164.0,1.0
May'25,2025-05-01,FY_25-26,Avenue E Commerce Limited(Nahur),Direct,D-Mart,West,Mumbai,Aqualogica,8816.71,17340.0,1.0
May'25,2025-05-01,FY_25-26,Avenue E Commerce Limited(Nahur),Direct,D-Mart,West,Mumbai,The Derma Co.,32884.89,71868.0,1.0
May'25,2025-05-01,FY_25-26,Avenue E Commerce Limited_Panvel-2,Direct,D-Mart,West,Mumbai,Aqualogica,3038.44,5976.0,1.0
May'25,2025-05-01,FY_25-26,Avenue E Commerce Limited_Panvel-2,Direct,D-Mart,West,Mumbai,The Derma Co.,11792.84,24540.0,1.0
May'25,2025-05-01,FY_25-26,Avenue E Commerce Ltd -Andheri FC,Direct,D-Mart,West,Mumbai,Aqualogica,9738.08,19152.0,1.0
May'25,2025-05-01,FY_25-26,Avenue E Commerce Ltd -Andheri FC,Direct,D-Mart,West,Mumbai,The Derma Co.,3044.96,5988.0,1.0
May'25,2025-05-01,FY_25-26,Avenue E Commerce Ltd -Kurla FC,Direct,D-Mart,West,Mumbai,Aqualogica,10037.16,19740.0,1.0
May'25,2025-05-01,FY_25-26,Avenue E Commerce Ltd -Kurla FC,Direct,D-Mart,West,Mumbai,The Derma Co.,9738.2,19152.0,1.0
May'25,2025-05-01,FY_25-26,Avenue E Commerce Ltd -Nagpur-FC,Direct,D-Mart,West,Pune,The Derma Co.,329.6,649.0,1.0
May'25,2025-05-01,FY_25-26,Avenue E Commerce Ltd -Taloja FC-MH,Direct,D-Mart,West,Mumbai,Aqualogica,5777.9,11364.0,1.0
May'25,2025-05-01,FY_25-26,Avenue E Commerce Ltd -Vashi FC-E,Direct,D-Mart,West,Mumbai,Aqualogica,1519.22,2988.0,1.0
May'25,2025-05-01,FY_25-26,Avenue E Commerce Ltd -Vashi FC-E,Direct,D-Mart,West,Mumbai,The Derma Co.,4868.84,9576.0,1.0
