Source_Month,Chain Name,Brand,Category,Sub_Category,Range,EAN Code,Article Code,Description,MRP,Offer to consumer,ME_Contribution_Pct,Chain_Contribution_Pct,Total_Contribution_Pct,Locations,From ,To,Promo_Type
2026-09,Apollo,BBLUNT,Hair Colour,Creme Hair Colour,Salon Secret,8904417322422.0,BBL0025,BB SS Hair Colour Natural Black 130g,399.0,0.2,0.0,-9223372036854775808,-9.223372036854776e+18,PAN India ,2026-09-01,2026-09-30,Consumer Promotion
2026-09,Apollo,BBLUNT,Hair Colour,Creme Hair Colour,Salon Secret,8904417322415.0,BBL0026,BB SS Hair Colour Natural Choc Brown 130g,399.0,0.2,0.0,-9223372036854775808,-9.223372036854776e+18,PAN India ,2026-09-01,2026-09-30,Consumer Promotion
2026-09,Apollo,Mamaearth,Baby,Baby Body Wash,DermaSoft,8904417322552.0,MAM0598,MAMAEARTH BABY DERMASOFT HEAD TO TOE WASH 250ML,549.0,BOGO,0.0,-9223372036854775808,-9.223372036854776e+18,PAN India ,2026-09-01,2026-09-30,Consumer Promotion
2026-09,Apollo,Mamaearth,Baby,Baby Soap,DermaSoft,8904417322729.0,MAM0599,MAMAEARTH BABY DERMASOFT BATHING BAR 75G,229.0,BOGO,0.0,-9223372036854775808,-9.223372036854776e+18,PAN India ,2026-09-01,2026-09-30,Consumer Promotion
2026-09,Apollo,Mamaearth,Baby,Body Lotion,DermaSoft,8904417322569.0,MAM0597,MAMAEARTH BABY DERMASOFT BODY LOTION 250ML,549.0,BOGO,0.0,-9223372036854775808,-9.223372036854776e+18,PAN India ,2026-09-01,2026-09-30,Consumer Promotion
2026-09,Apollo,Mamaearth,Baby,Moisturisers,DermaSoft,8904417321722.0,MAM0596,MAMAEARTH BABY DERMASOFT FACE CREAM 80G,329.0,BOGO,0.0,-9223372036854775808,-9.223372036854776e+18,PAN India ,2026-09-01,2026-09-30,Consumer Promotion
2026-09,Apollo,Mamaearth,Body,Body Lotion,Rice Water,8904417317244.0,MAM0479,MAMAEARTH RICE WATER HYDRATING BODY LTN 400ML,469.0,BOGO,0.0,-9223372036854775808,-9.223372036854776e+18,PAN India ,2026-09-01,2026-09-30,Consumer Promotion
2026-09,Apollo,Mamaearth,Body,Body Lotion,Ubtan,8904417317183.0,MAM0485,MAMAEARTH UBTAN MOISTURIZING BODY LOTION 400ML,469.0,BOGO,0.0,-9223372036854775808,-9.223372036854776e+18,PAN India ,2026-09-01,2026-09-30,Consumer Promotion
2026-09,Apollo,Mamaearth,Body,Body Lotion,Vitamin C,8904417317268.0,MAM0478,MAMAEARTH VIT-C&HONEY DAILY GLOW BODY LTN 400ML,469.0,BOGO,0.0,-9223372036854775808,-9.223372036854776e+18,PAN India ,2026-09-01,2026-09-30,Consumer Promotion
2026-09,Apollo,Mamaearth,Body,Body Wash,Rice Water,8904417315660.0,MAM0492,Mamaearth Ricewater Moisturizing Bodywash 275Ml,299.0,BOGO,0.0,-9223372036854775808,-9.223372036854776e+18,PAN India ,2026-09-01,2026-09-30,Consumer Promotion
2026-09,Apollo,Mamaearth,Body,Body Wash,Ubtan,8904417317053.0,MAM0491,Mamaearth Ubtan Moisturizing Body Wash 275Ml,299.0,BOGO,0.0,-9223372036854775808,-9.223372036854776e+18,PAN India ,2026-09-01,2026-09-30,Consumer Promotion
2026-09,Apollo,Mamaearth,Body,Body Wash,Vitamin C,8904417315738.0,MAM0493,Mamaearth Vit-C Moisturizing Body Wash 275Ml,299.0,BOGO,0.0,-9223372036854775808,-9.223372036854776e+18,PAN India ,2026-09-01,2026-09-30,Consumer Promotion
