Source_Month,Month_Label,FY_Year,Brand,NSV_Lakh
2026-04,Apr-2026,FY27,Mamaearth,432.37
2026-05,May-2026,FY27,Mamaearth,239.39
2026-06,Jun-2026,FY27,Mamaearth,496.27
2026-04,Apr-2026,FY27,The Derma Co.,215.97
2026-05,May-2026,FY27,The Derma Co.,114.77
2026-06,Jun-2026,FY27,The Derma Co.,256.68
2026-04,Apr-2026,FY27,MamaEarth,52.71
2026-05,May-2026,FY27,MamaEarth,39.48
2026-06,Jun-2026,FY27,MamaEarth,174.69
2026-04,Apr-2026,FY27,Aqualogica,16.13
2026-05,May-2026,FY27,Aqualogica,11.15
2026-06,Jun-2026,FY27,Aqualogica,12.91
2026-04,Apr-2026,FY27,BBLUNT,6.14
2026-05,May-2026,FY27,BBLUNT,3.66
2026-06,Jun-2026,FY27,BBLUNT,3.16
2026-04,Apr-2026,FY27,Dr. Sheth's,0.82
2026-05,May-2026,FY27,Dr. Sheth's,0.61
2026-06,Jun-2026,FY27,Dr. Sheth's,0.3
2026-04,Apr-2026,FY27,BBlunt,0.0
2026-05,May-2026,FY27,BBlunt,0.0
2026-06,Jun-2026,FY27,BBlunt,0.0
