Source_Month,Month_Label,FY_Year,Chain,NSV_Lakh
2026-04,Apr-2026,FY27,Unmapped,276.04
2026-05,May-2026,FY27,Unmapped,201.1
2026-06,Jun-2026,FY27,Unmapped,514.59
2026-04,Apr-2026,FY27,DMart,439.22
2026-05,May-2026,FY27,DMart,287.09
2026-06,Jun-2026,FY27,DMart,254.73
2026-04,Apr-2026,FY27,Apollo,113.83
2026-05,May-2026,FY27,Apollo,111.78
2026-06,Jun-2026,FY27,Apollo,108.94
2026-04,Apr-2026,FY27,Lulu,97.06
2026-05,May-2026,FY27,Lulu,28.1
2026-06,Jun-2026,FY27,Lulu,89.17
2026-04,Apr-2026,FY27,Reliance Retail,69.32
2026-05,May-2026,FY27,Reliance Retail,28.65
2026-06,Jun-2026,FY27,Reliance Retail,59.77
2026-04,Apr-2026,FY27,Rajmandir,31.58
2026-05,May-2026,FY27,Rajmandir,25.54
2026-06,Jun-2026,FY27,Rajmandir,22.95
2026-04,Apr-2026,FY27,D-MART,77.68
2026-05,May-2026,FY27,D-MART,0.0
2026-06,Jun-2026,FY27,D-MART,0.0
2026-04,Apr-2026,FY27,H&G,18.86
2026-05,May-2026,FY27,H&G,12.33
2026-06,Jun-2026,FY27,H&G,14.34
2026-04,Apr-2026,FY27,More Retail,0.0
2026-05,May-2026,FY27,More Retail,25.71
2026-06,Jun-2026,FY27,More Retail,17.03
2026-04,Apr-2026,FY27,RRL,0.0
2026-05,May-2026,FY27,RRL,40.61
2026-06,Jun-2026,FY27,RRL,0.0
2026-04,Apr-2026,FY27,VMM,11.53
2026-05,May-2026,FY27,VMM,2.83
2026-06,Jun-2026,FY27,VMM,25.7
2026-04,Apr-2026,FY27,Baniya Ki Dukaan,15.71
2026-05,May-2026,FY27,Baniya Ki Dukaan,9.3
2026-06,Jun-2026,FY27,Baniya Ki Dukaan,8.63
2026-04,Apr-2026,FY27,Health & Glow,12.27
2026-05,May-2026,FY27,Health & Glow,8.35
2026-06,Jun-2026,FY27,Health & Glow,11.6
2026-04,Apr-2026,FY27,Airplaza,20.54
2026-05,May-2026,FY27,Airplaza,4.66
2026-06,Jun-2026,FY27,Airplaza,4.64
2026-04,Apr-2026,FY27,MRL,17.14
2026-05,May-2026,FY27,MRL,11.67
2026-06,Jun-2026,FY27,MRL,0.0
2026-04,Apr-2026,FY27,MORE,10.27
2026-05,May-2026,FY27,MORE,6.58
2026-06,Jun-2026,FY27,MORE,8.56
