Source_Month,Month_Label,FY_Year,Distributor,NSV_Lakh,Data_Source,Notes
2026-04,Apr-2026,FY27,Kiran Trading,552.08,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-05,May-2026,FY27,Kiran Trading,402.19,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-06,Jun-2026,FY27,Kiran Trading,250.99,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-04,Apr-2026,FY27,SVDA,160.77,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-05,May-2026,FY27,SVDA,132.2,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-06,Jun-2026,FY27,SVDA,164.29,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-04,Apr-2026,FY27,GV Enterprises,161.36,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-05,May-2026,FY27,GV Enterprises,0.0,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-06,Jun-2026,FY27,GV Enterprises,163.66,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-04,Apr-2026,FY27,AZ Enterprises,101.6,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-05,May-2026,FY27,AZ Enterprises,76.69,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-06,Jun-2026,FY27,AZ Enterprises,78.22,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-04,Apr-2026,FY27,Just Mark,0.0,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-05,May-2026,FY27,Just Mark,0.0,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-06,Jun-2026,FY27,Just Mark,255.6,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-04,Apr-2026,FY27,VA,78.25,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-05,May-2026,FY27,VA,67.56,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-06,Jun-2026,FY27,VA,68.57,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-04,Apr-2026,FY27,DL Sales,53.39,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-05,May-2026,FY27,DL Sales,40.55,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-06,Jun-2026,FY27,DL Sales,40.43,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-04,Apr-2026,FY27,Balaji,32.5,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-05,May-2026,FY27,Balaji,37.24,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-06,Jun-2026,FY27,Balaji,44.55,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-04,Apr-2026,FY27,Kottaram,48.47,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-05,May-2026,FY27,Kottaram,0.0,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-06,Jun-2026,FY27,Kottaram,58.07,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-04,Apr-2026,FY27,JB Traders,32.16,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-05,May-2026,FY27,JB Traders,24.33,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-06,Jun-2026,FY27,JB Traders,20.41,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-04,Apr-2026,FY27,Pragati Sales,22.22,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-05,May-2026,FY27,Pragati Sales,27.77,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-06,Jun-2026,FY27,Pragati Sales,22.21,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-04,Apr-2026,FY27,Sancus Networks Pvt Ltd.,20.44,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-05,May-2026,FY27,Sancus Networks Pvt Ltd.,12.23,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-06,Jun-2026,FY27,Sancus Networks Pvt Ltd.,18.45,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-04,Apr-2026,FY27,JB Traders North,7.05,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-05,May-2026,FY27,JB Traders North,5.67,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-06,Jun-2026,FY27,JB Traders North,5.9,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-04,Apr-2026,FY27,RealTime,9.52,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-05,May-2026,FY27,RealTime,0.33,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-06,Jun-2026,FY27,RealTime,4.64,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-04,Apr-2026,FY27,Anav Sales,4.62,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-05,May-2026,FY27,Anav Sales,4.46,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-06,Jun-2026,FY27,Anav Sales,4.49,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
