Month,Distributor,Chain,Chain_NSV_Lakh,Dist_Total_Lakh,Chain_TOT_Percent
2026-04,ABV Enterprises,Rajmandir,2.87,3.87,74.26
2026-04,ABV Enterprises,Max Bazaar,0.9,3.87,23.34
2026-04,ABV Enterprises,BIG RASHAN BAZAR UNIT,0.09,3.87,2.32
2026-04,ABV Enterprises,KIA Bazaar,0.0,3.87,0.08
2026-04,AZ Enterprises,Apollo,36.04,101.6,35.47
2026-04,AZ Enterprises,Lulu,28.71,101.6,28.25
2026-04,AZ Enterprises,H&G,15.18,101.6,14.94
2026-04,AZ Enterprises,Vishal Mega Mart,10.9,101.6,10.73
2026-04,AZ Enterprises,More Reatil,9.01,101.6,8.87
2026-04,AZ Enterprises,B&N,1.01,101.6,0.99
2026-04,AZ Enterprises,Max Hyper,0.38,101.6,0.37
2026-04,AZ Enterprises,Trilife,0.16,101.6,0.16
2026-04,AZ Enterprises,Smart Look,0.11,101.6,0.11
2026-04,AZ Enterprises,Frank Rose,0.09,101.6,0.09
2026-04,Anav Sales,Sodhi Supermart,3.63,4.62,78.67
2026-04,Anav Sales,KVSM,0.47,4.62,10.13
2026-04,Anav Sales,Needs,0.33,4.62,7.2
2026-04,Anav Sales,Garg Dastak,0.18,4.62,3.99
2026-04,Balaji,Reliance,21.14,32.5,65.04
2026-04,Balaji,Airplaza,11.02,32.5,33.92
2026-04,Balaji,Apollo,0.34,32.5,1.05
2026-04,DL Sales,Frank Ross,13.08,53.39,24.51
2026-04,DL Sales,APOLLO HEALTHCO LIMITED,10.29,53.39,19.27
2026-04,DL Sales,ABRL -MORE,8.71,53.39,16.32
2026-04,DL Sales,Spencers,6.01,53.39,11.25
2026-04,DL Sales,VMM,4.71,53.39,8.82
2026-04,DL Sales,ARAMBAGH FOOD MART,3.18,53.39,5.96
2026-04,DL Sales,Sumo Save,2.56,53.39,4.8
2026-04,DL Sales,Apna Mart,2.28,53.39,4.27
2026-04,DL Sales,Sasta Sundar,1.3,53.39,2.44
2026-04,DL Sales,H&G,1.27,53.39,2.37
2026-04,DL Sales,Unmapped,0.0,53.39,0.0
2026-04,GV Enterprises,Dmart,139.31,161.36,86.33
2026-04,GV Enterprises,Apollo,12.31,161.36,7.63
2026-04,GV Enterprises,Lulu,9.74,161.36,6.04
2026-04,JB Traders,Rajmandir,15.85,32.16,49.3
2026-04,JB Traders,Baniya Ki Dukaan,15.71,32.16,48.85
2026-04,JB Traders,Manish Agencies,0.59,32.16,1.83
2026-04,JB Traders,Cash Retail Party,0.01,32.16,0.02
2026-04,JB Traders,Max Bazaar,0.0,32.16,0.0
2026-04,JB Traders North,Rajmandir,7.05,7.05,100.0
2026-04,JB Traders North,KIA Bazaar,0.0,7.05,0.0
2026-04,Kiran Trading,Unmapped,552.08,552.08,100.0
2026-04,Kottaram,Lulu,48.47,48.47,100.0
2026-04,Leo Enterprises,BIG RASHAN BAZAR UNIT,0.1,0.1,100.0
2026-04,M/S RISHABH MARKETING,Kondli Bazaar,0.05,0.05,100.0
2026-04,Pragati Sales,D-Mart,21.52,22.22,96.88
2026-04,Pragati Sales,Apollo,0.69,22.22,3.12
2026-04,R.S. TRADING CO.,BIG RASHAN BAZAR UNIT,0.0,0.0,
2026-04,R.S. TRADING CO.,Max Bazaar,0.0,0.0,
2026-04,RealTime,Airplaza,9.52,9.52,100.0
2026-04,SVDA,D-MART,77.68,160.77,48.32
2026-04,SVDA,RELIANCE,48.18,160.77,29.97
2026-04,SVDA,APOLLO,30.86,160.77,19.2
2026-04,SVDA,H&G,2.42,160.77,1.5
2026-04,SVDA,ABRL,1.63,160.77,1.01
2026-04,Sai Saachi,VMM,3.31,5.67,58.5
2026-04,Sai Saachi,Unmapped,2.35,5.67,41.5
2026-04,Sancus Networks Pvt Ltd.,MORE,10.27,20.44,50.24
2026-04,Sancus Networks Pvt Ltd.,VMM,3.51,20.44,17.17
2026-04,Sancus Networks Pvt Ltd.,Rajmandir,2.68,20.44,13.12
2026-04,Sancus Networks Pvt Ltd.,Maa Durga,1.96,20.44,9.6
2026-04,Sancus Networks Pvt Ltd.,KIA Bazaar,1.69,20.44,8.25
2026-04,Sancus Networks Pvt Ltd.,Modern Bazaar,0.33,20.44,1.62
2026-04,Smriti Enterprises,Rajmandir,3.13,3.13,100.0
2026-04,Smriti Enterprises,Modern Bazaar,0.0,3.13,0.0
2026-04,Srijan,Fleet Labs,1.21,1.21,100.0
2026-04,United Marketing,Apollo,1.05,1.05,100.0
2026-04,VA,Apollo,32.54,78.25,41.58
2026-04,VA,MRL,17.14,78.25,21.9
2026-04,VA,Health & Glow,12.27,78.25,15.68
2026-04,VA,Lulu,10.14,78.25,12.96
2026-04,VA,Ratnadeep,3.03,78.25,3.88
2026-04,VA,National Mart,2.22,78.25,2.84
2026-04,VA,Beaute&Nutrie,0.9,78.25,1.15
2026-05,ABV Enterprises,Rajmandir,2.8,3.88,72.14
2026-05,ABV Enterprises,Max Bazaar,1.08,3.88,27.86
2026-05,AZ Enterprises,Apollo,39.4,76.69,51.38
2026-05,AZ Enterprises,More Retail,13.7,76.69,17.86
2026-05,AZ Enterprises,Lulu,12.91,76.69,16.84
2026-05,AZ Enterprises,H&G,9.89,76.69,12.9
2026-05,AZ Enterprises,Trilife,0.49,76.69,0.64
2026-05,AZ Enterprises,B&N,0.24,76.69,0.31
2026-05,AZ Enterprises,Frank Rose,0.06,76.69,0.08
2026-05,Anav Sales,Sodhi Supermart,3.82,4.46,85.7
2026-05,Anav Sales,Needs,0.39,4.46,8.85
2026-05,Anav Sales,Garg Dastak,0.22,4.46,4.97
2026-05,Anav Sales,KVSM,0.02,4.46,0.48
2026-05,Balaji,Reliance,28.65,37.24,76.93
2026-05,Balaji,Apollo,5.32,37.24,14.3
2026-05,Balaji,Airplaza,2.97,37.24,7.99
2026-05,Balaji,Other,0.29,37.24,0.79
2026-05,DL Sales,More,12.02,40.55,29.64
2026-05,DL Sales,Apollo,10.84,40.55,26.73
2026-05,DL Sales,Frank Ross,5.9,40.55,14.55
2026-05,DL Sales,Spencers,4.57,40.55,11.26
2026-05,DL Sales,ARAMBAGH FOOD MART,3.73,40.55,9.2
