Month,Chain,Brand,Brand_NSV_Lakh,Chain_Total_Lakh,Brand_TOT_Percent
2026-04,ABRL,Mamaearth,1.63,1.63,100.0
2026-04,ABRL -MORE,ME,5.72,8.71,65.68
2026-04,ABRL -MORE,TDC,2.31,8.71,26.5
2026-04,ABRL -MORE,AQ,0.68,8.71,7.82
2026-04,APOLLO,Mamaearth,25.5,30.86,82.62
2026-04,APOLLO,The Derma Co.,5.36,30.86,17.38
2026-04,APOLLO HEALTHCO LIMITED,ME,5.85,10.29,56.88
2026-04,APOLLO HEALTHCO LIMITED,TDC,4.44,10.29,43.12
2026-04,ARAMBAGH FOOD MART,ME,3.02,3.18,94.91
2026-04,ARAMBAGH FOOD MART,TDC,0.16,3.18,5.09
2026-04,Airplaza,ME,20.54,20.54,100.0
2026-04,Apna Mart,ME,1.68,2.28,73.91
2026-04,Apna Mart,TDC,0.59,2.28,26.09
2026-04,Apollo,The Derma Co.,41.4,82.97,49.89
2026-04,Apollo,Mamaearth,38.98,82.97,46.98
2026-04,Apollo,Unmapped,1.74,82.97,2.1
2026-04,Apollo,BBLUNT,0.51,82.97,0.62
2026-04,Apollo,TDC,0.23,82.97,0.28
2026-04,Apollo,ME,0.11,82.97,0.13
2026-04,B&N,The Derma Co.,0.41,1.01,40.91
2026-04,B&N,BBLUNT,0.32,1.01,32.14
2026-04,B&N,Mamaearth,0.16,1.01,16.15
2026-04,B&N,Aqualogica,0.11,1.01,10.8
2026-04,BIG RASHAN BAZAR UNIT,MamaEarth,0.16,0.19,84.61
2026-04,BIG RASHAN BAZAR UNIT,Aqualogica,0.02,0.19,11.23
2026-04,BIG RASHAN BAZAR UNIT,The Derma Co,0.01,0.19,4.16
2026-04,Baniya Ki Dukaan,MamaEarth,11.37,15.71,72.39
2026-04,Baniya Ki Dukaan,The Derma Co,3.62,15.71,23.04
2026-04,Baniya Ki Dukaan,Aqualogica,0.72,15.71,4.57
2026-04,Beaute&Nutrie,The Derma Co.,0.36,0.9,39.66
2026-04,Beaute&Nutrie,Bblunt,0.31,0.9,34.59
2026-04,Beaute&Nutrie,Aqualogica,0.13,0.9,14.11
2026-04,Beaute&Nutrie,Mamaearth,0.11,0.9,11.63
2026-04,Cash Retail Party,Aqualogica,0.01,0.01,100.0
2026-04,D-MART,Mamaearth,51.36,77.68,66.12
2026-04,D-MART,The Derma Co.,26.32,77.68,33.88
2026-04,D-Mart,Unmapped,21.52,21.52,100.0
2026-04,Dmart,Mamaearth,101.67,139.31,72.98
2026-04,Dmart,The Derma Co.,37.64,139.31,27.02
2026-04,Fleet Labs,ME,1.21,1.21,100.0
2026-04,Frank Rose,Mamaearth,0.09,0.09,100.0
2026-04,Frank Ross,ME,6.7,13.08,51.19
2026-04,Frank Ross,TDC,6.25,13.08,47.76
2026-04,Frank Ross,AQ,0.14,13.08,1.05
2026-04,Garg Dastak,MamaEarth,0.16,0.18,89.3
2026-04,Garg Dastak,The Derma Co,0.02,0.18,10.7
2026-04,H&G,The Derma Co.,9.16,18.86,48.55
2026-04,H&G,Mamaearth,3.63,18.86,19.25
2026-04,H&G,BBLUNT,3.02,18.86,16.01
2026-04,H&G,Aqualogica,1.43,18.86,7.56
2026-04,H&G,TDC,0.68,18.86,3.6
2026-04,H&G,Dr. Sheth's,0.36,18.86,1.9
2026-04,H&G,ME,0.27,18.86,1.41
2026-04,H&G,BB,0.23,18.86,1.2
2026-04,H&G,AQ,0.1,18.86,0.51
2026-04,Health & Glow,The Derma Co.,6.72,12.27,54.77
2026-04,Health & Glow,Mamaearth,2.53,12.27,20.61
2026-04,Health & Glow,Bblunt,1.69,12.27,13.74
2026-04,Health & Glow,Aqualogica,0.99,12.27,8.03
2026-04,Health & Glow,DR Sheths,0.35,12.27,2.85
2026-04,KIA Bazaar,MamaEarth,1.27,1.69,75.47
2026-04,KIA Bazaar,The Derma Co,0.36,1.69,21.46
2026-04,KIA Bazaar,Aqualogica,0.05,1.69,3.07
2026-04,KVSM,MamaEarth,0.45,0.47,96.1
2026-04,KVSM,The Derma Co,0.02,0.47,3.9
2026-04,Kondli Bazaar,MamaEarth,0.05,0.05,100.0
2026-04,Lulu,Mamaearth,47.2,97.06,48.63
2026-04,Lulu,The Derma Co.,43.61,97.06,44.93
2026-04,Lulu,Aqualogica,6.25,97.06,6.44
2026-04,MORE,The Derma Co,5.16,10.27,50.26
2026-04,MORE,MamaEarth,4.4,10.27,42.84
2026-04,MORE,Aqualogica,0.71,10.27,6.89
2026-04,MRL,Mamaearth,9.2,17.14,53.68
2026-04,MRL,The Derma Co.,6.62,17.14,38.6
2026-04,MRL,Aqualogica,1.32,17.14,7.72
2026-04,Maa Durga,MamaEarth,1.96,1.96,100.0
2026-04,Manish Agencies,MamaEarth,0.51,0.59,86.74
2026-04,Manish Agencies,The Derma Co,0.08,0.59,13.26
2026-04,Max Bazaar,MamaEarth,0.58,0.9,64.46
2026-04,Max Bazaar,The Derma Co,0.28,0.9,31.07
2026-04,Max Bazaar,Aqualogica,0.04,0.9,4.47
2026-04,Max Hyper,Mamaearth,0.38,0.38,100.0
2026-04,Modern Bazaar,MamaEarth,0.24,0.33,73.37
2026-04,Modern Bazaar,The Derma Co,0.09,0.33,26.63
2026-04,Modern Bazaar,Aqualogica,0.0,0.33,0.0
2026-04,Modern Bazaar,BBlunt,0.0,0.33,0.0
2026-04,More Reatil,Mamaearth,4.42,9.01,49.07
2026-04,More Reatil,The Derma Co.,3.79,9.01,42.06
2026-04,More Reatil,Aqualogica,0.8,9.01,8.86
2026-04,National Mart,Mamaearth,2.22,2.22,100.0
2026-04,Needs,MamaEarth,0.33,0.33,100.0
2026-04,RELIANCE,Mamaearth,43.84,48.18,90.98
2026-04,RELIANCE,The Derma Co.,2.91,48.18,6.04
2026-04,RELIANCE,Aqualogica,1.43,48.18,2.97
2026-04,Rajmandir,MamaEarth,24.59,31.58,77.86
2026-04,Rajmandir,The Derma Co,6.07,31.58,19.23
2026-04,Rajmandir,Aqualogica,0.92,31.58,2.91
2026-04,Ratnadeep,Mamaearth,3.03,3.03,100.0
2026-04,Reliance,ME,21.14,21.14,100.0
2026-04,Sasta Sundar,ME,1.3,1.3,100.0
2026-04,Smart Look,Dr. Sheth's,0.11,0.11,100.0
2026-04,Sodhi Supermart,MamaEarth,3.18,3.63,87.59
2026-04,Sodhi Supermart,The Derma Co,0.39,3.63,10.8
2026-04,Sodhi Supermart,Aqualogica,0.06,3.63,1.61
2026-04,Spencers,ME,4.98,6.01,82.88
2026-04,Spencers,TDC,0.81,6.01,13.49
2026-04,Spencers,AQ,0.22,6.01,3.64
2026-04,Sumo Save,ME,2.56,2.56,100.0
2026-04,Trilife,BBLUNT,0.06,0.16,35.77
2026-04,Trilife,Mamaearth,0.05,0.16,32.26
2026-04,Trilife,The Derma Co.,0.04,0.16,25.07
2026-04,Trilife,Aqualogica,0.01,0.16,6.9
2026-04,Unmapped,Unmapped,552.08,554.43,99.58
2026-04,Unmapped,ME,2.35,554.43,0.42
