Distributor,Chain,2026-04,2026-05,2026-06,2026-07
ABV Enterprises,BIG RASHAN BAZAR UNIT,2.32,,,
ABV Enterprises,Big Rashan Bazaar,,,2.87,
ABV Enterprises,KIA Bazaar,0.08,,,
ABV Enterprises,Max Bazaar,23.34,27.86,29.1,
ABV Enterprises,Rajmandir,74.26,72.14,68.03,
AZ Enterprises,Apollo,35.47,51.38,40.79,
AZ Enterprises,B&N,0.99,0.31,,
AZ Enterprises,Frank Rose,0.09,0.08,,
AZ Enterprises,Frank rose,,,5.88,
AZ Enterprises,H&G,14.94,12.9,18.34,
AZ Enterprises,Lulu,28.25,16.84,,
AZ Enterprises,Lulu Hyper,,,13.38,
AZ Enterprises,Max Hyper,0.37,,2.63,
AZ Enterprises,More Reatil,8.87,,,
AZ Enterprises,More Retail,,17.86,10.9,
AZ Enterprises,Smart Look,0.11,,,
AZ Enterprises,Trilife,0.16,0.64,0.11,
AZ Enterprises,Vishal Mega Mart,10.73,,7.97,
AZ Enterprises(Apollo/More)Mt,Apollo,,,,28.89
AZ Enterprises(Apollo/More)Mt,H&G,,,,16.42
AZ Enterprises(Apollo/More)Mt,Lulu Hyper,,,,38.85
AZ Enterprises(Apollo/More)Mt,More Retail,,,,8.0
AZ Enterprises(Apollo/More)Mt,Dmart,,,,0.49
AZ Enterprises(Apollo/More)Mt,Frank Ross,,,,0.48
AZ Enterprises(Apollo/More)Mt,VMM,,,,6.88
Anav Sales,Garg Dastak,3.99,4.97,2.16,
Anav Sales,KVSM,10.13,0.48,4.01,
Anav Sales,Needs,7.2,8.85,3.61,
Anav Sales,Sodhi Supermart,78.67,85.7,90.22,
Balaji,Apollo,1.05,14.3,,
Balaji,VMM,,,38.38,
Balaji,Airplaza,33.92,7.99,,
Balaji,Other,,0.79,,
Balaji,Reliance,65.04,76.93,61.62,
Balaji Associate,Airplaza,,,,26.41
Balaji Associate,Reliance Retail,,,,73.59
DL Sales,Apollo,,26.73,,
DL Sales,H&G,2.37,,,
DL Sales,Frank Ross,24.51,14.55,,
DL Sales,VMM,8.82,,5.5,
DL Sales,Airplaza,,3.35,,
DL Sales,ABRL -MORE,16.32,,,
