Month,Data_Status,NSV_L,COGS_Pct,Logistics_Pct,COGS_L,Logistics_L,Total_COGS_Logistics_L,CM2_L,CM2_Pct_of_NSV
Apr-26,ACTUAL,5069.17,14.05,2.97,712.22,150.55,862.77,4206.40,82.98
May-26,ACTUAL,4416.06,13.67,2.83,603.68,124.97,728.65,3687.41,83.50
Jun-26,ACTUAL,4167.36,14.56,4.09,606.77,170.45,777.21,3390.15,81.35
Jul-26,NO_DATA_MONTH_NOT_YET_LOADED,0.00,13.37,4.20,0.00,0.00,0.00,0.00,
Aug-26,NO_DATA_MONTH_NOT_YET_LOADED,0.00,13.60,4.14,0.00,0.00,0.00,0.00,
Sep-26,NO_DATA_MONTH_NOT_YET_LOADED,0.00,13.64,4.51,0.00,0.00,0.00,0.00,
Oct-26,NO_DATA_MONTH_NOT_YET_LOADED,0.00,15.22,4.58,0.00,0.00,0.00,0.00,
Nov-26,NO_DATA_MONTH_NOT_YET_LOADED,0.00,15.50,4.42,0.00,0.00,0.00,0.00,
Dec-26,NO_DATA_MONTH_NOT_YET_LOADED,0.00,15.72,4.24,0.00,0.00,0.00,0.00,
Jan-27,NO_DATA_MONTH_NOT_YET_LOADED,0.00,15.11,4.42,0.00,0.00,0.00,0.00,
Feb-27,NO_DATA_MONTH_NOT_YET_LOADED,0.00,14.50,3.90,0.00,0.00,0.00,0.00,
Mar-27,NO_DATA_MONTH_NOT_YET_LOADED,0.00,14.32,3.79,0.00,0.00,0.00,0.00,
FY27 TOTAL (3 months with data),SUBTOTAL_ACTUAL_ONLY,13652.59,14.08,3.27,1922.66,445.97,2368.64,11283.95,82.65
