Distributor,Ship_To_Name,Chain_Name,Brand,Month,Cont_Pct,Source,Approved_Date,Approval_Status,Basis,Patch_File
Dist.,Az Enterprises,H&G,BBlunt,2025-10-01,92.14,Approved Patch,2026-07-04,Approved,"Copied from 2025-11 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)",DistCont_Patch_Approved_2026-07-04.csv
Dist.,Az Enterprises,Trilife,BBlunt,2025-10-01,7.86,Approved Patch,2026-07-04,Approved,"Copied from 2025-11 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)",DistCont_Patch_Approved_2026-07-04.csv
Dist.,Az Enterprises,H&G,Mamaearth,2025-10-01,86.1414,Approved Patch,2026-07-04,Approved,"Copied from 2025-11 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)",DistCont_Patch_Approved_2026-07-04.csv
Dist.,Az Enterprises,Lulu,Mamaearth,2025-10-01,0.37,Approved Patch,2026-07-04,Approved,"Copied from 2025-11 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)",DistCont_Patch_Approved_2026-07-04.csv
Dist.,Az Enterprises,More Retail,Mamaearth,2025-10-01,13.4887,Approved Patch,2026-07-04,Approved,"Copied from 2025-11 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)",DistCont_Patch_Approved_2026-07-04.csv
Dist.,Az Enterprises,H&G,The Derma Co.,2025-10-01,95.0,Approved Patch,2026-07-04,Approved,"Copied from 2025-09 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)",DistCont_Patch_Approved_2026-07-04.csv
Dist.,Az Enterprises,Lulu,The Derma Co.,2025-10-01,3.9,Approved Patch,2026-07-04,Approved,"Copied from 2025-09 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)",DistCont_Patch_Approved_2026-07-04.csv
Dist.,Az Enterprises,More Retail,The Derma Co.,2025-10-01,1.1,Approved Patch,2026-07-04,Approved,"Copied from 2025-09 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)",DistCont_Patch_Approved_2026-07-04.csv
Dist.,Az Enterprises,Apollo,The Derma Co.,2025-11-01,53.15,Approved Patch,2026-07-04,Approved,"Copied from 2025-12 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)",DistCont_Patch_Approved_2026-07-04.csv
Dist.,Az Enterprises,B&N,The Derma Co.,2025-11-01,1.23,Approved Patch,2026-07-04,Approved,"Copied from 2025-12 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)",DistCont_Patch_Approved_2026-07-04.csv
Dist.,Az Enterprises,H&G,The Derma Co.,2025-11-01,37.28,Approved Patch,2026-07-04,Approved,"Copied from 2025-12 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)",DistCont_Patch_Approved_2026-07-04.csv
Dist.,Az Enterprises,Lulu,The Derma Co.,2025-11-01,7.77,Approved Patch,2026-07-04,Approved,"Copied from 2025-12 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)",DistCont_Patch_Approved_2026-07-04.csv
Dist.,Az Enterprises,More Retail,The Derma Co.,2025-11-01,0.36,Approved Patch,2026-07-04,Approved,"Copied from 2025-12 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)",DistCont_Patch_Approved_2026-07-04.csv
Dist.,Az Enterprises,Trilife,The Derma Co.,2025-11-01,0.21,Approved Patch,2026-07-04,Approved,"Copied from 2025-12 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)",DistCont_Patch_Approved_2026-07-04.csv
Dist.,Az Enterprises(Apollo/More)Mt,More Retail,Aqualogica,2025-11-01,100.0,Approved Patch,2026-07-04,Approved,"Copied from 2025-12 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)",DistCont_Patch_Approved_2026-07-04.csv
Dist.,Az Enterprises(Apollo/More)Mt,More Retail,Aqualogica,2026-04-01,100.0,Approved Patch,2026-07-04,Approved,"Copied from 2026-03 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)",DistCont_Patch_Approved_2026-07-04.csv
Dist.,Az Enterprises(Apollo/More)Mt,Apollo,BBlunt,2026-04-01,100.0,Approved Patch,2026-07-04,Approved,"Copied from 2026-03 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)",DistCont_Patch_Approved_2026-07-04.csv
Dist.,Az Enterprises(Apollo/More)Mt,More Retail,Mamaearth,2026-04-01,100.0,Approved Patch,2026-07-04,Approved,"Copied from 2026-05 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)",DistCont_Patch_Approved_2026-07-04.csv
Dist.,Az Enterprises(Apollo/More)Mt,H&G,The Derma Co.,2026-04-01,100.0,Approved Patch,2026-07-04,Approved,"Copied from 2026-03 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)",DistCont_Patch_Approved_2026-07-04.csv
Dist.,CHHABRA TRADERS_Ship To,Lulu,Mamaearth,2025-10-01,74.36,Approved Patch,2026-07-04,Approved,"Copied from 2025-09 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)",DistCont_Patch_Approved_2026-07-04.csv
Dist.,CHHABRA TRADERS_Ship To,Spencer,Mamaearth,2025-10-01,25.64,Approved Patch,2026-07-04,Approved,"Copied from 2025-09 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)",DistCont_Patch_Approved_2026-07-04.csv
Dist.,CHHABRA TRADERS_Ship To,VMM,Mamaearth,2026-04-01,100.0,Approved Patch,2026-07-04,Approved,"Copied from 2026-03 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)",DistCont_Patch_Approved_2026-07-04.csv
Dist.,CHHABRA TRADERS_Ship To,VMM,Mamaearth,2026-05-01,100.0,Approved Patch,2026-07-04,Approved,"Copied from 2026-03 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)",DistCont_Patch_Approved_2026-07-04.csv
Direct,Guardian Healthcare Services Pvt Ltd(DL),Guardian Healthcare,Aqualogica,2025-11-01,100.0,Approved Patch,2026-07-04,Approved,Approved 2026-07-04: Guardian is a Direct chain mis-tagged as Dist. in the primary file -- allocate 100% to Guardian Healthcare. ALSO fix PO Type to 'Direct' in the primary source.,DistCont_Patch_Approved_2026-07-04.csv
Direct,Guardian Healthcare Services Pvt Ltd(DL),Guardian Healthcare,Mamaearth,2025-11-01,100.0,Approved Patch,2026-07-04,Approved,Approved 2026-07-04: Guardian is a Direct chain mis-tagged as Dist. in the primary file -- allocate 100% to Guardian Healthcare. ALSO fix PO Type to 'Direct' in the primary source.,DistCont_Patch_Approved_2026-07-04.csv
Direct,Guardian Healthcare Services Pvt Ltd(DL),Guardian Healthcare,The Derma Co.,2025-11-01,100.0,Approved Patch,2026-07-04,Approved,Approved 2026-07-04: Guardian is a Direct chain mis-tagged as Dist. in the primary file -- allocate 100% to Guardian Healthcare. ALSO fix PO Type to 'Direct' in the primary source.,DistCont_Patch_Approved_2026-07-04.csv
Dist.,SAI SAACHI ASSOCIATES-MT-OR,VMM,The Derma Co.,2026-04-01,100.0,Approved Patch,2026-07-04,Approved,"Copied from 2026-03 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)",DistCont_Patch_Approved_2026-07-04.csv
