Store Code,Chain Name,Status,Zone,City Category,Store Type,State
1100065,Wellness Forever,Active,West,Tier 1,Pharmacy,Maharashtra
1100298,Az Enterprises-H&G,Active,South-1,Tier 1,Supermarket,Karnataka
1100423,Metro-CNC-RRL,Active,North,Tier 1,Supermarket,Delhi
1100424,Metro-CNC-RRL,Active,South-1,Tier 1,Supermarket,Karnataka
1100425,Metro-CNC-RRL,Active,South-1,Tier 1,Supermarket,Karnataka
1100426,Metro-CNC-RRL,Active,South-2,Tier 1,Supermarket,Telangana
1100427,Metro-CNC-RRL,Active,South-2,Tier 1,Supermarket,Telangana
1100428,Metro-CNC-RRL,Active,South-2,Tier 1,Supermarket,Telangana
1100429,Metro-CNC-RRL,Active,South-2,Tier 2,Supermarket,Andhra Pradesh
1100430,Metro-CNC-RRL,Active,West,Tier 1,Supermarket,Maharashtra
1100431,Metro-CNC-RRL,Active,North,Tier 2,Supermarket,Punjab
1100432,Metro-CNC-RRL,Active,East,Tier 1,Supermarket,West Bengal
1100439,Travel News Services-Wsmith,Active,East,Tier 1,Supermarket,West Bengal
1100493,Walmart-CNC,Active,North,Tier 2,Supermarket,Punjab
1100494,Walmart-CNC,Active,North,Tier 2,Supermarket,Punjab
1100495,Walmart-CNC,Active,North,Tier 2,Supermarket,Punjab
1100496,Walmart-CNC,Active,Central,Tier 2,Supermarket,Madhya Pradesh
1100497,Walmart-CNC,Active,North,Tier 2,Supermarket,Rajasthan
1100498,Walmart-CNC,Active,Central,Tier 2,Supermarket,Chhattisgarh
1100499,Walmart-CNC,Active,North,Tier 2,Supermarket,Punjab
1100500,Walmart-CNC,Active,North,Tier 2,Supermarket,Jammu & Kashmir
1100501,Walmart-CNC,Active,North,Tier 2,Supermarket,Uttar Pradesh
1100502,Walmart-CNC,Active,North,Tier 2,Supermarket,Uttar Pradesh
1100503,Walmart-CNC,Active,West,Tier 1,Supermarket,Maharashtra
1100504,Walmart-CNC,Active,North,Tier 2,Supermarket,Uttar Pradesh
1100505,Walmart-CNC,Active,Central,Tier 2,Supermarket,Madhya Pradesh
1100507,Walmart-CNC,Active,South-2,Tier 2,Supermarket,Andhra Pradesh
1100509,Walmart-CNC,Active,Central,Tier 2,Supermarket,Madhya Pradesh
1100510,Walmart-CNC,Active,North,Tier 2,Supermarket,Uttar Pradesh
1100538,D-Mart-Offline,Active,West,Tier 1,Hypermarket,Maharashtra
1100607,Walmart-CNC,Active,South-2,Tier 2,Supermarket,Andhra Pradesh
1100610,Walmart-CNC,Active,South-2,Tier 2,Supermarket,Andhra Pradesh
1100618,Reliance Retail,Active,North,Tier 2,Hypermarket,Punjab
1100619,Reliance Retail,Active,East,Tier 2,Hypermarket,Jharkhand
1100624,Reliance Retail,Active,East,Tier 2,Hypermarket,Odisha
1100627,Reliance Retail,Active,West,Tier 1,Hypermarket,Gujarat
