Chain Name,Ship-To Name,Bill-To / Account (inferred),Direct/Distributor,Brand,Month Logic,Months Covered,Month Range,Avg Cont%,Min Cont%,Max Cont%,Mapping Confidence,Remarks,Pri: Low Confidence,Pri: Medium Confidence,Pri: Multi-Chain Distributor,Pri: Negative NSV/Cont,Pri: Name Variant (Merge Candidate),Validation Status,Validated Chain,Validated Account / Bill-To,Mapping Action,Validation Remarks,Validated By,Validated Date
D-Mart,CHHABRA TRADERS_Ship To,CHHABRA TRADERS,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),2,Apr'26–May'26,6.46,1.04,11.87,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
Deal Share,CHHABRA TRADERS_Ship To,CHHABRA TRADERS,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),1,Dec'25–Dec'25,12.15,12.15,12.15,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
Deal Share,Sancus Networks Private Limited-RMT,Sancus Networks Private Limited,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),1,Mar'26–Mar'26,5.93,5.93,5.93,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
Lulu,CHHABRA TRADERS_Ship To,CHHABRA TRADERS,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),1,May'26–May'26,100.0,100.0,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
Lulu,CHHABRA TRADERS_Ship To,CHHABRA TRADERS,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),8,Apr'25–Jan'26,67.42,10.98,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
Lulu,CHHABRA TRADERS_Ship To,CHHABRA TRADERS,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,78.64,15.0,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
Medanta,Sancus Networks Private Limited-RMT,Sancus Networks Private Limited,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),1,May'26–May'26,0.47,0.47,0.47,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
More Retail,Sancus Networks Private Limited-RMT,Sancus Networks Private Limited,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),1,Mar'26–Mar'26,6.54,6.54,6.54,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
More Retail,Sancus Networks Private Limited-RMT,Sancus Networks Private Limited,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),11,Apr'25–May'26,11.24,1.47,21.22,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
More Retail,Sancus Networks Private Limited-RMT,Sancus Networks Private Limited,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),2,Sep'25–Mar'26,21.27,14.77,27.76,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
RMT-Sancus,Sancus Networks Private Limited-RMT,Sancus Networks Private Limited,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,99.53,93.46,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
RMT-Sancus,Sancus Networks Private Limited-RMT,Sancus Networks Private Limited,Dist.,BBlunt,Monthly dynamic Cont% (secondary-driven),9,Apr'25–Apr'26,100.0,100.0,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
RMT-Sancus,Sancus Networks Private Limited-RMT,Sancus Networks Private Limited,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,71.38,29.75,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
RMT-Sancus,Sancus Networks Private Limited-RMT,Sancus Networks Private Limited,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,75.41,8.54,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
Spencers,CHHABRA TRADERS_Ship To,CHHABRA TRADERS,Dist.,BBlunt,Monthly dynamic Cont% (secondary-driven),2,May'25–Jun'25,100.0,100.0,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
Spencers,CHHABRA TRADERS_Ship To,CHHABRA TRADERS,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),6,May'25–Dec'25,32.16,12.64,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
Spencers,CHHABRA TRADERS_Ship To,CHHABRA TRADERS,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),1,Feb'26–Feb'26,50.29,50.29,50.29,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
Vishal Mega Mart,CHHABRA TRADERS_Ship To,CHHABRA TRADERS,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),8,Apr'25–Mar'26,28.44,1.41,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
Vishal Mega Mart,Sancus Networks Private Limited-RMT,Sancus Networks Private Limited,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),4,Dec'25–May'26,8.48,3.14,19.09,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
