Month,Bill to customer,Brand,Chain Name,NSV
April'24,Apollo Healthco Limited_Bhiwandi,Aqualogica,Apollo Healthco,0.3598381
April'24,Apollo Healthco Limited_Bhiwandi,Mamaearth,Apollo Healthco,2.211505500000001
April'24,Apollo Healthco Limited_Bhiwandi,The Derma Co,Apollo Healthco,0.23863539999999997
April'24,Apollo Healthco Limited_Faridabad,Aqualogica,Apollo Healthco,1.4324103
April'24,Apollo Healthco Limited_Faridabad,Mamaearth,Apollo Healthco,8.353809900000002
April'24,Apollo Healthco Limited_Faridabad,The Derma Co,Apollo Healthco,3.764313600000001
April'24,Apollo Healthco Limited_Rajasthan,Mamaearth,Apollo Healthco,1.8241688999999996
April'24,Apollo Healthco Limited-Bangalore,Mamaearth,Apollo Healthco,-0.0633132
April'24,Apollo Healthco Ltd_Raipur,Mamaearth,Apollo Healthco,1.4141517
April'24,Avenue E Commerce Limited(Belapur),Aqualogica,D-Mart,0.5658727999999998
April'24,Avenue E Commerce Limited(Ck Palya),Aqualogica,D-Mart,0.38330439999999993
April'24,Avenue E Commerce Limited(Kanjur),Aqualogica,D-Mart,0.5658728
April'24,Avenue E Commerce Limited(Kiwale),Aqualogica,D-Mart,0.5658728
April'24,Avenue E Commerce Limited(Kushaiguda),Aqualogica,D-Mart,0.3833045
April'24,Avenue E Commerce Limited(Mira Road) N2,Aqualogica,D-Mart,0.5658728
April'24,Avenue E Commerce Limited(Nahur),Aqualogica,D-Mart,0.5658728
April'24,Avenue E Commerce Limited_3826,Aqualogica,D-Mart,0.5658732
April'24,Avenue E Commerce Limited_GachibowlI,Aqualogica,D-Mart,0.5202875
April'24,Avenue E Commerce Limited_Panvel-2,Aqualogica,D-Mart,0.4229062
April'24,Avenue E Commerce Ltd._Hennur Fc-Ka,Aqualogica,D-Mart,0.3833042
April'24,Avenue E Commerce Ltd_3919-Sardarnagar,Aqualogica,D-Mart,0.42290619999999995
April'24,Avenue E Commerce Ltd_3925-Jahangirabad.,Aqualogica,D-Mart,0.5658732
April'24,Avenue E Commerce Ltd_4047-Vasai Waliv,Aqualogica,D-Mart,0.4229061999999999
April'24,Avenue E Commerce Ltd_CadburyFC.,Aqualogica,D-Mart,0.5658728
April'24,Avenue E Commerce Ltd_Goregaon,Aqualogica,D-Mart,0.4229062000000001
April'24,Avenue E Commerce Ltd_Hoodi FC,Aqualogica,D-Mart,0.3833042
April'24,Avenue E Commerce Ltd_Manpada,Aqualogica,D-Mart,0.4229062
April'24,Avenue E Commerce Ltd_PeddaAmberpetFC,Aqualogica,D-Mart,0.38330440000000005
April'24,Avenue E Commerce Ltd_SanandFC,Aqualogica,D-Mart,0.4229062
April'24,Avenue E Commerce Ltd_Wagholi,Aqualogica,D-Mart,0.42290619999999995
April'24,Avenue Supermarts Ltd.-4905,Mamaearth,D-Mart,0.8641016999999999
April'24,Avenue Supermarts Ltd.-DC-1032,Mamaearth,D-Mart,92.354718
April'24,Avenue Supermarts Ltd.-DC-1039,BBlunt,D-Mart,2.0542422
April'24,Avenue Supermarts Ltd.-DC-1039,Mamaearth,D-Mart,237.82166540000003
April'24,Avenue Supermarts Ltd.-DC-1049,Mamaearth,D-Mart,44.07499130000003
April'24,Avenue Supermarts Ltd.-DC-1050,Mamaearth,D-Mart,59.171186199999994
April'24,Avenue Supermarts Ltd.-DC-1068,Mamaearth,D-Mart,22.568500199999995
April'24,Avenue Supermarts Ltd_4901,Mamaearth,D-Mart,2.4555249
April'24,Avenue Supermarts Ltd_4902,Mamaearth,D-Mart,3.5394658999999997
April'24,Avenue Supermarts Ltd_4903,Mamaearth,D-Mart,2.2233721
April'24,Avenue Supermarts Ltd_4904,Mamaearth,D-Mart,1.046695
April'24,Avenue Supermarts Ltd_4906,Mamaearth,D-Mart,1.2409232000000001
April'24,Guardian Healthcare Services Pvt Ltd(DL),Aqualogica,Guardian,0.1201725
April'24,Guardian Healthcare Services Pvt Ltd(DL),Mamaearth,Guardian,0.8901425999999999
April'24,Guardian Healthcare Services Pvt Ltd(DL),The Derma Co,Guardian,0.222345
April'24,H&B STORES LIMITED-BLR,Aqualogica,B&N,0.14886860000000002
April'24,H&B STORES LIMITED-BLR,BBlunt,B&N,0.8811513000000001
April'24,H&B STORES LIMITED-BLR,Mamaearth,B&N,3.9473699000000018
April'24,H&B STORES LIMITED-BLR,The Derma Co,B&N,0.1202042
April'24,H&B STORES LIMITED-HYD,Aqualogica,B&N,0.0964814
April'24,H&B STORES LIMITED-HYD,BBlunt,B&N,0.5143383
April'24,H&B STORES LIMITED-HYD,Mamaearth,B&N,2.1988233
April'24,H&B STORES LIMITED-HYD,The Derma Co,B&N,0.0604076
April'24,Metro Cash & Carry India Pvt Ltd -(DC27)-T0SJ,BBlunt,Metro-CNC-RRL,0.1295061
April'24,Metro Cash & Carry India Pvt Ltd -(DC27)-T0SJ,Mamaearth,Metro-CNC-RRL,5.0859657
April'24,Metro Cash & Carry India Pvt Ltd -(DC34)-T0SR,Mamaearth,Metro-CNC-RRL,1.2664414
April'24,Metro Cash & Carry India Pvt Ltd-(DC10)-T0SM,BBlunt,Metro-CNC-RRL,-0.0608644
April'24,Metro Cash & Carry India Pvt Ltd-(DC10)-T0SM,Mamaearth,Metro-CNC-RRL,3.5758395999999997
April'24,Metro Cash & Carry India Pvt Ltd-(DC11)-T0SL,BBlunt,Metro-CNC-RRL,0.0471928
April'24,Metro Cash & Carry India Pvt Ltd-(DC11)-T0SL,Mamaearth,Metro-CNC-RRL,2.0709182
April'24,Metro Cash & Carry India Pvt Ltd-(DC12)-T0QX,Aqualogica,Metro-CNC-RRL,1.2716714
April'24,Metro Cash & Carry India Pvt Ltd-(DC12)-T0QX,BBlunt,Metro-CNC-RRL,0.12950810000000001
April'24,Metro Cash & Carry India Pvt Ltd-(DC12)-T0QX,Mamaearth,Metro-CNC-RRL,0.8923813
April'24,Metro Cash & Carry India Pvt Ltd-(DC12)-T0QX,The Derma Co,Metro-CNC-RRL,2.2680156
April'24,Metro Cash & Carry India Pvt Ltd-(DC18)-T0SN,BBlunt,Metro-CNC-RRL,0.19037269999999998
April'24,Metro Cash & Carry India Pvt Ltd-(DC18)-T0SN,Mamaearth,Metro-CNC-RRL,2.0556597
April'24,Metro Cash & Carry India Pvt Ltd-(DC20)-T0RK,Mamaearth,Metro-CNC-RRL,0.21155939999999998
April'24,Metro Cash & Carry India Pvt Ltd-(DC23)-T0RL,Aqualogica,Metro-CNC-RRL,1.8311681
April'24,Metro Cash & Carry India Pvt Ltd-(DC23)-T0RL,The Derma Co,Metro-CNC-RRL,3.7094840999999996
April'24,Metro Cash & Carry India Pvt Ltd-(DC24)-T0RJ,Mamaearth,Metro-CNC-RRL,-0.09993170000000001
April'24,Metro Cash & Carry India Pvt Ltd-(DC26)-T0SP,BBlunt,Metro-CNC-RRL,0.2402543
April'24,Metro Cash & Carry India Pvt Ltd-(DC26)-T0SP,Mamaearth,Metro-CNC-RRL,3.0235419
April'24,Metro Cash & Carry India Pvt Ltd-(DC29)-T0RA,Aqualogica,Metro-CNC-RRL,1.5531112
April'24,Metro Cash & Carry India Pvt Ltd-(DC29)-T0RA,BBlunt,Metro-CNC-RRL,0.1295083
April'24,Metro Cash & Carry India Pvt Ltd-(DC29)-T0RA,Mamaearth,Metro-CNC-RRL,1.4895781999999997
April'24,Metro Cash & Carry India Pvt Ltd-(DC29)-T0RA,The Derma Co,Metro-CNC-RRL,4.7454541
April'24,Metro Cash & Carry India Pvt Ltd-(DC32)-T0QU,Mamaearth,Metro-CNC-RRL,0.5076447000000001
April'24,Metro Cash & Carry India Pvt Ltd-(DC36)-T0RH,Mamaearth,Metro-CNC-RRL,0.8593723
April'24,Metro Cash & Carry India Pvt Ltd-(DC43)-T2YF,Mamaearth,Metro-CNC-RRL,0.2264834
April'24,Metro Cash & Carry India Pvt Ltd-(DC46)-T0RC,Aqualogica,Metro-CNC-RRL,1.5670043
April'24,Metro Cash & Carry India Pvt Ltd-(DC46)-T0RC,BBlunt,Metro-CNC-RRL,0.1981511
April'24,Metro Cash & Carry India Pvt Ltd-(DC46)-T0RC,Mamaearth,Metro-CNC-RRL,0.30202629999999997
April'24,Metro Cash & Carry India Pvt Ltd-(DC46)-T0RC,The Derma Co,Metro-CNC-RRL,2.0296903
April'24,Metro Cash & Carry India Pvt Ltd-(DC47)-T0SI,Mamaearth,Metro-CNC-RRL,-0.2316444
April'24,Metro Cash & Carry India Pvt Ltd-(DC48)-T0SK,Mamaearth,Metro-CNC-RRL,0.0576787
April'24,Metro Cash & Carry India Pvt Ltd-(DC52)-T0RI,Mamaearth,Metro-CNC-RRL,1.1442286
April'24,Metro Cash & Carry India Pvt Ltd-(DC53)-T0QV,Mamaearth,Metro-CNC-RRL,0.5819671000000001
April'24,Metro Cash & Carry India Pvt Ltd-(DC60)-T0QS,Aqualogica,Metro-CNC-RRL,1.5575101999999998
April'24,Metro Cash & Carry India Pvt Ltd-(DC60)-T0QS,BBlunt,Metro-CNC-RRL,0.1295095
April'24,Metro Cash & Carry India Pvt Ltd-(DC60)-T0QS,Mamaearth,Metro-CNC-RRL,0.5667793000000001
April'24,Metro Cash & Carry India Pvt Ltd-(DC60)-T0QS,The Derma Co,Metro-CNC-RRL,2.8853802
April'24,Metro Cash & Carry India Pvt Ltd_DC33(T0SQ),Mamaearth,Metro-CNC-RRL,2.2819666
April'24,Metro Cash & Carry India Pvt Ltd_T0SO,Mamaearth,Metro-CNC-RRL,1.0384236000000002
April'24,Metro Cash & Carry India Pvt Ltd_T2LW,Mamaearth,Metro-CNC-RRL,-2.7063398
April'24,Metro Cash & Carry India Pvt Ltd_T2ND,Mamaearth,Metro-CNC-RRL,-0.1661777
April'24,Metro Cash & Carry India Pvt Ltd_T2OX,Mamaearth,Metro-CNC-RRL,-1.9262716
April'24,Metro Cash & Carry India Pvt Ltd_T2QA,Mamaearth,Metro-CNC-RRL,-1.3531698
April'24,Metro Cash & Carry India Pvt Ltd_T2TG,Mamaearth,Metro-CNC-RRL,-0.0830938
April'24,Metro Cash & Carry India Pvt Ltd_T3DM,Mamaearth,Metro-CNC-RRL,-1.1783308
April'24,Octopolis Technologies Pvt Ltd,Mamaearth,Apna Klub,4.4554577
April'24,Relaince Retail _Madhavaram- TNB8,Mamaearth,Reliance Retail,0.6930928999999999
April'24,Relaince Retail _Mysore_2994,Mamaearth,Reliance Retail,0.46452600000000005
April'24,Relaince Retail _RAJAJI NAGAR- FR49,Mamaearth,Reliance Retail,0.32548200000000005
April'24,Relaince Retail_Davanagere- TNC0,Mamaearth,Reliance Retail,0.6960159999999997
April'24,Relaince Retail_Hubballi_2997,Mamaearth,Reliance Retail,0.7303797999999997
April'24,Relaince Retail_Nagercoil- 3338,Mamaearth,Reliance Retail,0.9894080000000001
April'24,Reliance Retail Limited Ce08,Aqualogica,Reliance Retail,0.5700921000000001
April'24,Reliance Retail Limited Ce08,Mamaearth,Reliance Retail,20.444068800000014
April'24,Reliance Retail Limited Cf08,Aqualogica,Reliance Retail,0.4684234
April'24,Reliance Retail Limited Cf08,Mamaearth,Reliance Retail,15.773330200000002
April'24,Reliance Retail Limited Cm08,Mamaearth,Reliance Retail,8.580729600000003
April'24,Reliance Retail Limited Ct08,Aqualogica,Reliance Retail,0.4961525
April'24,Reliance Retail Limited Ct08,Mamaearth,Reliance Retail,9.255170699999999
April'24,Reliance Retail Limited Ea08,Aqualogica,Reliance Retail,0.21838040000000006
April'24,Reliance Retail Limited Ea08,Mamaearth,Reliance Retail,18.585711199999995
April'24,Reliance Retail Limited Fb08,Aqualogica,Reliance Retail,0.4961543
April'24,Reliance Retail Limited Fb08,Mamaearth,Reliance Retail,12.168822799999996
April'24,Reliance Retail Limited Fd08,Mamaearth,Reliance Retail,0.3687458
April'24,Reliance Retail Limited R301,Mamaearth,Reliance Retail,0.5205848
April'24,Reliance Retail Limited R426,Mamaearth,Reliance Retail,1.1081948000000001
April'24,Reliance Retail Limited R468,Mamaearth,Reliance Retail,1.5316766999999998
April'24,Reliance Retail Limited R701,Aqualogica,Reliance Retail,0.5608503
April'24,Reliance Retail Limited R701,Mamaearth,Reliance Retail,25.80412520000001
April'24,Reliance Retail Limited R801,Aqualogica,Reliance Retail,0.42221240000000004
April'24,Reliance Retail Limited R801,Mamaearth,Reliance Retail,35.19066990000001
April'24,Reliance Retail Limited Sc79,Aqualogica,Reliance Retail,0.46842360000000005
April'24,Reliance Retail Limited Sc79,Mamaearth,Reliance Retail,6.315364399999999
April'24,Reliance Retail Limited Sc86,Mamaearth,Reliance Retail,1.9770344
April'24,Reliance Retail Limited_2364,Mamaearth,Reliance Retail,0.9173132
April'24,Reliance Retail Limited_2995,Mamaearth,Reliance Retail,0.5821600000000001
April'24,Reliance Retail Limited_2996,Mamaearth,Reliance Retail,0.5650937999999999
April'24,Reliance Retail Limited_3210,Mamaearth,Reliance Retail,0.10778029999999998
April'24,Reliance Retail Limited_6221,Mamaearth,Reliance Retail,0.420466
April'24,Reliance Retail Limited_6722,Mamaearth,Reliance Retail,0.4749656
April'24,Reliance Retail Limited_6727,Mamaearth,Reliance Retail,0.5478053999999999
April'24,Reliance Retail Limited_Cy08-Kerala,Mamaearth,Reliance Retail,9.967846200000004
April'24,Reliance Retail Limited_FR00,Mamaearth,Reliance Retail,0.6176350000000002
April'24,Reliance Retail Limited_FR02,Mamaearth,Reliance Retail,0.5496358
April'24,Reliance Retail Limited_FR03,Mamaearth,Reliance Retail,0.6038046000000001
April'24,Reliance Retail Limited_FR10,Mamaearth,Reliance Retail,0.6259075999999999
April'24,Reliance Retail Limited_FR27,Mamaearth,Reliance Retail,0.2404411999999999
April'24,Reliance Retail Limited_FR30,Mamaearth,Reliance Retail,0.29575399999999996
April'24,Reliance Retail Limited_FR31,Mamaearth,Reliance Retail,0.4005673999999999
April'24,Reliance Retail Limited_Fr87,Aqualogica,Reliance Retail,0.5700909
April'24,Reliance Retail Limited_Fr87,Mamaearth,Reliance Retail,22.471054700000007
April'24,Reliance Retail Limited_Fr89,Aqualogica,Reliance Retail,0.49615119999999996
April'24,Reliance Retail Limited_Fr89,Mamaearth,Reliance Retail,3.6534932999999996
April'24,Reliance Retail Limited_Fraz,Aqualogica,Reliance Retail,0.49615370000000003
April'24,Reliance Retail Limited_Fraz,Mamaearth,Reliance Retail,11.080448099999998
April'24,Reliance Retail Limited_FRBD,Mamaearth,Reliance Retail,0.7703226999999999
April'24,Reliance Retail Limited_FRCQ,Mamaearth,Reliance Retail,0.2817286
