Customer Code,Customer Name / Ship-to Name,State,Zone,City / Location,Business Region / Sub-region,Chain Name,Account,Channel,Mapping Source,Validation Status,Remarks
1101088,Fsn Distribution Ltd_Revenue Village,Assam,East,Northeast-Assam,Northeast-Assam,Fsn Distribution,Nykaa E-Retail Limited,EB2B,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1101223,Fsn Distribution_Sarpara,Assam,East,Northeast-Assam,Northeast-Assam,Fsn Distribution,Nykaa E-Retail Limited,EB2B,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1101457,SG51-EGROCERY FC GUWAHATI,Assam,East,Northeast-Assam,Northeast-Assam,Reliance Retail-Jio-CNC,Reliance Retail,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1101533,FRHW-GUWAHATI,Assam,East,Northeast-Assam,Northeast-Assam,Reliance Retail-DC,Reliance Retail,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1101657,SC BUSINESS COMBINE_MT,Assam,East,Northeast-Assam,Northeast-Assam,SC BUSINESS COMBINE,SC BUSINESS COMBINE,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam; Source Status=Inactive
1101706,F1ZA-GUWAHATI-IFDC SF-FOOD-AS,Assam,East,Northeast-Assam,Northeast-Assam,Reliance Retail-DC,Reliance Retail,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1101803,SLIG-KAMRUP GROCERY -AS,Assam,East,Northeast-Assam,Northeast-Assam,Reliance Retail-DC,Reliance Retail,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1101844,"Lohia Trading Co., Guwahati-Northeast-Assam",Assam,East,Northeast-Assam,Northeast-Assam,"Lohia Trading Co., Guwahati","Lohia Trading Co., Guwahati",EB2B,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1101896,WELMED-Northeast-Assam,Assam,East,Northeast-Assam,Northeast-Assam,WELMED,WELMED,EB2B,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1102461,FRFH-SBZ TP AGARTALA RUPESHI CINEMA,Assam,East,Northeast-Assam,Northeast-Assam,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1102472,FRHK-SBZ AS GUWAHATI CITY SQUARE,Assam,East,Northeast-Assam,Northeast-Assam,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1102473,FRFC-SBZ AS JORHAT MOUZA-NAGARMHAL-PATT,Assam,East,Northeast-Assam,Northeast-Assam,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1102474,TNC4-SMT MKT AS GUWAHATI BELTOLA,Assam,East,Northeast-Assam,Northeast-Assam,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1102616,T2LA -STORE Guwahati -NE,Assam,East,Northeast-Assam,Northeast-Assam,Metro-CNC-RRL,Metro-CNC-RRL,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1102817,T2KU-STORE Bongaigaon-AS,Assam,East,Northeast-Assam,Northeast-Assam,Metro-CNC-RRL,Metro-CNC-RRL,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1102818,T2KV-STORE Silchar-AS,Assam,East,Northeast-Assam,Northeast-Assam,Metro-CNC-RRL,Metro-CNC-RRL,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1102819,T2KW-STORE Tezpur-AS,Assam,East,Northeast-Assam,Northeast-Assam,Metro-CNC-RRL,Metro-CNC-RRL,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1102820,T2KX-STORE Tinsukia-AS,Assam,East,Northeast-Assam,Northeast-Assam,Metro-CNC-RRL,Metro-CNC-RRL,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1102821,T2KY-STORE Jorhat 2-AS,Assam,East,Northeast-Assam,Northeast-Assam,Metro-CNC-RRL,Metro-CNC-RRL,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1102822,T3CC-STORE GUWAHTI Maidamgaon-AS,Assam,East,Northeast-Assam,Northeast-Assam,Metro-CNC-RRL,Metro-CNC-RRL,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1102847,"T2KZ-STORE Dibrugarh Maijan barsaik,Assam",Assam,East,Northeast-Assam,Northeast-Assam,Metro-CNC-RRL,Metro-CNC-RRL,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1102891,FRFB-SBZ AS Silchar GOLDIGHI COMPLEX,Assam,East,Northeast-Assam,Northeast-Assam,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1102892,FRGH-SBZ AS Dibrugarh A.T.ROAD,Assam,East,Northeast-Assam,Northeast-Assam,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
