Eligibility_Tier,Month,Ship To Name,Brand,NSV (Lakh),Eligibility Reasoning,Override_Action,Override_Chain,Override_Remarks
Not_Eligible,Apr'25,Kiran Trading Co- Dmart,Mamaearth,1.5375966,No secondary data match despite brand and article being in offtake universe; data gap or special case; requires review.,,,
Not_Eligible,Apr'25,Kiran Trading Co- Dmart,Mamaearth,6.1503864,No secondary data match despite brand and article being in offtake universe; data gap or special case; requires review.,,,
Not_Eligible,Apr'25,VISHAL ENTERPRISES_Solapur,Mamaearth,3.0751952,No secondary data match despite brand and article being in offtake universe; data gap or special case; requires review.,,,
Not_Eligible,Apr'25,VISHAL ENTERPRISES_Solapur,Mamaearth,0.9055595,No secondary data match despite brand and article being in offtake universe; data gap or special case; requires review.,,,
Not_Eligible,Apr'25,PRAGATI SALES-D-MART,Mamaearth,0.9677461,No secondary data match despite brand and article being in offtake universe; data gap or special case; requires review.,,,
Not_Eligible,Apr'25,JUST MARK-Dmart_ship to,Mamaearth,2.0243372,No secondary data match despite brand and article being in offtake universe; data gap or special case; requires review.,,,
Not_Eligible,Apr'25,JUST MARK-Dmart_ship to,Mamaearth,7.9899569999999995,No secondary data match despite brand and article being in offtake universe; data gap or special case; requires review.,,,
Not_Eligible,Apr'25,JUST MARK-Dmart_ship to,Mamaearth,0.06443510000000001,No secondary data match despite brand and article being in offtake universe; data gap or special case; requires review.,,,
Not_Eligible,Apr'25,Kiran Trading Company_Ship to,Mamaearth,2.0515335,No secondary data match despite brand and article being in offtake universe; data gap or special case; requires review.,,,
Not_Eligible,Apr'25,VISHAL ENTERPRISES_Solapur,Mamaearth,3.2055254,No secondary data match despite brand and article being in offtake universe; data gap or special case; requires review.,,,
Not_Eligible,Apr'25,Kiran Trading Co- Dmart,Mamaearth,6.3469403,No secondary data match despite brand and article being in offtake universe; data gap or special case; requires review.,,,
Not_Eligible,Apr'25,Kiran Trading Co- Dmart,Mamaearth,0.0641105,No secondary data match despite brand and article being in offtake universe; data gap or special case; requires review.,,,
Not_Eligible,Apr'25,Swastik Marketing,Mamaearth,0.0087992,No secondary data match despite brand and article being in offtake universe; data gap or special case; requires review.,,,
