Ship To Name,Direct/Distributor,Chain Name,Brand,Revised month,FY,Channel,Secondary contribution %,Confidence,Basis
Az Enterprises,Dist.,H&G,BBlunt,2025-10-01,FY_25-26,MT,92.14,Approved,"Copied from 2025-11 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)"
Az Enterprises,Dist.,Trilife,BBlunt,2025-10-01,FY_25-26,MT,7.86,Approved,"Copied from 2025-11 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)"
Az Enterprises,Dist.,H&G,Mamaearth,2025-10-01,FY_25-26,MT,86.1414,Approved,"Copied from 2025-11 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)"
Az Enterprises,Dist.,Lulu,Mamaearth,2025-10-01,FY_25-26,MT,0.37,Approved,"Copied from 2025-11 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)"
Az Enterprises,Dist.,More Retail,Mamaearth,2025-10-01,FY_25-26,MT,13.4887,Approved,"Copied from 2025-11 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)"
Az Enterprises,Dist.,H&G,The Derma Co.,2025-10-01,FY_25-26,MT,95.0,Approved,"Copied from 2025-09 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)"
Az Enterprises,Dist.,Lulu,The Derma Co.,2025-10-01,FY_25-26,MT,3.9,Approved,"Copied from 2025-09 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)"
Az Enterprises,Dist.,More Retail,The Derma Co.,2025-10-01,FY_25-26,MT,1.1,Approved,"Copied from 2025-09 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)"
Az Enterprises,Dist.,Apollo,The Derma Co.,2025-11-01,FY_25-26,MT,53.15,Approved,"Copied from 2025-12 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)"
Az Enterprises,Dist.,B&N,The Derma Co.,2025-11-01,FY_25-26,MT,1.23,Approved,"Copied from 2025-12 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)"
Az Enterprises,Dist.,H&G,The Derma Co.,2025-11-01,FY_25-26,MT,37.28,Approved,"Copied from 2025-12 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)"
Az Enterprises,Dist.,Lulu,The Derma Co.,2025-11-01,FY_25-26,MT,7.77,Approved,"Copied from 2025-12 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)"
Az Enterprises,Dist.,More Retail,The Derma Co.,2025-11-01,FY_25-26,MT,0.36,Approved,"Copied from 2025-12 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)"
Az Enterprises,Dist.,Trilife,The Derma Co.,2025-11-01,FY_25-26,MT,0.21,Approved,"Copied from 2025-12 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)"
Az Enterprises(Apollo/More)Mt,Dist.,More Retail,Aqualogica,2025-11-01,FY_25-26,MT,100.0,Approved,"Copied from 2025-12 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)"
Az Enterprises(Apollo/More)Mt,Dist.,More Retail,Aqualogica,2026-04-01,FY_26-27,MT,100.0,Approved,"Copied from 2026-03 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)"
Az Enterprises(Apollo/More)Mt,Dist.,Apollo,BBlunt,2026-04-01,FY_26-27,MT,100.0,Approved,"Copied from 2026-03 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)"
Az Enterprises(Apollo/More)Mt,Dist.,More Retail,Mamaearth,2026-04-01,FY_26-27,MT,100.0,Approved,"Copied from 2026-05 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)"
Az Enterprises(Apollo/More)Mt,Dist.,H&G,The Derma Co.,2026-04-01,FY_26-27,MT,100.0,Approved,"Copied from 2026-03 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)"
CHHABRA TRADERS_Ship To,Dist.,Lulu,Mamaearth,2025-10-01,FY_25-26,MT,74.36,Approved,"Copied from 2025-09 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)"
CHHABRA TRADERS_Ship To,Dist.,Spencer,Mamaearth,2025-10-01,FY_25-26,MT,25.64,Approved,"Copied from 2025-09 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)"
CHHABRA TRADERS_Ship To,Dist.,VMM,Mamaearth,2026-04-01,FY_26-27,MT,100.0,Approved,"Copied from 2026-03 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)"
CHHABRA TRADERS_Ship To,Dist.,VMM,Mamaearth,2026-05-01,FY_26-27,MT,100.0,Approved,"Copied from 2026-03 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)"
Guardian Healthcare Services Pvt Ltd(DL),Direct,Guardian Healthcare,Aqualogica,2025-11-01,FY_25-26,MT,100,Approved,Approved 2026-07-04: Guardian is a Direct chain mis-tagged as Dist. in the primary file -- allocate 100% to Guardian Healthcare. ALSO fix PO Type to 'Direct' in the primary source.
Guardian Healthcare Services Pvt Ltd(DL),Direct,Guardian Healthcare,Mamaearth,2025-11-01,FY_25-26,MT,100,Approved,Approved 2026-07-04: Guardian is a Direct chain mis-tagged as Dist. in the primary file -- allocate 100% to Guardian Healthcare. ALSO fix PO Type to 'Direct' in the primary source.
Guardian Healthcare Services Pvt Ltd(DL),Direct,Guardian Healthcare,The Derma Co.,2025-11-01,FY_25-26,MT,100,Approved,Approved 2026-07-04: Guardian is a Direct chain mis-tagged as Dist. in the primary file -- allocate 100% to Guardian Healthcare. ALSO fix PO Type to 'Direct' in the primary source.
SAI SAACHI ASSOCIATES-MT-OR,Dist.,VMM,The Derma Co.,2026-04-01,FY_26-27,MT,100.0,Approved,"Copied from 2026-03 secondary split (nearest month with data) -- Approved 2026-07-04 (adjacent-month split, same distributor)"
