Format,Ship To Direct/Distributor,Chain Name,State,Zone,Brand,Category,Sub_category,Range,Net Weight,Month,FY,Channel,NSV,MRP value,Offtake mix share %,Article source
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Face Cleanser,Detan+,100.0,April'24,FY_24-25,MT,0.029499,0.044249,7.375,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Face Cleanser,Glow+,100.0,April'24,FY_24-25,MT,0.044249,0.066373,11.062,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Face Cleanser,Radiance+,100.0,April'24,FY_24-25,MT,0.026896,0.040344,6.724,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Glow+,50.0,April'24,FY_24-25,MT,0.001739,0.002608,0.435,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Glow+,100.0,April'24,FY_24-25,MT,0.018074,0.02711,4.518,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Glow+,200.0,April'24,FY_24-25,MT,0.106062,0.159093,26.516,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Illuminate+,100.0,April'24,FY_24-25,MT,0.022244,0.033367,5.561,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Detan+,50.0,April'24,FY_24-25,MT,0.025032,0.037548,6.258,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Glow+,50.0,April'24,FY_24-25,MT,0.096999,0.145499,24.25,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Glow+,80.0,April'24,FY_24-25,MT,0.004174,0.006261,1.044,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
