EAN,Description,Brand,Offtake NSV AprMay26 (L),Chains,Classification,Note
8904417320831.0,ME Rice Water Dewy Sunscreen 50 g,Mamaearth,4.32,Apollo,Distributor-routed (business-confirmed 2026-07-14),"no direct primary in 14-month history; sell-in flows via distributor-converted primary (Dist_primary_cont_based_on_secondary_MOM.xlsx, not committed) -- re-verify against that workbook when supplied"
8904417320862.0,ME Baby Rich Moisturizing Ultra Light Sunscreen 50 g,Mamaearth,2.15,More Retail,Distributor-routed (business-confirmed 2026-07-14),"no direct primary in 14-month history; sell-in flows via distributor-converted primary (Dist_primary_cont_based_on_secondary_MOM.xlsx, not committed) -- re-verify against that workbook when supplied"
8906148701521.0,DS Kesar & Kojic Acid Moisturizing Cream - 100g,Dr. Sheth's,0.53,Wellness Forever,Distributor-routed (business-confirmed 2026-07-14),"no direct primary in 14-month history; sell-in flows via distributor-converted primary (Dist_primary_cont_based_on_secondary_MOM.xlsx, not committed) -- re-verify against that workbook when supplied"
8904417302226.0,Ubtan Face Wash 150 ml (Pack of 2),Mamaearth,0.36,Arambagh,Distributor-routed (business-confirmed 2026-07-14),"no direct primary in 14-month history; sell-in flows via distributor-converted primary (Dist_primary_cont_based_on_secondary_MOM.xlsx, not committed) -- re-verify against that workbook when supplied"
8904417305135.0,RFWRW NiacinamideGlassSkin-100mlPack-2,Mamaearth,0.28,Fsn,Distributor-routed (business-confirmed 2026-07-14),"no direct primary in 14-month history; sell-in flows via distributor-converted primary (Dist_primary_cont_based_on_secondary_MOM.xlsx, not committed) -- re-verify against that workbook when supplied"
8906148701743.0,Dr Sheth's Kesar & Kojic Acid Oil Free Sunscreen - 50g,Dr. Sheth's,0.27,H&G,Distributor-routed (business-confirmed 2026-07-14),"no direct primary in 14-month history; sell-in flows via distributor-converted primary (Dist_primary_cont_based_on_secondary_MOM.xlsx, not committed) -- re-verify against that workbook when supplied"
8906148701736.0,Dr Sheth's Ceramide & Vitamin C Oil Free Sunscreen,Dr. Sheth's,0.24,H&G,Distributor-routed (business-confirmed 2026-07-14),"no direct primary in 14-month history; sell-in flows via distributor-converted primary (Dist_primary_cont_based_on_secondary_MOM.xlsx, not committed) -- re-verify against that workbook when supplied"
8904417321814.0,TDC 2% Kojic Acid Advanced Face Cream,The Derma Co.,0.22,Frankros,Distributor-routed (business-confirmed 2026-07-14),"no direct primary in 14-month history; sell-in flows via distributor-converted primary (Dist_primary_cont_based_on_secondary_MOM.xlsx, not committed) -- re-verify against that workbook when supplied"
8906148702078.0,Dr Sheth's Kesar & Kojic Acid Oil- Free Moisturizer - 100g,Dr. Sheth's,0.18,H&G,Distributor-routed (business-confirmed 2026-07-14),"no direct primary in 14-month history; sell-in flows via distributor-converted primary (Dist_primary_cont_based_on_secondary_MOM.xlsx, not committed) -- re-verify against that workbook when supplied"
8906148701514.0,Dr Sheth's Gulab & Glycolic Acid Underarm Roll On 50ml,Dr. Sheth's,0.15,H&G,Distributor-routed (business-confirmed 2026-07-14),"no direct primary in 14-month history; sell-in flows via distributor-converted primary (Dist_primary_cont_based_on_secondary_MOM.xlsx, not committed) -- re-verify against that workbook when supplied"
8906087770947.0,Strawberry Natural Lip Balm 4.5gm,Mamaearth,0.14,H&G; Sasta Sundar,Distributor-routed (business-confirmed 2026-07-14),"no direct primary in 14-month history; sell-in flows via distributor-converted primary (Dist_primary_cont_based_on_secondary_MOM.xlsx, not committed) -- re-verify against that workbook when supplied"
8904417313451.0,3% Vitamin E Face Moisturizer With Vitamin E & Lactic Acid - 100g (Pack of 2),The Derma Co.,0.05,Guardian,Distributor-routed (business-confirmed 2026-07-14),"no direct primary in 14-month history; sell-in flows via distributor-converted primary (Dist_primary_cont_based_on_secondary_MOM.xlsx, not committed) -- re-verify against that workbook when supplied"
8904417315639.0,Vitamin C Moisturizing Body Wash 250ml,Mamaearth,0.03,Walmart Cnc,Distributor-routed (business-confirmed 2026-07-14),"no direct primary in 14-month history; sell-in flows via distributor-converted primary (Dist_primary_cont_based_on_secondary_MOM.xlsx, not committed) -- re-verify against that workbook when supplied"
8906087772972.0,Multi-Peptide Hair Serum 60 ml,The Derma Co.,0.01,Wellness Forever,Distributor-routed (business-confirmed 2026-07-14),"no direct primary in 14-month history; sell-in flows via distributor-converted primary (Dist_primary_cont_based_on_secondary_MOM.xlsx, not committed) -- re-verify against that workbook when supplied"
8906087772408.0,Epsom Bath Slat + Rich Body Creme,Mamaearth,0.01,Wellness Forever,Distributor-routed (business-confirmed 2026-07-14),"no direct primary in 14-month history; sell-in flows via distributor-converted primary (Dist_primary_cont_based_on_secondary_MOM.xlsx, not committed) -- re-verify against that workbook when supplied"
8906087776451.0,4% Vitamin E Face Serum,The Derma Co.,0.01,Wellness Forever,Distributor-routed (business-confirmed 2026-07-14),"no direct primary in 14-month history; sell-in flows via distributor-converted primary (Dist_primary_cont_based_on_secondary_MOM.xlsx, not committed) -- re-verify against that workbook when supplied"
8904417309003.0,Glow Full Coverage Compact /02 Ivory Glow 9 g,Mamaearth,0.01,H&G; Wellness Forever,Distributor-routed (business-confirmed 2026-07-14),"no direct primary in 14-month history; sell-in flows via distributor-converted primary (Dist_primary_cont_based_on_secondary_MOM.xlsx, not committed) -- re-verify against that workbook when supplied"
8906087773009.0,Anti Dandruff Shampoo 200 ml,The Derma Co.,0.01,Wh-Smith,Distributor-routed (business-confirmed 2026-07-14),"no direct primary in 14-month history; sell-in flows via distributor-converted primary (Dist_primary_cont_based_on_secondary_MOM.xlsx, not committed) -- re-verify against that workbook when supplied"
8906087774778.0,Ceramide + HA Intense Moisturizer 25gm,The Derma Co.,0.0,Wellness Forever,Distributor-routed (business-confirmed 2026-07-14),"no direct primary in 14-month history; sell-in flows via distributor-converted primary (Dist_primary_cont_based_on_secondary_MOM.xlsx, not committed) -- re-verify against that workbook when supplied"
8901023015328.0,BBLUNT SALON SECRET CREME COLOUR BLACK,BBLUNT,0.0,Wellness Forever,Distributor-routed (business-confirmed 2026-07-14),"no direct primary in 14-month history; sell-in flows via distributor-converted primary (Dist_primary_cont_based_on_secondary_MOM.xlsx, not committed) -- re-verify against that workbook when supplied"
8906087777052.0,The Derma Co. 5% Niacinamide Sheet Mask,The Derma Co.,0.0,Wellness Forever,Distributor-routed (business-confirmed 2026-07-14),"no direct primary in 14-month history; sell-in flows via distributor-converted primary (Dist_primary_cont_based_on_secondary_MOM.xlsx, not committed) -- re-verify against that workbook when supplied"
8906087776246.0,Charcoal Nourishing Bathing Soap (75g*5),Mamaearth,0.0,Wellness Forever,Distributor-routed (business-confirmed 2026-07-14),"no direct primary in 14-month history; sell-in flows via distributor-converted primary (Dist_primary_cont_based_on_secondary_MOM.xlsx, not committed) -- re-verify against that workbook when supplied"
8906087770930.0,Natural Baby Lip Balm For Babies 4.5gm,Mamaearth,0.0,Frankros,Distributor-routed (business-confirmed 2026-07-14),"no direct primary in 14-month history; sell-in flows via distributor-converted primary (Dist_primary_cont_based_on_secondary_MOM.xlsx, not committed) -- re-verify against that workbook when supplied"
