,,,,,EAN,,,,
Format,Chain Name,NPI Status,Zone,Brand,8904417303537,Description as per Fountain,Category,Sub_category,Range
DRUG STORE,Apollo,NPD,Central,Mamaearth,8904417311570,Onion Shampoo 600 ml,Hair,Shampoo,Onion
DRUG STORE,Apollo,NPD,Central,Mamaearth,8904417311587,Vitamin C Moisturizing Lotion Soap Pack of 4 (125 g x 4),Body,Soap,Vitamin C
DRUG STORE,Apollo,NPD,Central,Mamaearth,8904417315073,Ubtan Moisturizing Lotion Soap Pack of 4 (125 g x 4),Body,Soap,Ubtan
DRUG STORE,Apollo,NPD,Central,Mamaearth,8904417321722,Rosemary Anti-Hairfall Shampoo 600 ml,Hair,Shampoo,Rosemary
DRUG STORE,Apollo,NPD,Central,Mamaearth,8904417322552,ME Baby Derma Soft Face Cream,Baby,Moisturisers,DermaSoft
DRUG STORE,Apollo,NPD,Central,Mamaearth,8904417322569,ME Baby DermaSoft Head to Toe Wash,Baby,Baby Body Wash,DermaSoft
DRUG STORE,Apollo,NPD,Central,Mamaearth,8904417317282,ME Baby DermaSoft Body Lotion,Baby,Body Lotion,DermaSoft
DRUG STORE,Apollo,NPD,Central,The Derma Co.,8906087778462,TDC Peptide- Stem Cell Hair Fall Control Shampoo,Hair,Shampoo,Multi-Peptide
Hyper\Super Market,Dmart,NPD,Central,Aqualogica,8906087779407,Glow+ Dewy Sunscreen 50gm,Face,Sun Care,Glow+
Hyper\Super Market,Dmart,NPD,Central,Aqualogica,8904417311501,Radiance+ Dewy Sunscreen 50gm,Face,Sun Care,Radiance+
Hyper\Super Market,Dmart,NPD,Central,Mamaearth,8904417311549,Vitamin C Daily Glow Sunscreen 80 g,Face,Sun Care,Vitamin C
Hyper\Super Market,Dmart,NPD,Central,Mamaearth,8904417316896,Beetroot Gentle Face Wash 100 ml,Face,Face Cleanser,Beetroot
Hyper\Super Market,Dmart,NPD,Central,Mamaearth,8904417306248,ME Rice Water Dewy Sunscreen 80 g,Face,Sun Care,Rice
Hyper\Super Market,Dmart,NPD,Central,The Derma Co.,8904417315141,1% Kojic Acid Daily Face Wash,Face,Face Cleanser,Kojic Acid
Hyper\Super Market,Dmart,NPD,Central,The Derma Co.,8904417306231,TDC 2% Sali Cinamide anti-acne face wash 150ml,Face,Face Cleanser,Sali-Cinamide
DRUG STORE,Frankros,NPD,Central,The Derma Co.,8904417303308,1% Hyaluronic Sunscreen Aqua Gel 80g,Face,Sun Care,Hyaluronic Acid
CNC,Metro Cnc,NPD,Central,Mamaearth,8904417303315,Nourishing tinted 100%Natural Lip Balm VitE & Strawbery,Face,Lip Balm,Strawberry
CNC,Metro Cnc,NPD,Central,Mamaearth,8904417303322,Nourishing tinted 100%Natural Lip Balm VitE & raspberry,Face,Lip Balm,Raspberry
CNC,Metro Cnc,NPD,Central,Mamaearth,8904417309546,Nourishing tinted 100%Natural Lip Balm VitE & sheabutter,Face,Lip Balm,Shea Butter
CNC,Metro Cnc,NPD,Central,Mamaearth,8904417310245,Mamaearth Onion Hair Fall Control Shampoo 650 ml,Hair,Shampoo,Onion
CNC,Metro Cnc,NPD,Central,Mamaearth,8904417311501,ME Onion hair oil 200 ml,Hair,Hair Oil,Onion
CNC,Metro Cnc,NPD,Central,Mamaearth,8904417314267,Vitamin C Daily Glow Sunscreen 80 g,Face,Sun Care,Vitamin C
CNC,Metro Cnc,NPD,Central,Mamaearth,8904417315660,Rice Water Dewy Active Serum 50 ml,Face,Face Serum,Rice
CNC,Metro Cnc,NPD,Central,Mamaearth,8904417315738,Rice Water Moisturizing Body Wash 275ml,Body,Body Wash,Rice Water
CNC,Metro Cnc,NPD,Central,Mamaearth,8904417316896,Vitamin C Moisturizing Body Wash 275ml (250ml + 25ml),Body,Body Wash,Vitamin C
CNC,Metro Cnc,NPD,Central,Mamaearth,8904417317053,ME Rice Water Dewy Sunscreen 80 g,Face,Sun Care,Rice
CNC,Metro Cnc,NPD,Central,Mamaearth,8904417318746,Ubtan Moisturizing Body Wash 275 ml,Body,Body Wash,Ubtan
CNC,Metro Cnc,NPD,Central,Mamaearth,8904417319941,ME Multani Mitti Oil Balance Face Wash 150 ml,Face,Face Cleanser,Multani Mitti
CNC,Metro Cnc,NPD,Central,Mamaearth,8904417322774,ME Baby Milky Soft Head to Toe Wash - 200 ml,Baby,Baby Body Wash,Milky
CNC,Metro Cnc,NPD,Central,Mamaearth,8906087776123,ME Rice Dewy Bright Face Wash 200 ml,Face,Face Cleanser,Rice
CNC,Metro Cnc,NPD,Central,Mamaearth,8904417305890,Milky Soft Body Lotion For Babies 400 ml,Baby,Body Lotion,Milky
Hyper\Super Market,Reliance ,NPD,Central,Mamaearth,8904417300123,Vitamin C daily Glow Sunscreen 20g,Face,Sun Care,Vitamin C
Hyper\Super Market,Reliance ,NPD,Central,The Derma Co.,8906087777045,Kojic Acid + L-Glutathione Daily Syndet Soap 75g x 2 (Pack of 2),Body,Soap,Kojic Acid
Hyper\Super Market,Reliance ,NPD,Central,The Derma Co.,8906087777076,The Derma Co. 1% Collagen + Peptides Sheet Mask,Face,Face Masks,Collagen
Hyper\Super Market,Reliance ,NPD,Central,The Derma Co.,8904417312546,The Derma Co. 1% Kojic + Arbutin Sheet Mask,Face,Face Masks,Kojic Acid
Hyper\Super Market,Vmm,NPD,Central,Mamaearth,8906148700302,Vitamin C Face Wash 150 ml,Face,Face Cleanser,Vitamin C
DRUG STORE,Wellness Forever,NPD,Central,Dr. Sheth's,8906148700883,Ceramide and Vitamin C Oil-Free Moisturizer - 50 gm,Face,Moisturisers,Ceramide & Vitamin C
DRUG STORE,Wellness Forever,NPD,Central,Dr. Sheth's,8906148701521,Kesar & Kojic Acid Sunscreen - 50 gm,Face,Sun Care,Kesar & Kojic Acid
DRUG STORE,Wellness Forever,NPD,Central,Dr. Sheth's,8904417303537,DS Kesar & Kojic Acid Moisturizing Cream - 100g,Face,Face Cream,Kesar & Kojic Acid
DRUG STORE,Apollo,NPD,EAST,Mamaearth,8904417311570,Onion Shampoo 600 ml,Hair,Shampoo,Onion
DRUG STORE,Apollo,NPD,EAST,Mamaearth,8904417311587,Vitamin C Moisturizing Lotion Soap Pack of 4 (125 g x 4),Body,Soap,Vitamin C
