Ship To Name,Brand,Month,Rows in group,Chains in group,Row NSVs (Lakh),Issue
Babys World_Mt,BBlunt,June'24,2,"H&G, Spencer","0.0, 0.0",Zero/offsetting group total -- Cont% left blank (not fabricated)
CHHABRA TRADERS_Ship To,BBlunt,Feb'25,1,Spencer,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
D.L. Sales - MT,Aqualogica,July'24,1,Reliance Retail,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
D.L. Sales - MT,The Derma Co,July'24,1,Reliance Retail,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
G.V Enterprises,Aqualogica,April'24,1,H&G,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
G.V Enterprises,Aqualogica,Feb'25,2,"Lulu, Pothys","0.0, 0.0",Zero/offsetting group total -- Cont% left blank (not fabricated)
G.V Enterprises,Aqualogica,June'24,1,H&G,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
G.V Enterprises,BBLUNT,Dec'24,1,Pothys,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
G.V Enterprises,BBlunt,April'24,1,H&G,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
G.V Enterprises,BBlunt,Aug'24,1,H&G,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
G.V Enterprises,BBlunt,Feb'25,1,Pothys,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
G.V Enterprises,BBlunt,Jan'25,1,Pothys,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
G.V Enterprises,BBlunt,June'24,1,H&G,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
G.V Enterprises,The Derma Co,June'24,1,H&G,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
Ganapati Distributor MT,Aqualogica,July'24,1,Reliance Retail,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
Ganapati Distributor MT,BBLUNT,Dec'24,1,Reliance Retail,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
Ganapati Distributor MT,Mamaearth,March'25,1,VMM,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
Ganapati Distributor MT,Mamaearth,Sept'24,3,"V-Mart, Apollo Healthco, VMM","0.0, 0.0, 0.0",Zero/offsetting group total -- Cont% left blank (not fabricated)
Ganapati Distributor MT,The Derma Co,July'24,1,Reliance Retail,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
JB Pharma_MT,Aqualogica,July'24,1,Reliance Retail,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
JB Pharma_MT,The Derma Co,July'24,1,Reliance Retail,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
M/S KOTTARAM BUSINESS CORPORATION-MT,Aqualogica,Oct'24,1,Lulu,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
M/S KOTTARAM BUSINESS CORPORATION-MT,BBlunt,Aug'24,1,H&G,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
M/S KOTTARAM BUSINESS CORPORATION-MT,BBlunt,July'24,1,H&G,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
M/S KOTTARAM BUSINESS CORPORATION-MT,Mamaearth,Oct'24,2,"Lulu, Apollo Healthco","0.0, 0.0",Zero/offsetting group total -- Cont% left blank (not fabricated)
M/S KOTTARAM BUSINESS CORPORATION-MT,The Derma Co,Oct'24,2,"Apollo Healthco, Lulu","0.0, 0.0",Zero/offsetting group total -- Cont% left blank (not fabricated)
R.C. Trade Link H&G,Mamaearth,March'25,1,H&G,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
R.D. Enterprises,BBlunt,June'24,1,Spencer,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
