s.no,Site Code,Site Name,Chain Name,City,State,Zone,Zone_Revised,Sub_Zone,Remap_Date
1,AKGAUR:443,AKGAUR:443,Wellness Forever,Akola,Maharashtra,Central Zone,Central,Vidarbha,2026-08-21
2,AKOLAN:338,AKOLAN:338,Wellness Forever,Akola,Maharashtra,Central Zone,Central,Vidarbha,2026-08-21
3,DIKEY:645,DIKEY:645,Wellness Forever,Nagpur City,Maharashtra,Central Zone,Central,Vidarbha,2026-08-21
4,NAGPBS:374,NAGPBS:374,Wellness Forever,Nagpur City,Maharashtra,Central Zone,Central,Vidarbha,2026-08-21
5,NAGTRI:341,NAGTRI:341,Wellness Forever,Nagpur City,Maharashtra,Central Zone,Central,Vidarbha,2026-08-21
6,NGPAYM:717,NGPAYM:717,Wellness Forever,Nagpur City,Maharashtra,Central Zone,Central,Vidarbha,2026-08-21
7,NGPGDN:437,NGPGDN:437,Wellness Forever,Nagpur City,Maharashtra,Central Zone,Central,Vidarbha,2026-08-21
8,NGPHWR:393,NGPHWR:393,Wellness Forever,Nagpur City,Maharashtra,Central Zone,Central,Vidarbha,2026-08-21
9,NGPMWD:459,NGPMWD:459,Wellness Forever,Nagpur City,Maharashtra,Central Zone,Central,Vidarbha,2026-08-21
10,NGPVDN:485,NGPVDN:485,Wellness Forever,Nagpur City,Maharashtra,Central Zone,Central,Vidarbha,2026-08-21
11,NGRCPS:477,NGRCPS:477,Wellness Forever,Nagpur City,Maharashtra,Central Zone,Central,Vidarbha,2026-08-21
12,NGRPNS:470,NGRPNS:470,Wellness Forever,Nagpur City,Maharashtra,Central Zone,Central,Vidarbha,2026-08-21
13,NGTKNM:372,NGTKNM:372,Wellness Forever,Nagpur City,Maharashtra,Central Zone,Central,Vidarbha,2026-08-21
14,WARDMR:379,WARDMR:379,Wellness Forever,Wardha,Maharashtra,Central Zone,Central,Vidarbha,2026-08-21
15,YAVATR:337,YAVATR:337,Wellness Forever,Yavatmal,Maharashtra,Central Zone,Central,Vidarbha,2026-08-21
16,TD02,Trilium Mall,Reliance Retail Ltd.,Nagpur,Maharashtra,Central Zone,Central,Vidarbha,2026-08-21
17,U178,Patni Complex,Reliance Retail Ltd.,Nagpur,Maharashtra,Central Zone,Central,Vidarbha,2026-08-21
18,TUD1,Smart Sakharkar Celebration Bhandara,Reliance Retail Ltd.,Bhandara,Maharashtra,Central Zone,Central,Vidarbha,2026-08-21
19,TPU4,Vision Mall Gadchiroli,Reliance Retail Ltd.,Gadchiroli,Maharashtra,Central Zone,Central,Vidarbha,2026-08-21
20,TXGA,Smart Ratanlal plot Yavatmal,Reliance Retail Ltd.,Yavatmal,Maharashtra,Central Zone,Central,Vidarbha,2026-08-21
21,U704,SP Narayani Sankul Akola,Reliance Retail Ltd.,Akola,Maharashtra,Central Zone,Central,Vidarbha,2026-08-21
22,U663,SP Mishra Complex CMPDI Road,Reliance Retail Ltd.,Nagpur,Maharashtra,Central Zone,Central,Vidarbha,2026-08-21
23,U723,SP Natraj Sabhagrah Wardha,Reliance Retail Ltd.,Wardha,Maharashtra,Central Zone,Central,Vidarbha,2026-08-21
24,U591,SP Agne Imperium Nagpur,Reliance Retail Ltd.,Nagpur,Maharashtra,Central Zone,Central,Vidarbha,2026-08-21
25,FRAD,smart bazar-NAGPUR-VIPL IT PARK,Reliance Retail Ltd.,Nagpur,Maharashtra,Central Zone,Central,Vidarbha,2026-08-21
26,FRAE,smart bazar-CHANDRAPUR-MDR MALL,Reliance Retail Ltd.,Chandrapur,Maharashtra,Central Zone,Central,Vidarbha,2026-08-21
