Format,Chain,Chain Mapping
H/S MKT,D-Mart,D-Mart
H/S MKT,Reliance Retail,Reliance Retail
H/S MKT,Lulu,Lulu
H/S MKT,Max Hyper,Others
H/S MKT,More Retail,More Retail
H/S MKT,Spencer,Others
H/S MKT,Trent Hypermarket,Others
H/S MKT,V-Mart,Others
H/S MKT,VMM,Others
DRUG STORE,Apollo Healthco,Apollo Healthco
DRUG STORE,Wellness Forever,Wellness Forever
DRUG STORE,Guardian Healthcare,Others
DRUG STORE,Arambagh,Others
DRUG STORE,FRANKROSS,Others
Regional,RMT-Sancus,Sancus
Regional,Grace Super MKT,Others
Regional,Deal Share,Others
Regional,Ratnadeep,Others
Regional,Vijetha,Others
Regional,Pothys,Others
Regional,Sarvana,Others
Regional,Sasta Sunder,Others
Regional,Trilife,Others
Regional,Octopolis Technologies Pvt Ltd,Others
Regional,B&N,Others
Regional,SAI SAACHI ASSOCIATES-MT-OR,Others
Regional,Others,Others
Regional,GNRC,Others
Regional,Nao Grocery,Others
Regional,Sohum Shoppe,Others
H&B,H&G,H&G
H&B,Dabur new u,Others
H&B,WH-Smith,Others
H&B,Travel Retail Services-Relay,Others
Eb2b,FSN,EB2B
CNC,Metro-CNC,CNC
CNC,Walmart-CNC,CNC
H/S MKT,Frankross,Others
CNC,Walmart CNC,CNC
Regional,Apna Klub,Others
Regional,Ascent Wellness,Others
Regional,Eremedium,Others
Regional,G N R C Medishop Pvt Ltd,Others
DRUG STORE,Guardian,Others
Regional,Hyper Grocer,Others
Regional,Mother Care,Others
H&B,Relay,Others
Regional,Shubham K Mart,Others
H/S MKT,Trent,Others
Eb2b,Nykaa SS(fsn),EB2B
CNC,Metro-CNC-RRL,CNC
