Chain,Account,Chain Type,Primary Zone,Channel,Active
Apna Klub,Apna Klub,Cash & Carry,West,MT,Yes
Apna Mart,Apna Mart,Supermarket,East,MT,Yes
Apollo,Apollo,Pharmacy,South-1,MT,Yes
Arambagh,Arambagh,Supermarket,East,MT,Yes
Ascent Wellness,Ascent,Pharmacy,West,MT,Yes
Azorte,Reliance,Beauty Retail,South-2,MT,Yes
B&N,B&N,Supermarket,East,MT,Yes
Broadway,Aditya Birla,Beauty Retail,West,MT,Yes
D-Mart,Avenue Supermarts,Hypermarket,West,MT,Yes
Deal Share,DealShare,Online-MT,North,MT,Yes
Eremedium,Eremedium,Pharmacy,South-1,MT,Yes
Frank Ross,Emami Frank Ross,Pharmacy,East,MT,Yes
G N R C Medishop Pvt Ltd,GNRC,Pharmacy,East,MT,Yes
Grace Super MKT,Grace,Supermarket,South-2,MT,Yes
Guardian,Guardian Pharmacy,Pharmacy,West,MT,Yes
Health & Glow,Health & Glow,Beauty Retail,South-2,MT,Yes
Lifestyle,Landmark Group,Dept Store,South-2,MT,Yes
Lifestyle Babyshop,Landmark Group,Dept Store,South-2,MT,Yes
Lulu,Lulu Group,Hypermarket,South-1,MT,Yes
Max Hyper,Landmark Group,Hypermarket,South-2,MT,Yes
Medanta,Medanta,Institutional,North,MT,Yes
Metro CNC,Metro Cash & Carry,Cash & Carry,West,MT,Yes
More Retail,More (MRL),Supermarket,South-1,MT,Yes
National Mart,National Mart,Supermarket,West,MT,Yes
Nykaa SS,Nykaa,Beauty Retail,South-2,MT,Yes
Pothys,Pothys,Dept Store,South-1,MT,Yes
RMT-Sancus,Sancus,Distributor-MT,South-1,MT,Yes
Ratnadeep,Ratnadeep,Supermarket,South-2,MT,Yes
Relay,Relay,Travel Retail,North,MT,Yes
Reliance Retail,Reliance,Hypermarket,West,MT,Yes
Sarvana,Saravana,Dept Store,South-1,MT,Yes
SastaSundar,SastaSundar,Pharmacy,East,MT,Yes
Shoppers Stop,Shoppers Stop,Dept Store,West,MT,Yes
Sohum Shoppe,Sohum,Dept Store,East,MT,Yes
Spencers,Spencers Retail,Supermarket,East,MT,Yes
Sumo Save,Sumo Save,Supermarket,North,MT,Yes
Today's Basket,Today's Basket,Supermarket,South-1,MT,Yes
Trent,Tata Trent,Hypermarket,West,MT,Yes
Trilife,Trilife,Pharmacy,South-1,MT,Yes
V-Mart,V-Mart,Hypermarket,North,MT,Yes
Vijetha,Vijetha,Supermarket,South-2,MT,Yes
Vishal Mega Mart,Vishal,Hypermarket,North,MT,Yes
WH-Smith,WH Smith,Travel Retail,North,MT,Yes
Walmart CNC,Walmart,Cash & Carry,North,MT,Yes
Wellness Forever,Wellness Forever,Pharmacy,West,MT,Yes
Reliance Brand Counter,Reliance,Brand Counter,West,RBC,Yes
