Chain,Channel,Remarks
Apna Klub,EB2B,default channel — edit if chain is SIS/EB2B
Apna Mart,MT,default channel — edit if chain is SIS/EB2B
Apollo,MT,default channel — edit if chain is SIS/EB2B
Arambagh,MT,default channel — edit if chain is SIS/EB2B
Ascent Wellness,MT,default channel — edit if chain is SIS/EB2B
Azorte,SIS,confirmed from real Jun'26 primary source (MTD_Primary_Jun_26.csv): 100% of 264 Chanel=SIS rows (Rs 19,30,180.97) belong exclusively to Ship-To 'Reliance Retail Ltd (Azorte)_Shipto' -- same source-Channel-field method as the resolved Primary SIS FY26 investigation (SIS_Reconciliation.md); auto-resolved (mtagent) 2026-07-19, not yet business-confirmed
B&N,MT,default channel — edit if chain is SIS/EB2B
Broadway,MT,default channel — edit if chain is SIS/EB2B
D-Mart,MT,default channel — edit if chain is SIS/EB2B
Deal Share,EB2B,default channel — edit if chain is SIS/EB2B
Eremedium,EB2B,default channel — edit if chain is SIS/EB2B
Frank Ross,MT,default channel — edit if chain is SIS/EB2B
G N R C Medishop Pvt Ltd,MT,default channel — edit if chain is SIS/EB2B
Grace Super MKT,MT,default channel — edit if chain is SIS/EB2B
Guardian,MT,default channel — edit if chain is SIS/EB2B
Health & Glow,MT,default channel — edit if chain is SIS/EB2B
Lifestyle,MT,default channel — edit if chain is SIS/EB2B
Lifestyle Babyshop,MT,default channel — edit if chain is SIS/EB2B
Lulu,MT,default channel — edit if chain is SIS/EB2B
Max Hyper,MT,default channel — edit if chain is SIS/EB2B
Medanta,MT,default channel — edit if chain is SIS/EB2B
Metro CNC,MT,default channel — edit if chain is SIS/EB2B
More Retail,MT,default channel — edit if chain is SIS/EB2B
National Mart,MT,default channel — edit if chain is SIS/EB2B
Nykaa SS(fsn),EB2B,default channel — edit if chain is SIS/EB2B
Pothys,MT,default channel — edit if chain is SIS/EB2B
RMT-Sancus,MT,default channel — edit if chain is SIS/EB2B
Ratnadeep,MT,default channel — edit if chain is SIS/EB2B
Relay,MT,default channel — edit if chain is SIS/EB2B
Reliance Retail,MT,default channel — edit if chain is SIS/EB2B
Sarvana,MT,default channel — edit if chain is SIS/EB2B
SastaSundar,MT,default channel — edit if chain is SIS/EB2B
Shoppers Stop,MT,default channel — edit if chain is SIS/EB2B
Sohum Shoppe,MT,default channel — edit if chain is SIS/EB2B
Spencers,MT,default channel — edit if chain is SIS/EB2B
Sumo Save,MT,default channel — edit if chain is SIS/EB2B
Today's Basket,MT,default channel — edit if chain is SIS/EB2B
Trent,MT,default channel — edit if chain is SIS/EB2B
Trilife,MT,default channel — edit if chain is SIS/EB2B
V-Mart,MT,default channel — edit if chain is SIS/EB2B
Vijetha,MT,default channel — edit if chain is SIS/EB2B
Vishal Mega Mart,MT,default channel — edit if chain is SIS/EB2B
WH-Smith,MT,default channel — edit if chain is SIS/EB2B
Walmart CNC,MT,default channel — edit if chain is SIS/EB2B
Wellness Forever,MT,default channel — edit if chain is SIS/EB2B
