EAN,Brand,Category,SubCategory,Range,PackSize,EAN_Lifecycle,Biz_Lifecycle
706502246044,Dr. Sheth's,Face,Face Cleanser,Centella & Vitamin E,100ML,Discontinued,Discontinued
706502246051,Dr. Sheth's,Face,Face Mask,Sulphur,15G,Discontinued,Discontinued
706502246082,Dr. Sheth's,Face,Face Cream,Youth Enhance,50G,Discontinued,Discontinued
706502246099,Dr. Sheth's,Face,Sun Care,Basic Brightening,50ML,Discontinued,Discontinued
706502246105,Dr. Sheth's,Face,Peel,Others,50ML,Discontinued,Discontinued
706502246112,Dr. Sheth's,Face,Sheet Mask,Basic Brightening,30G,Discontinued,Discontinued
706502246129,Dr. Sheth's,Face,Face Mist,Others,50ML,Discontinued,Discontinued
706502246136,Dr. Sheth's,Face,Under Eye Care,Date & Quinoa,14G,Discontinued,Discontinued
706502246150,Dr. Sheth's,Face,Face Cleanser,Centella & Vitamin E,50ML,Discontinued,Discontinued
706502246167,Dr. Sheth's,Face,Face Cream,Basic Brightening,50ML,Discontinued,Discontinued
706502246174,Dr. Sheth's,Face,Face Cream,Basic Brightening,50ML,Discontinued,Discontinued
706502246181,Dr. Sheth's,Face,Face Mask,Sulphur,30G,Discontinued,Discontinued
706502246198,Dr. Sheth's,Face,Face Cream,Antioxidant Repair,30G,Discontinued,Discontinued
706502246204,Dr. Sheth's,Face,Face Cream,Others,30G,Discontinued,Discontinued
706502246365,Dr. Sheth's,Face,Face Toner,Gulab & Glycolic Acid,50ML,Discontinued,Discontinued
706502246471,Dr. Sheth's,Face,Face Toner,Gulab & Glycolic Acid,100ML,Discontinued,Discontinued
706502246501,Dr. Sheth's,Face,Face Serum,Pure Olive & Squalane,25ML,Discontinued,Discontinued
706502246532,Dr. Sheth's,Face,Face Serum,Cica & Ceramide,30ML,Discontinued,Phased Out
706502246549,Dr. Sheth's,Face,Face Serum,Others,30ML,Discontinued,Discontinued
706502246556,Dr. Sheth's,Face,Face Mask,Haldi & Hyaluronic Acid,30G,Discontinued,Discontinued
706502246563,Dr. Sheth's,Face,Face Serum,Neem & Salicylic Acid,30ML,Discontinued,Discontinued
706502246570,Dr. Sheth's,Face,Face Cream,Rosehip & Retinoid,15G,Discontinued,Discontinued
706502246587,Dr. Sheth's,Face,Face Oil,Moringa & VitaminC,100ML,Discontinued,Discontinued
706502246594,Dr. Sheth's,Face,Face Gel,Others,50ML,Discontinued,Discontinued
706502246600,Dr. Sheth's,Face,Face Cleanser,Others,50ML,Discontinued,Discontinued
706502246617,Dr. Sheth's,Face,Sun Care,Oat & Zinc,50G,Discontinued,Discontinued
706502246624,Dr. Sheth's,Face,Face Serum,Centella & Niacinamide,30ML,Discontinued,EPD
706502246631,Dr. Sheth's,Face,Face Serum,Amla & Vitamin C,20ML,Discontinued,Discontinued
706502246679,Dr. Sheth's,Face,Face Cream,Antioxidant Repair,7G,Discontinued,Discontinued
706502246693,Dr. Sheth's,Face,Face Cream,Youth Enhance,7G,Discontinued,Discontinued
706502246709,Dr. Sheth's,Face,Sun Care,Oat & Zinc,7G,Discontinued,Discontinued
706502246716,Dr. Sheth's,Face,Face Mask,Haldi & Hyaluronic Acid,7G,Discontinued,Discontinued
706502246723,Dr. Sheth's,Face,Nutraceutical,Brightamin,1G,Discontinued,Discontinued
706502246730,Dr. Sheth's,Face,Face Serum,Ashwagandha & Alpha Arbutin,30ML,Discontinued,Discontinued
706502246747,Dr. Sheth's,Face,Face Toner,Niacinamide & Green Tea,50ML,Discontinued,Discontinued
706502246754,Dr. Sheth's,Face,Face Toner,Niacinamide & Green Tea,100ML,Discontinued,Discontinued
706502246761,Dr. Sheth's,Face,Face Mask,Haldi & Hyaluronic Acid,40G,Discontinued,Discontinued
706502246778,Dr. Sheth's,Face,Face Cream,Vitamin E & Ginseng,50G,Discontinued,Discontinued
706502246785,Dr. Sheth's,Face,Face Gel,Aloe & Panthenol,50G,Discontinued,Discontinued
706502246792,Dr. Sheth's,Face,Peel,Liquorice & Lactic Acid,30G,EPD,EPD
706502246808,Dr. Sheth's,Face,Under Eye Care,Chamomile & Caffeine,15G,Discontinued,Discontinued
706502246815,Dr. Sheth's,Face,Peel,Others,30ML,Discontinued,Discontinued
706502246822,Dr. Sheth's,Face,Face Cream,Hibiscus & Niacinamide,50ML,Discontinued,Discontinued
706502246839,Dr. Sheth's,Face,Face Serum,Bakuchiol & Peptide,30ML,Discontinued,Discontinued
706502246846,Dr. Sheth's,Face,Face Toner,Tulsi & Salicylic Acid,50ML,Discontinued,Discontinued
706502246853,Dr. Sheth's,Face,Face Toner,Tulsi & Salicylic Acid,100ML,Discontinued,Discontinued
706502246860,Dr. Sheth's,Face,Peel,Mulberry & Mandelic Acid,30ML,Discontinued,Discontinued
706502246884,Dr. Sheth's,Face,Peel,Others,7G,Discontinued,Discontinued
706502246914,Dr. Sheth's,Face,Face Cream,Shea Butter & Amino Acid,50G,Discontinued,Discontinued
706502246969,Dr. Sheth's,Face,Combo,Combo,1ML,Discontinued,Discontinued
706502246976,Dr. Sheth's,Face,Combo,Combo,1ML,Discontinued,Discontinued
706502246983,Dr. Sheth's,Face,Combo,Combo,1ML,Discontinued,Discontinued
8901023011112,BBLUNT,Salon Secret,Salon Secret,Salon Secret,125G,Discontinued,Discontinued
8901023011113,BBLUNT,Salon Secret,Salon Secret,Salon Secret,125G,Discontinued,Discontinued
8901023011114,BBLUNT,Salon Secret,Salon Secret,Salon Secret,125G,Discontinued,Discontinued
8901023011115,BBLUNT,Salon Secret,Salon Secret,Salon Secret,125G,Discontinued,Discontinued
8901023011116,BBLUNT,Salon Secret,Salon Secret,Salon Secret,125G,Discontinued,Discontinued
8901023011120,BBLUNT,Salon Secret,Salon Secret,Salon Secret,125G,Discontinued,Discontinued
8901023011121,BBLUNT,Salon Secret,Salon Secret,Salon Secret,125G,Discontinued,Discontinued
8901023011123,BBLUNT,Salon Secret,Salon Secret,Salon Secret,125G,Discontinued,Discontinued
8901023011124,BBLUNT,Salon Secret,Salon Secret,Salon Secret,125G,Discontinued,Discontinued
8901023011740,BBLUNT,Premium Range,Shampoo,Born Again,400ML,Discontinued,Discontinued
8901023011757,BBLUNT,Premium Range,Shampoo,Full On Volume,400ML,Discontinued,Discontinued
8901023011764,BBLUNT,Premium Range,Shampoo,Perfect Balance,400ML,Discontinued,Discontinued
8901023011771,BBLUNT,Premium Range,Shampoo,Intense Moisture,400ML,Discontinued,Discontinued
8901023011788,BBLUNT,Premium Range,Conditioner,Born Again,200G,Discontinued,Discontinued
8901023011795,BBLUNT,Premium Range,Conditioner,Full On Volume,200G,Discontinued,Discontinued
8901023011801,BBLUNT,Premium Range,Conditioner,Perfect Balance,200G,Discontinued,Discontinued
8901023011818,BBLUNT,Premium Range,Conditioner,Intense Moisture,200G,Discontinued,Discontinued
8901023011825,BBLUNT,Premium Range,Long Hair Styling,Blown Away,150ML,Discontinued,Discontinued
8901023011832,BBLUNT,Premium Range,Long Hair Styling,Climate Control,150G,Discontinued,Discontinued
8901023011870,BBLUNT,Premium Range,Short Hair Styling,Men Styling Range,150ML,Discontinued,Discontinued
8901023011917,BBLUNT,Premium Range,Shampoo,Intense Moisture,50ML,Discontinued,Discontinued
8901023012037,BBLUNT,Premium Range,Dry Shampoo,Back To Life,125ML,Discontinued,Discontinued
8901023012044,BBLUNT,Premium Range,Long Hair Styling,Spotlight,25G,Discontinued,Discontinued
8901023012051,BBLUNT,Premium Range,Dry Shampoo,Back To Life,30ML,Discontinued,Discontinued
8901023012068,BBLUNT,Premium Range,Long Hair Styling,Spotlight,25G,Discontinued,Discontinued
8901023012167,BBLUNT,Premium Range,Long Hair Styling,Repair Remedy,150G,Discontinued,Discontinued
8901023012433,BBLUNT,Premium Range,Temporary Hair Colour,One Night Stand,48ML,Discontinued,Discontinued
8901023012440,BBLUNT,Premium Range,Temporary Hair Colour,One Night Stand,51ML,Discontinued,Discontinued
8901023012457,BBLUNT,Premium Range,Temporary Hair Colour,One Night Stand,51ML,Discontinued,Discontinued
8901023012518,BBLUNT,Premium Range,Salon pack Shampoo,Perfect Balance,1500ML,Discontinued,Discontinued
