EAN,Primary Article Code,Description,Brand,Category,Sub-category,First Primary Month,NPI FY
8904417303650.0,10200196.0,Mattifying Mineral Powder Sunscreen,The Derma Co.,Face,Sun Care,Apr'26,FY27
8904417307788.0,10101003.0,Bye Bye Blemishes Face Wash 100 ml,Mamaearth,Face,Face Cleanser,Apr'26,FY27
8904417312201.0,10101105.0,Neem Moisturizing Lotion Soap 125 g,Mamaearth,Body,Soap,Apr'26,FY27
8904417313956.0,10200322.0,TDC 20% Actives Peptide-Stem Cell Hair Growth Serum,The Derma Co.,Hair,Hair Serum,Apr'26,FY27
8904417320718.0,10300331.0,AQ Refresh+ Perfume Body Mist - Mid Night Bloom 150ml,Aqualogica,Fragrance,Body Mist,Apr'26,FY27
8904417320961.0,10900004.0,LM Lumineve Deep Revitalise Balanced Barrier Crème With Advanced Night Renew Complex for Sensitive Skin,Lumineve,Face,Moisturisers,Apr'26,FY27
8904417320978.0,10900006.0,LM Lumineve Deep Revitalise Soothing Crème With Advanced Night Renew Complex for Dry & Inflamed Skin,Lumineve,Face,Moisturisers,Apr'26,FY27
8904417321005.0,10900007.0,LM Lumineve Deep Revitalise Oil Control Crème With Advanced Night Renew Complex for Oily Problematic Skin,Lumineve,Face,Moisturisers,Apr'26,FY27
8904417321012.0,10900001.0,LM Lumineve Deep Revitalise Moisture Crème With ANR Complex for Normal - Dry Skin,Lumineve,Face,Moisturisers,Apr'26,FY27
8904417321029.0,10900003.0,LM Lumineve Deep Revitalise Gel Crème With Advanced Night Renew Complex for Normal - Oily Skin,Lumineve,Face,Moisturisers,Apr'26,FY27
8904417321043.0,10900002.0,LM Lumineve Deep Revitalise Hydration Crème With Advanced Night Renew Complex for Normal - Combination Skin,Lumineve,Face,Moisturisers,Apr'26,FY27
8904417322507.0,10200427.0,TDC 10% Niacinamide Face Serum_50 ml,The Derma Co.,Face,Face Serum,Apr'26,FY27
8904417322521.0,10200423.0,TDC 10% Vitamin C Face Serum 50ml,The Derma Co.,Face,Face Serum,Apr'26,FY27
8904417322552.0,10101458.0,ME Baby DermaSoft Head to Toe Wash,Mamaearth,Baby,Baby Body Wash,Apr'26,FY27
8904417323054.0,10900012.0,Lumineve Midnight Youth Restore Serum With ANR Complex & 0.3% Liposomal Retinol,Lumineve,Face,Face Serum,Apr'26,FY27
8904417323061.0,10900011.0,Lumineve Midnight Youth Perfecting Serum With Advanced Night Renew Complex & 10% Liposomal Niacinamide,Lumineve,Face,Face Serum,Apr'26,FY27
8904417323078.0,10900010.0,Lumineve Midnight Youth Radiance Serum With Advanced Night Renew Complex & 10% Liposomal Vitamin C,Lumineve,Face,Face Serum,Apr'26,FY27
8904417323085.0,10900009.0,Lumineve Midnight Youth Clarifying Serum With ANR Complex & 2% Liposomal Salicylic Acid,Lumineve,Face,Face Serum,Apr'26,FY27
8904417324082.0,10200451.0,TDC 1% Kojic Acid Daily Face Wash_50 ml,The Derma Co.,Face,Face Cleanser,Apr'26,FY27
8904417324679.0,10101547.0,ME Lemon Anti Dandruff Shampoo 600ml,Mamaearth,Hair,Shampoo,Apr'26,FY27
8906087777045.0,10200069.0,The Derma Co. 1% Collagen + Peptides Sheet Mask,The Derma Co.,Face,Face Masks,Apr'26,FY27
8906087777076.0,10200072.0,The Derma Co. 1% Kojic + Arbutin Sheet Mask,The Derma Co.,Face,Face Masks,Apr'26,FY27
8904417315356.0,10101191.0,ME Onion Shampoo 250ml B1G1,Mamaearth,Hair,Shampoo,May'26,FY27
8904417319859.0,10101356.0,ME Baby 100% Natural Mosquito Repellent Patches - 6pcs,Mamaearth,Baby,Mosquito Protection,May'26,FY27
8904417323283.0,10200469.0,TDC Anti Acne Kit,The Derma Co.,Combo,Combo,May'26,FY27
8904417323894.0,10200471.0,TDC Anti Pigmentation Kit,The Derma Co.,Combo,Combo,May'26,FY27
8904417324426.0,10200453.0,TDC 1% Hyaluronic Sunscreen Oil-Free Matte Gel SPF 50 80g,The Derma Co.,Face,Sun Care,May'26,FY27
8904417324617.0,10101544.0,ME Vitamin C Daily Glow Sunscreen 125 g,Mamaearth,Face,Sun Care,May'26,FY27
8904417324624.0,10200466.0,TDC 1% Hyaluronic Moisturizing Sunscreen Body Lotion SPF 50,The Derma Co.,Body,Body Lotion,May'26,FY27
8904417325348.0,10200474.0,TDC Peptide-Stem Cell Hair Fall Control Shampoo 400ml,The Derma Co.,Hair,Shampoo,May'26,FY27
8904417325478.0,10101568.0,ME Ubtan Natural Glow Face Wash BOGO 150 ml,Mamaearth,Face,Face Cleanser,May'26,FY27
8904417325584.0,10101567.0,ME Vitamin C Daily Glow Face Wash BOGO 150 ml,Mamaearth,Combo,Combo,May'26,FY27
