Ship To Name,Direct/Distributor,Primary Chain,Zone,State,Chains Served
APOLLO HEALTHCO LIMITED-Chittor,Direct,Apollo,South-2,Andhra Pradesh,Apollo
APOLLO HEALTHCO LIMITED-HYD,Direct,Apollo,South-2,Telangana,Apollo
APOLLO HEALTHCO LIMITED-Madurai,Direct,Apollo,South-1,Tamil Nadu,Apollo
APOLLO HEALTHCO LIMITED-Vijayawada,Direct,Apollo,South-2,Andhra Pradesh,Apollo
APOLLO HEALTHCO LIMITED-WB,Direct,Apollo,East,West Bengal,Apollo
APOLLO HEALTHCO LIMITED-WB-2,Direct,Apollo,East,West Bengal,Apollo
APOLLO HEALTHCO LIMITED_AHMEDABAD,Direct,Apollo,West,Gujarat,Apollo
Aggarwal Associates,Dist.,Vishal Mega Mart,North,Punjab,Vishal Mega Mart
Apollo Healthco Limited Faridabad_ShipTo,Direct,Apollo,North,Haryana,Apollo
Apollo Healthco Limited-Assam,Direct,Apollo,East,Northeast-Assam,Apollo
Apollo Healthco Limited-Bangalore,Direct,Apollo,South-1,Karnataka,Apollo
Apollo Healthco Limited-Chennai,Direct,Apollo,South-1,Tamil Nadu,Apollo
Apollo Healthco Limited-Goa,Direct,Apollo,West,Goa,Apollo
Apollo Healthco Limited-Hubbli,Direct,Apollo,South-1,Karnataka,Apollo
Apollo Healthco Limited-Kochi,Direct,Apollo,South-1,Kerala,Apollo
Apollo Healthco Limited-Ore,Direct,Apollo,East,Orissa,Apollo
Apollo Healthco Limited-Sanath Nagar,Direct,Apollo,South-2,Telangana,Apollo
Apollo Healthco Limited_Bhiwandi,Direct,Apollo,West,Mumbai,Apollo
Apollo Healthco Limited_Faridabad,Direct,Apollo,North,Haryana,Apollo
Apollo Healthco Limited_Rajasthan,Direct,Apollo,North,Rajasthan,Apollo
Apollo Healthco Ltd_Raipur,Direct,Apollo,West,Chattishgarh,Apollo
Arc Foods And Beverages_Mt_H&G,Dist.,Health & Glow,South-1,Tamil Nadu,Apollo; B&N; Health & Glow
Arunachala Logistics Pvt Ltd_Ship To,Direct,Today's Basket,South-2,Andhra Pradesh,Today's Basket
Aryan Wellness Private Limited(A unit of AWPSPL),Direct,Ascent Wellness,North,Haryana,Ascent Wellness
Ascent Wellness Pharma Solutions Pvt Ltd (A unit of AWPSPL),Direct,Ascent Wellness,West,Mumbai,Ascent Wellness
Avenue E Commerce Limited(Belapur),Direct,D-Mart,West,Mumbai,D-Mart
Avenue E Commerce Limited(Ck Palya),Direct,D-Mart,South-1,Karnataka,D-Mart
Avenue E Commerce Limited(Kanjur),Direct,D-Mart,West,Mumbai,D-Mart
Avenue E Commerce Limited(Kiwale),Direct,D-Mart,West,Pune,D-Mart
Avenue E Commerce Limited(Kushaiguda),Direct,D-Mart,South-2,Telangana,D-Mart
Avenue E Commerce Limited(Mira Road) N2,Direct,D-Mart,West,Pune,D-Mart
Avenue E Commerce Limited(Nahur),Direct,D-Mart,West,Mumbai,D-Mart
Avenue E Commerce Limited_3826,Direct,D-Mart,West,Gujarat,D-Mart
Avenue E Commerce Limited_GachibowlI,Direct,D-Mart,South-2,Telangana,D-Mart
Avenue E Commerce Limited_Panvel-2,Direct,D-Mart,West,Mumbai,D-Mart
Avenue E Commerce Ltd -  IAA0-KanadiaFC-MP,Direct,D-Mart,North,Madhya Pradesh,D-Mart
"Avenue E Commerce Ltd -ABC0, Wadki FC-Pune",Direct,D-Mart,West,Pune,D-Mart
Avenue E Commerce Ltd -ABF0Mazgaon FC-Mumbai,Direct,D-Mart,West,Mumbai,D-Mart
Avenue E Commerce Ltd -ABG0-Kondhwa FC,Direct,D-Mart,West,Pune,D-Mart
Avenue E Commerce Ltd -AE00-IFC-Kukse,Direct,D-Mart,West,Mumbai,D-Mart
Avenue E Commerce Ltd -Andheri FC,Direct,D-Mart,West,Mumbai,D-Mart
Avenue E Commerce Ltd -Bachupally FC,Direct,D-Mart,South-2,Telangana,D-Mart
Avenue E Commerce Ltd -Ganguru FC,Direct,D-Mart,South-2,Andhra Pradesh,D-Mart
"Avenue E Commerce Ltd -IAB0-AyodhyaBypass FC, MP",Direct,D-Mart,North,Madhya Pradesh,D-Mart
Avenue E Commerce Ltd -Kancharapalem FC,Direct,D-Mart,South-2,Andhra Pradesh,D-Mart
Avenue E Commerce Ltd -Kurla FC,Direct,D-Mart,West,Mumbai,D-Mart
Avenue E Commerce Ltd -MAA0-GurugramFC-HR,Direct,D-Mart,North,Haryana,D-Mart
Avenue E Commerce Ltd -Nagpur-FC,Direct,D-Mart,West,Pune,D-Mart
Avenue E Commerce Ltd -Nashik AAR0-FC,Direct,D-Mart,West,Pune,D-Mart
Avenue E Commerce Ltd -Perungudi Chennai-FC,Direct,D-Mart,South-1,Tamil Nadu,D-Mart
Avenue E Commerce Ltd -Taloja FC-MH,Direct,D-Mart,West,Mumbai,D-Mart
Avenue E Commerce Ltd -UPPAL FC,Direct,D-Mart,South-2,Telangana,D-Mart
Avenue E Commerce Ltd -Vashi FC-E,Direct,D-Mart,West,Mumbai,D-Mart
Avenue E Commerce Ltd -Yelahanka FC,Direct,D-Mart,South-1,Karnataka,D-Mart
Avenue E Commerce Ltd-ABE0-Kurla FC-2,Direct,D-Mart,West,Mumbai,D-Mart
Avenue E Commerce Ltd._Hennur Fc-Ka,Direct,D-Mart,South-1,Karnataka,D-Mart
Avenue E Commerce Ltd_3919-Sardarnagar,Direct,D-Mart,West,Gujarat,D-Mart
Avenue E Commerce Ltd_3925-Jahangirabad.,Direct,D-Mart,West,Gujarat,D-Mart
Avenue E Commerce Ltd_4047-Vasai Waliv,Direct,D-Mart,West,Mumbai,D-Mart
Avenue E Commerce Ltd_CadburyFC.,Direct,D-Mart,West,Mumbai,D-Mart
Avenue E Commerce Ltd_Goregaon,Direct,D-Mart,West,Mumbai,D-Mart
Avenue E Commerce Ltd_Hoodi FC,Direct,D-Mart,South-1,Karnataka,D-Mart
Avenue E Commerce Ltd_Manpada,Direct,D-Mart,West,Mumbai,D-Mart
Avenue E Commerce Ltd_PeddaAmberpetFC,Direct,D-Mart,South-2,Telangana,D-Mart
Avenue E Commerce Ltd_SanandFC,Direct,D-Mart,West,Gujarat,D-Mart
Avenue E Commerce Ltd_Wagholi,Direct,D-Mart,West,Pune,D-Mart
Avenue Supermarts Ltd.-DC-1032,Direct,D-Mart,South-1,Karnataka,D-Mart
Avenue Supermarts Ltd.-DC-1039,Direct,D-Mart,West,Mumbai,D-Mart
Avenue Supermarts Ltd.-DC-1049,Direct,D-Mart,North,Madhya Pradesh,D-Mart
Avenue Supermarts Ltd.-DC-1050,Direct,D-Mart,North,Punjab,D-Mart
Avenue Supermarts Ltd.-DC-1054,Direct,D-Mart,South-2,Telangana,D-Mart
Avenue Supermarts Ltd.-DC-1068,Direct,D-Mart,North,Rajasthan,D-Mart
Avenue Supermarts Ltd.-DC-1091,Direct,D-Mart,North,Haryana,D-Mart
Avenue Supermarts Ltd.-DC-8009,Direct,D-Mart,South-1,Karnataka,D-Mart
Avenue Supermarts Ltd.-DC-8012,Direct,D-Mart,West,Pune,D-Mart
Az Enterprises,Dist.,Health & Glow,South-1,Karnataka,Apollo; B&N; Frank Ross; Health & Glow; Lulu; Max Hyper; More Retail; Trilife; Vishal Mega Mart
Az Enterprises(Apollo/More)Mt,Dist.,Health & Glow,South-1,Karnataka,Apollo; B&N; Frank Ross; Health & Glow; Lulu; Max Hyper; More Retail; Trilife; Vishal Mega Mart
BALAJI ASSOCIATES Distributor MT,Dist.,Reliance Retail,East,Northeast-Assam,Apollo; Reliance Retail; Vishal Mega Mart
CHHABRA TRADERS_Ship To,Dist.,Lulu,North,Lucknow_UPE,D-Mart; Deal Share; Lulu; Spencers; Vishal Mega Mart
CHOUDHARY ENTERPRISES-MT-MP,Dist.,Vishal Mega Mart,North,Madhya Pradesh,Vishal Mega Mart
Chhabra Traders,Dist.,Lulu,North,Lucknow_UPE,D-Mart; Deal Share; Lulu; Spencers; Vishal Mega Mart
D.C. Agencies Pvt Ltd(Mayapuri)(A unit of AWPSPL),Direct,Ascent Wellness,North,Delhi,Ascent Wellness
D.L. Sales - MT,Dist.,Health & Glow,East,West Bengal,Apna Mart; Apollo; Arambagh; Deal Share; Frank Ross; Health & Glow; More Retail; Reliance Retail; SastaSundar; Spencers; Sumo Save; V-Mart; Vishal Mega Mart
DC Agencies-Ascent,Direct,Ascent Wellness,North,Madhya Pradesh,Ascent Wellness
Eastern Agencies Healthcare Pvt Ltd(A unit of AWPSPL),Direct,Ascent Wellness,West,Mumbai,Ascent Wellness
Eremedium Private Limited_Dosi,Direct,Eremedium,North,UPW,Eremedium
Eremedium Private Limited_Shipto,Direct,Eremedium,North,UPW,Eremedium
FSN Distribution Ltd_Indore,Direct,Nykaa SS(fsn),North,Madhya Pradesh,Nykaa SS(fsn)
FSN Distribution Ltd_NDG-GZB,Direct,Nykaa SS(fsn),North,UPW,Nykaa SS(fsn)
FSN Distribution Ltd_NKD-KL,Direct,Nykaa SS(fsn),South-1,Kerala,Nykaa SS(fsn)
FSN Distribution Ltd_OR-NYKAA,Direct,Nykaa SS(fsn),East,Orissa,Nykaa SS(fsn)
Fsn Distribution Ltd_Anakapalle-AP,Direct,Nykaa SS(fsn),South-2,Andhra Pradesh,Nykaa SS(fsn)
Fsn Distribution Ltd_Bhiwandi,Direct,Nykaa SS(fsn),West,Mumbai,Nykaa SS(fsn)
Fsn Distribution Ltd_Gallops,Direct,Nykaa SS(fsn),West,Gujarat,Nykaa SS(fsn)
Fsn Distribution Ltd_Hobli,Direct,Nykaa SS(fsn),South-1,Karnataka,Nykaa SS(fsn)
Fsn Distribution Ltd_Khasarwara,Direct,Nykaa SS(fsn),North,UPW,Nykaa SS(fsn)
Fsn Distribution Ltd_Mauja,Direct,Nykaa SS(fsn),East,Bihar,Nykaa SS(fsn)
Fsn Distribution Ltd_Mewat,Direct,Nykaa SS(fsn),North,Haryana,Nykaa SS(fsn)
Fsn Distribution Ltd_Rajpura,Direct,Nykaa SS(fsn),North,Punjab,Nykaa SS(fsn)
Fsn Distribution Ltd_Ranihat,Direct,Nykaa SS(fsn),East,West Bengal,Nykaa SS(fsn)
Fsn Distribution Ltd_Revenue Village,Direct,Nykaa SS(fsn),East,Northeast-Assam,Nykaa SS(fsn)
