Store Code,Store Name,Chain,Account,Zone,State,City
1100500,Reliance Smart Andheri,Reliance Retail,Reliance,West,Maharashtra,Mumbai
1102931,Lulu Mall Kochi,Lulu,Lulu Group,South-2,Kerala,Kochi
1102862,Wellness Forever Pune FC Road,Wellness Forever,Wellness Forever,West,Maharashtra,Pune
2302,Seagull Appartment,Reliance Retail,Reliance,East,Jharkhand,JAMSHEDPUR
2364,JharsaRoad,Reliance Retail,Reliance,North,NCR,GURGAON
2949,"Blue Whale Palace, Miryalaguda",Reliance Retail,Reliance,South,Telangana,Miryalguda
2956,RS Sandhya Tower,Reliance Retail,Reliance,East,Jharkhand,Ranchi
2957,SMT AP Tadepallegudem Selectio,Reliance Retail,Reliance,South,Andhra Pradesh,Tadepallegudem
2959,Santosh Property,Reliance Retail,Reliance,East,Orissa,Jajpur Road
2985,SMT TG Nalgonda Metro Complex,Reliance Retail,Reliance,South,Telangana,Nalgonda
2994,RS KSRTC Bus Stand,Reliance Retail,Reliance,South,Karnataka,MYSORE
2995,RRL Smart Meenakshi Garden,Reliance Retail,Reliance,North,Haryana,Sonipat
2996,RS Bestech Square Mall,Reliance Retail,Reliance,North,Punjab,Mohali
2997,RS Urban Oasis Mall,Reliance Retail,Reliance,South,Karnataka,Hubli
3210,AyodhyaByePass,Reliance Retail,Reliance,North,Madhya Pradesh,Bhopal
3338,Nagercoil,Reliance Retail,Reliance,South,Tamil Nadu,Nagercoil
6201,SMT AP Tirupati Abhi Tower,Reliance Retail,Reliance,South,Andhra Pradesh,Tirupathi
6202,ISKCON,Reliance Retail,Reliance,West,Gujarat,Ahmedabad
6203,Moti Khavdi,Reliance Retail,Reliance,West,Gujarat,JAMNAGAR
6205,CrownInteriorzMall,Reliance Retail,Reliance,North,NCR,FARIDABAD
6206,MaruTower,Reliance Retail,Reliance,East,Jharkhand,Ranchi
6208,Almonte-Khardi Bypas,Reliance Retail,Reliance,West,Maharashtra,PUNE
6209,TainSqr-FatimaNgr,Reliance Retail,Reliance,West,Maharashtra,PUNE
6210,Central City Mall,Reliance Retail,Reliance,West,Mumbai,MUMBAI
6212,Dargamitta,Reliance Retail,Reliance,South,Andhra Pradesh,NELLORE
6214,SMT ROTN Tiruchirappalli Manga,Reliance Retail,Reliance,South,Tamilnadu,Trichy
6215,GNT Road,Reliance Retail,Reliance,South,Andhra Pradesh,RAJAHMUNDRY
6217,Acme Mall,Reliance Retail,Reliance,West,Mumbai,MUMBAI
6219,Aundh,Reliance Retail,Reliance,West,Maharashtra,PUNE
6220,Phoenix Market City,Reliance Retail,Reliance,West,Mumbai,MUMBAI
6221,D-Victoria,Reliance Retail,Reliance,West,Mumbai,MUMBAI
6224,OSRTC Bhubaneshwar,Reliance Retail,Reliance,East,Orissa,Bhubaneshwar
6225,Vijaynagar TTMC,Reliance Retail,Reliance,South,Karnataka,Bangalore
6228,Srinivasa Nagar,Reliance Retail,Reliance,South,Andhra Pradesh,Ananthapur 
6237,Drive in,Reliance Retail,Reliance,West,Gujarat,Ahmedabad
6239,RRL Dwarka,Reliance Retail,Reliance,North,Delhi,DELHI
6244,SMT AP Kakinada Ramasomayajulu,Reliance Retail,Reliance,South,Andhra Pradesh,Kakinada
6703,ManeklalRoad,Reliance Retail,Reliance,West,Gujarat,NAVSARI
6705,Oberon Mall,Reliance Retail,Reliance,South,Kerala,Ernakulam
6712,Mangalya,Reliance Retail,Reliance,West,Gujarat,Vadodara
6713,SMT AP Tanuka Narendra Centre,Reliance Retail,Reliance,South,Andhra Pradesh,Tanuku
6714,SMT TG Warangal Alankar Chowra,Reliance Retail,Reliance,South,Telangana,Warangal
6715,Bhimavaram,Reliance Retail,Reliance,South,Andhra Pradesh,BHEEMAVARAM
6717,Bhiwadi,Reliance Retail,Reliance,North,Rajasthan,Bhiwadi
6719,Erandwane,Reliance Retail,Reliance,West,Maharashtra,PUNE
6722,Lake City Udaipur,Reliance Retail,Reliance,North,Rajasthan,UDAIPUR
6725,SMT AP Chittoor Nagamani Tower,Reliance Retail,Reliance,South,Andhra Pradesh,Chittor
6726,Elements Mall,Reliance Retail,Reliance,North,Rajasthan,JAIPUR
6727,BMG Mall Rewari,Reliance Retail,Reliance,North,Haryana,Rewari
6728,SMART Nacharam,Reliance Retail,Reliance,South,Telangana,Hyderabad
F1ZI,SBZ AS Guwahati LOKHRA,Reliance Retail,Reliance,East,Assam,Guwahati
FR00,LODHA EXPERIA MALL,Reliance Retail,Reliance,West,Mumbai,Mumbai
FR02,KANDIVLI-GROWEL 101,Reliance Retail,Reliance,West,Mumbai,Mumbai
FR03, Infinity Malad,Reliance Retail,Reliance,West,Mumbai,Mumbai
