Year-Month,Chain/Account,Distributor,EAN,Brand,Category,Sub_Category,Quantity,NSV
2026-04,AIRPLAZA AALO,Balaji Associates - MT,8904417300512,Mamaearth,Face,Face Cleanser,6,1634.100002
2026-04,AIRPLAZA AALO,Balaji Associates - MT,8904417312546,Mamaearth,Face,Face Cleanser,3,817.050001
2026-04,AIRPLAZA AALO,Balaji Associates - MT,8904417314298,Mamaearth,Face,Face Cleanser,18,4902.300005
2026-04,AIRPLAZA AALO,Balaji Associates - MT,8904417316346,Mamaearth,Face,Face Cleanser,21,1706.249995
2026-04,AIRPLAZA AALO,Balaji Associates - MT,8906087770657,Mamaearth,Face,Face Cleanser,3,524.55
2026-04,AIRPLAZA AALO,Balaji Associates - MT,8906087770671,Mamaearth,Face,Face Cleanser,6,1111.499997
2026-04,AIRPLAZA AALO,Balaji Associates - MT,8906087771333,Mamaearth,Face,Sun Care,3,598.799999
2026-04,AIRPLAZA AALO,Balaji Associates - MT,8906087772859,Mamaearth,Face,Face Cleanser,3,524.55
2026-04,AIRPLAZA AALO,Balaji Associates - MT,8906087778240,Mamaearth,Face,Face Cleanser,9,731.249998
2026-04,AIRPLAZA AALO,Balaji Associates - MT,8906087779032,Mamaearth,Face,Face Cleanser,24,4445.999988
2026-04,AIRPLAZA AALO,Balaji Associates - MT,8904417307740,Mamaearth,Hair,Shampoo,6,1209.000001
2026-04,AIRPLAZA AALO,Balaji Associates - MT,8906087771807,Mamaearth,Hair,Shampoo,9,1813.500001
2026-04,AIRPLAZA AKHNOOR,Sehaj Ent,8904417300512,Mamaearth,Face,Face Cleanser,7,1906.450003
2026-04,AIRPLAZA AKHNOOR,Sehaj Ent,8904417312546,Mamaearth,Face,Face Cleanser,6,1634.100002
2026-04,AIRPLAZA AKHNOOR,Sehaj Ent,8904417314298,Mamaearth,Face,Face Cleanser,1,272.350001
2026-04,AIRPLAZA AKHNOOR,Sehaj Ent,8904417316346,Mamaearth,Face,Face Cleanser,13,1056.249998
2026-04,AIRPLAZA AKHNOOR,Sehaj Ent,8906087770657,Mamaearth,Face,Face Cleanser,4,699.4
2026-04,AIRPLAZA AKHNOOR,Sehaj Ent,8906087770671,Mamaearth,Face,Face Cleanser,1,174.85
2026-04,AIRPLAZA AKHNOOR,Sehaj Ent,8906087772859,Mamaearth,Face,Face Cleanser,3,555.749999
