Article,Article Name,Month,Chain Name,Quantity,NSV_Lakhs
8904417300659,Mamaearth - Baby,Apr-26,APOLLO HEALTHCO,3130,4.43
8904417302066,Bblunt - Hair Colour,Apr-26,APOLLO HEALTHCO,10,0.02
8904417302073,Bblunt - Hair Colour,Apr-26,APOLLO HEALTHCO,8,0.02
8904417303285,Bblunt - Hair Care,Apr-26,APOLLO HEALTHCO,2,0.01
8904417305043,Mamaearth - Hair,Apr-26,APOLLO HEALTHCO,1033,2.05
8904417305258,Mamaearth - Face,Apr-26,APOLLO HEALTHCO,1025,2.29
8904417306231,The Derma Co. - Face,Apr-26,APOLLO HEALTHCO,45,0.2
8904417306248,The Derma Co. - Face,Apr-26,APOLLO HEALTHCO,2013,4.21
8904417306255,Aqualogica - Face,Apr-26,APOLLO HEALTHCO,7,0.02
8904417306439,Mamaearth - Face,Apr-26,APOLLO HEALTHCO,168,0.31
8904417306521,The Derma Co. - Face,Apr-26,APOLLO HEALTHCO,119,0.5
8904417306576,The Derma Co. - Face,Apr-26,APOLLO HEALTHCO,1719,3.0
8904417307740,Mamaearth - Hair,Apr-26,APOLLO HEALTHCO,193,0.38
8904417307764,Mamaearth - Hair,Apr-26,APOLLO HEALTHCO,635,1.54
8904417308501,The Derma Co. - Face,Apr-26,APOLLO HEALTHCO,104,0.24
8904417309171,The Derma Co. - Face,Apr-26,APOLLO HEALTHCO,51,0.11
8904417309188,The Derma Co. - Face,Apr-26,APOLLO HEALTHCO,124,0.26
8904417313420,Mamaearth - Face,Apr-26,APOLLO HEALTHCO,181,0.52
8904417316056,The Derma Co. - Face,Apr-26,APOLLO HEALTHCO,968,2.03
8904417317282,The Derma Co. - Hair,Apr-26,APOLLO HEALTHCO,21,0.06
8904417322392,Bblunt - Hair Colour,Apr-26,APOLLO HEALTHCO,192,0.54
8904417322422,Bblunt - Hair Colour,Apr-26,APOLLO HEALTHCO,24,0.07
8904417322989,The Derma Co. - Hair,Apr-26,APOLLO HEALTHCO,166,0.58
8906087770008,Mamaearth - Baby,Apr-26,APOLLO HEALTHCO,2140,3.41
8906087770022,Mamaearth - Baby,Apr-26,APOLLO HEALTHCO,4048,5.73
8906087770046,Mamaearth - Baby,Apr-26,APOLLO HEALTHCO,785,1.24
8906087770084,Mamaearth - Baby,Apr-26,APOLLO HEALTHCO,1095,2.1
8906087770152,Mamaearth - Baby,Apr-26,APOLLO HEALTHCO,52,0.09
8906087770510,Mamaearth - Baby,Apr-26,APOLLO HEALTHCO,1276,2.17
8906087770527,Mamaearth - Baby,Apr-26,APOLLO HEALTHCO,2812,2.38
8906087770534,Mamaearth - Baby,Apr-26,APOLLO HEALTHCO,4197,5.35
8906087770640,Mamaearth - Baby,Apr-26,APOLLO HEALTHCO,87,0.14
8906087770657,Mamaearth - Face,Apr-26,APOLLO HEALTHCO,792,1.36
8906087770664,Mamaearth - Face,Apr-26,APOLLO HEALTHCO,1821,3.29
8906087770671,Mamaearth - Face,Apr-26,APOLLO HEALTHCO,3527,6.39
8906087771180,Mamaearth - Baby,Apr-26,APOLLO HEALTHCO,6749,9.55
8906087771333,Mamaearth - Face,Apr-26,APOLLO HEALTHCO,7,0.02
8906087771807,Mamaearth - Hair,Apr-26,APOLLO HEALTHCO,969,1.92
8906087771814,Mamaearth - Hair,Apr-26,APOLLO HEALTHCO,96,0.21
8906087771845,Mamaearth - Hair,Apr-26,APOLLO HEALTHCO,5,0.01
8906087771883,Mamaearth - Hair,Apr-26,APOLLO HEALTHCO,1164,2.77
8906087771982,Mamaearth - Face,Apr-26,APOLLO HEALTHCO,7,0.02
8906087772019,The Derma Co. - Face,Apr-26,APOLLO HEALTHCO,2,0.0
8906087772040,The Derma Co. - Face,Apr-26,APOLLO HEALTHCO,998,4.18
8906087772057,The Derma Co. - Face,Apr-26,APOLLO HEALTHCO,16,0.1
8906087772064,The Derma Co. - Face,Apr-26,APOLLO HEALTHCO,309,1.08
8906087772095,The Derma Co. - Face,Apr-26,APOLLO HEALTHCO,1119,5.48
8906087772378,Mamaearth - Hair,Apr-26,APOLLO HEALTHCO,36,0.07
8906087772613,Mamaearth - Baby,Apr-26,APOLLO HEALTHCO,735,1.64
8906087772859,Mamaearth - Face,Apr-26,APOLLO HEALTHCO,1370,2.46
8906087772897,Mamaearth - Hair,Apr-26,APOLLO HEALTHCO,385,0.76
8906087773511,Mamaearth - Face,Apr-26,APOLLO HEALTHCO,1,0.0
8906087773849,The Derma Co. - Face,Apr-26,APOLLO HEALTHCO,817,2.85
8906087774105,The Derma Co. - Face,Apr-26,APOLLO HEALTHCO,1,0.0
8906087774808,The Derma Co. - Face,Apr-26,APOLLO HEALTHCO,1,0.0
8906087775089,Mamaearth - Hair,Apr-26,APOLLO HEALTHCO,1185,2.35
8906087775607,The Derma Co. - Face,Apr-26,APOLLO HEALTHCO,813,3.69
8906087775645,The Derma Co. - Face,Apr-26,APOLLO HEALTHCO,1736,3.63
8906087775713,The Derma Co. - Face,Apr-26,APOLLO HEALTHCO,8234,28.76
8906087776017,The Derma Co. - Face,Apr-26,APOLLO HEALTHCO,5,0.02
8906087776109,Mamaearth - Baby,Apr-26,APOLLO HEALTHCO,638,1.81
8906087776116,Mamaearth - Baby,Apr-26,APOLLO HEALTHCO,6,0.02
8906087776215,Mamaearth - Baby,Apr-26,APOLLO HEALTHCO,6693,9.49
8906087776604,The Derma Co. - Face,Apr-26,APOLLO HEALTHCO,1458,5.09
8906087778042,The Derma Co. - Face,Apr-26,APOLLO HEALTHCO,36,0.15
8906087778110,Aqualogica - Face,Apr-26,APOLLO HEALTHCO,2,0.0
8906087778363,The Derma Co. - Face,Apr-26,APOLLO HEALTHCO,150,0.73
8906087778455,Mamaearth - Face,Apr-26,APOLLO HEALTHCO,30,0.05
8906087778462,Aqualogica - Face,Apr-26,APOLLO HEALTHCO,6,0.02
8906087778486,Mamaearth - Hair,Apr-26,APOLLO HEALTHCO,3,0.01
8906087779032,Mamaearth - Face,Apr-26,APOLLO HEALTHCO,2027,3.61
8906087779292,The Derma Co. - Face,Apr-26,APOLLO HEALTHCO,613,1.5
8906087779407,Aqualogica - Face,Apr-26,APOLLO HEALTHCO,5,0.02
8906087779490,Bblunt - Styling Products,Apr-26,APOLLO HEALTHCO,23,0.09
706502246792,Dr. Sheth - Face,Apr-26,HEALTH & GLOW,18,0.06
8904417300598,The Derma Co. - Face,Apr-26,HEALTH & GLOW,25,0.19
8904417301762,Mamaearth - Face,Apr-26,HEALTH & GLOW,33,0.06
8904417302066,Bblunt - Hair Colour,Apr-26,HEALTH & GLOW,60,0.13
8904417302073,Bblunt - Hair Colour,Apr-26,HEALTH & GLOW,66,0.14
8904417302301,Mamaearth - Face,Apr-26,HEALTH & GLOW,26,0.07
8904417302318,Mamaearth - Face,Apr-26,HEALTH & GLOW,18,0.05
8904417302325,Mamaearth - Face,Apr-26,HEALTH & GLOW,10,0.02
8904417302578,The Derma Co. - Face,Apr-26,HEALTH & GLOW,215,0.49
8904417302608,Mamaearth - Face,Apr-26,HEALTH & GLOW,11,0.03
8904417302707,Bblunt - Hair Care,Apr-26,HEALTH & GLOW,27,0.08
8904417302738,Bblunt - Hair Care,Apr-26,HEALTH & GLOW,38,0.1
8904417302745,Bblunt - Hair Care,Apr-26,HEALTH & GLOW,52,0.15
8904417302776,Bblunt - Hair Care,Apr-26,HEALTH & GLOW,20,0.06
8904417303131,The Derma Co. - Face,Apr-26,HEALTH & GLOW,69,0.2
8904417303285,Bblunt - Hair Care,Apr-26,HEALTH & GLOW,55,0.14
8904417303292,Bblunt - Hair Care,Apr-26,HEALTH & GLOW,27,0.08
8904417303308,Mamaearth - Face,Apr-26,HEALTH & GLOW,19,0.03
8904417303315,Mamaearth - Face,Apr-26,HEALTH & GLOW,37,0.05
8904417303322,Mamaearth - Face,Apr-26,HEALTH & GLOW,92,0.1
8904417303407,Mamaearth - Face,Apr-26,HEALTH & GLOW,31,0.06
8904417303445,Mamaearth - Face,Apr-26,HEALTH & GLOW,142,0.28
8904417303537,Mamaearth - Hair,Apr-26,HEALTH & GLOW,149,0.54
8904417305043,Mamaearth - Hair,Apr-26,HEALTH & GLOW,40,0.08
8904417305050,Mamaearth - Hair,Apr-26,HEALTH & GLOW,11,0.02
8904417305098,Bblunt - Hair Care,Apr-26,HEALTH & GLOW,71,0.18
8904417305104,Bblunt - Hair Care,Apr-26,HEALTH & GLOW,28,0.08
8904417305258,Mamaearth - Face,Apr-26,HEALTH & GLOW,185,0.43
8904417305821,Bblunt - Hair Care,Apr-26,HEALTH & GLOW,7,0.02
8904417305838,Mamaearth - Face,Apr-26,HEALTH & GLOW,10,0.03
8904417306231,The Derma Co. - Face,Apr-26,HEALTH & GLOW,104,0.44
8904417306248,The Derma Co. - Face,Apr-26,HEALTH & GLOW,37,0.07
8904417306255,Aqualogica - Face,Apr-26,HEALTH & GLOW,118,0.34
8904417306439,Mamaearth - Face,Apr-26,HEALTH & GLOW,10,0.02
8904417306514,Aqualogica - Face,Apr-26,HEALTH & GLOW,45,0.07
8904417306521,The Derma Co. - Face,Apr-26,HEALTH & GLOW,13,0.05
8904417306576,The Derma Co. - Face,Apr-26,HEALTH & GLOW,13,0.02
8904417307122,Bblunt - Hair Care,Apr-26,HEALTH & GLOW,21,0.05
8904417307283,Bblunt - Hair Care,Apr-26,HEALTH & GLOW,22,0.08
8904417307320,Bblunt - Hair Care,Apr-26,HEALTH & GLOW,6,0.02
8904417307481,Aqualogica - Face,Apr-26,HEALTH & GLOW,32,0.08
8904417307740,Mamaearth - Hair,Apr-26,HEALTH & GLOW,54,0.12
8904417307757,Mamaearth - Hair,Apr-26,HEALTH & GLOW,48,0.11
8904417307764,Mamaearth - Hair,Apr-26,HEALTH & GLOW,105,0.26
8904417308440,Aqualogica - Face,Apr-26,HEALTH & GLOW,12,0.02
8904417308501,The Derma Co. - Face,Apr-26,HEALTH & GLOW,110,0.24
8904417309171,The Derma Co. - Face,Apr-26,HEALTH & GLOW,27,0.05
8904417309188,The Derma Co. - Face,Apr-26,HEALTH & GLOW,20,0.04
8904417309799,The Derma Co. - Face,Apr-26,HEALTH & GLOW,35,0.07
8904417311297,The Derma Co. - Face,Apr-26,HEALTH & GLOW,97,0.21
8904417311327,The Derma Co. - Face,Apr-26,HEALTH & GLOW,15,0.02
8904417311389,Aqualogica - Face,Apr-26,HEALTH & GLOW,40,0.12
8904417311495,The Derma Co. - Face,Apr-26,HEALTH & GLOW,9,0.04
8904417311549,Mamaearth - Face,Apr-26,HEALTH & GLOW,15,0.03
8904417312133,Mamaearth - Face,Apr-26,HEALTH & GLOW,15,0.04
8904417312300,Mamaearth - Hair,Apr-26,HEALTH & GLOW,1,0.0
8904417312379,Mamaearth - Face,Apr-26,HEALTH & GLOW,28,0.06
8904417312386,Mamaearth - Hair,Apr-26,HEALTH & GLOW,11,0.02
8904417312430,Mamaearth - Hair,Apr-26,HEALTH & GLOW,8,0.02
8904417312867,Mamaearth - Face,Apr-26,HEALTH & GLOW,39,0.1
8904417312997,Mamaearth - Face,Apr-26,HEALTH & GLOW,3,0.01
8904417313178,Mamaearth - Face,Apr-26,HEALTH & GLOW,30,0.09
8904417313420,Mamaearth - Face,Apr-26,HEALTH & GLOW,36,0.11
8904417313963,Mamaearth - Hair,Apr-26,HEALTH & GLOW,24,0.05
8904417314007,Aqualogica - Face,Apr-26,HEALTH & GLOW,18,0.06
8904417314014,Aqualogica - Face,Apr-26,HEALTH & GLOW,30,0.1
8904417314021,Aqualogica - Face,Apr-26,HEALTH & GLOW,15,0.05
8904417314267,Mamaearth - Face,Apr-26,HEALTH & GLOW,3,0.01
8904417314298,Mamaearth - Face,Apr-26,HEALTH & GLOW,206,0.4
8904417314441,Mamaearth - Hair,Apr-26,HEALTH & GLOW,10,0.02
8904417314618,The Derma Co. - Face,Apr-26,HEALTH & GLOW,841,4.03
8904417314755,The Derma Co. - Face,Apr-26,HEALTH & GLOW,717,1.45
