Bill to customer,Direct/Distributor,NSV,MRP value,Month,FY,Zone,State,Brand,Chain Name,Channel
Apollo Healthco Limited Faridabad_ShipTo,Direct,102434.3,172674.0,May'25,FY_25-26,North,Haryana,Aqualogica,Apollo,MT
Apollo Healthco Limited Faridabad_ShipTo,Direct,2459741.74,6732517.0,May'25,FY_25-26,North,Haryana,Mamaearth,Apollo,MT
Apollo Healthco Limited Faridabad_ShipTo,Direct,565034.44,952487.0,May'25,FY_25-26,North,Haryana,The Derma Co.,Apollo,MT
APOLLO HEALTHCO LIMITED_AHMEDABAD,Direct,337400.77,1251356.0,May'25,FY_25-26,West,Gujarat,Mamaearth,Apollo,MT
Apollo Healthco Limited_Bhiwandi,Direct,28941.54,48787.0,May'25,FY_25-26,West,Mumbai,Aqualogica,Apollo,MT
Apollo Healthco Limited_Bhiwandi,Direct,597162.14,1557866.0,May'25,FY_25-26,West,Mumbai,Mamaearth,Apollo,MT
Apollo Healthco Limited_Bhiwandi,Direct,137128.02,231158.0,May'25,FY_25-26,West,Mumbai,The Derma Co.,Apollo,MT
Apollo Healthco Limited_Faridabad,Direct,-592.06,-998.0,May'25,FY_25-26,North,Haryana,Aqualogica,Apollo,MT
Apollo Healthco Limited_Faridabad,Direct,51850.99,144290.0,May'25,FY_25-26,North,Haryana,Mamaearth,Apollo,MT
Apollo Healthco Limited_Faridabad,Direct,-3636.85,-6131.0,May'25,FY_25-26,North,Haryana,The Derma Co.,Apollo,MT
Apollo Healthco Limited_Rajasthan,Direct,421016.58,1133804.0,May'25,FY_25-26,North,Rajasthan,Mamaearth,Apollo,MT
Apollo Healthco Limited_Rajasthan,Direct,198197.82,334105.0,May'25,FY_25-26,North,Rajasthan,The Derma Co.,Apollo,MT
Apollo Healthco Limited-Bangalore,Direct,2701170.3,8382294.0,May'25,FY_25-26,South-1,Karnataka,Mamaearth,Apollo,MT
Apollo Healthco Limited-Chennai,Direct,498499.18,1547051.0,May'25,FY_25-26,South-1,Tamil Nadu,Mamaearth,Apollo,MT
APOLLO HEALTHCO LIMITED-Chittor,Direct,324420.3,1025580.0,May'25,FY_25-26,South-2,Andhra Pradesh,Mamaearth,Apollo,MT
Apollo Healthco Limited-Goa,Direct,9589.23,16164.0,May'25,FY_25-26,West,Goa,Aqualogica,Apollo,MT
Apollo Healthco Limited-Goa,Direct,216700.87,639678.0,May'25,FY_25-26,West,Goa,Mamaearth,Apollo,MT
Apollo Healthco Limited-Goa,Direct,33437.17,56365.0,May'25,FY_25-26,West,Goa,The Derma Co.,Apollo,MT
Apollo Healthco Limited-Hubbli,Direct,1216887.16,3811335.0,May'25,FY_25-26,South-1,Karnataka,Mamaearth,Apollo,MT
APOLLO HEALTHCO LIMITED-HYD,Direct,163389.03,511761.0,May'25,FY_25-26,South-2,Telangana,Mamaearth,Apollo,MT
Apollo Healthco Limited-Kochi,Direct,12785.06,21552.0,May'25,FY_25-26,South-1,Kerala,Aqualogica,Apollo,MT
Apollo Healthco Limited-Kochi,Direct,577306.7,1428596.0,May'25,FY_25-26,South-1,Kerala,Mamaearth,Apollo,MT
Apollo Healthco Limited-Kochi,Direct,124036.92,209091.0,May'25,FY_25-26,South-1,Kerala,The Derma Co.,Apollo,MT
