Site_Code,Store_Name,Canonical_Chain,Raw_Chain_Alias,Channel,Zone,State,City,Store_Type,Mapping_Status
N/A,N/A,Apna Mart,Apna Mart,N/A,East,Jharkhand,N/A,Macro,MISSING_SITE_CODE
N/A,N/A,Apna Mart,Apna Mart,N/A,East,West Bengal,N/A,Macro,MISSING_SITE_CODE
10001,JANKIPURAM SEC-I LUCKNOW,Apollo,Apollo | Apollo Pharmacy,MT,North,Uttar Pradesh,Lucknow,Macro,MAPPED_ALIAS
10002,VINEET KHAND GOMTI NAGAR LKO,Apollo,Apollo | Apollo Pharmacy,MT,North,Uttar Pradesh,Lucknow,Macro,MAPPED_ALIAS
10003,RUPNAGAR PUNJAB,Apollo,Apollo | Apollo Pharmacy,MT,North,Punjab,Chandigarh,Macro,MAPPED_ALIAS
10004,NANDANVAN TOWNSHIP,Apollo,Apollo | Apollo Pharmacy,MT,West,Gujarat,Ahmedabad,Macro,MAPPED_ALIAS
10005,CHIRAG ENCLAVE GREATER KAILASH,Apollo,Apollo | Apollo Pharmacy,MT,North,Delhi/ Ncr,Delhi NCR,Macro,MAPPED_ALIAS
10006,SHAMTI SOLAN HIMACHAL PRADESH,Apollo,Apollo | Apollo Pharmacy,MT,North,Himachal Pradesh,Paonta Sahib,Macro,MAPPED_ALIAS
10007,RAJASANSI AMRITSAR,Apollo,Apollo | Apollo Pharmacy,MT,North,Punjab,Amritsar,Macro,MAPPED_ALIAS
10008,ATTARI AMRITSAR,Apollo,Apollo | Apollo Pharmacy,MT,North,Punjab,Amritsar,Macro,MAPPED_ALIAS
10009,VASANT VIHAR DEHRADUN,Apollo,Apollo | Apollo Pharmacy,MT,North,Uttarakhand,Dehradun,Macro,MAPPED_ALIAS
10010,KHADKHADI HARIDWAR UTTARAKHAND,Apollo,Apollo | Apollo Pharmacy,MT,North,Uttarakhand,Haridwar,Macro,MAPPED_ALIAS
10011,NIPANIA MAIN ROAD,Apollo,Apollo | Apollo Pharmacy,MT,North,Madhya Pradesh,Indore,Macro,MAPPED_ALIAS
10012,SCHEME NO-113 INDORE,Apollo,Apollo | Apollo Pharmacy,MT,North,Madhya Pradesh,Indore,Macro,MAPPED_ALIAS
10013,ARANYA NAGAR,Apollo,Apollo | Apollo Pharmacy,MT,North,Madhya Pradesh,Indore,Macro,MAPPED_ALIAS
10014,KANADIYA MAIN ROAD,Apollo,Apollo | Apollo Pharmacy,MT,North,Madhya Pradesh,Indore,Macro,MAPPED_ALIAS
10015,RAJENDRA NAGAR,Apollo,Apollo | Apollo Pharmacy,MT,North,Madhya Pradesh,Indore,Macro,MAPPED_ALIAS
10016,60 FEET ROAD AMBIKAPURI,Apollo,Apollo | Apollo Pharmacy,MT,North,Madhya Pradesh,Indore,Macro,MAPPED_ALIAS
10017,MAHATMA GANDHI ROAD,Apollo,Apollo | Apollo Pharmacy,MT,North,Madhya Pradesh,Indore,Macro,MAPPED_ALIAS
10018,LIG MAIN ROAD,Apollo,Apollo | Apollo Pharmacy,MT,North,Madhya Pradesh,Indore,Macro,MAPPED_ALIAS
10019,TULSINAGAR MAIN ROAD,Apollo,Apollo | Apollo Pharmacy,MT,North,Madhya Pradesh,Indore,Macro,MAPPED_ALIAS
10020,VASUNDHARA SEC-13 GHAZIABAD,Apollo,Apollo | Apollo Pharmacy,MT,North,Delhi/ Ncr,Delhi NCR,Macro,MAPPED_ALIAS
10021,KAMLA NAGAR AGRA,Apollo,Apollo | Apollo Pharmacy,MT,North,Uttar Pradesh,Agra,Macro,MAPPED_ALIAS
10022,BADRINATH ROAD KOTDWAR,Apollo,Apollo | Apollo Pharmacy,MT,North,Uttarakhand,Kotdwara,Macro,MAPPED_ALIAS
10023,CVDC MOHAN CO-OPERATIVE,Apollo,Apollo | Apollo Pharmacy,MT,North,Delhi/ Ncr,Delhi NCR,Macro,MAPPED_ALIAS
10024,GANDHI PATH VAISHALI NAGAR,Apollo,Apollo | Apollo Pharmacy,MT,North,Rajasthan,Jaipur,Macro,MAPPED_ALIAS
