Chain,Primary_Lac,Total_Qty,Primary_Crores
D-Mart,1115.9795946,670631,11.159795946
Apollo Healthco,641.6879139,386049,6.416879139
Reliance Retail Limited,526.2325811,239981,5.262325810999999
Kiran Trading Company,226.4771916,138775,2.264771916
G.V Enterprises,223.6315553,87813,2.236315553
Sri Vijaya Durga Agencies,193.550523,76200,1.93550523
Nykaa E-Retail Limited,188.2089315,144288,1.882089315
Az Enterprises,82.4623748,32333,0.824623748
Wellness Forever,75.6805734,34409,0.756805734
Sancus Networks Private Limited-RMT,61.586369,33848,0.61586369
Azorte,58.4678251,12206,0.584678251
Metro-CNC,49.2117708,22694,0.492117708
D.L. Sales - MT,37.6785467,16144,0.376785467
VENKATESHWARA AGENCIES-TG,36.5307975,19165,0.365307975
Balaji Associates Distributor MT,31.8377339,10194,0.318377339
RR Traders-MT,19.369299299999998,12348,0.19369299299999998
Trent Hypermarket,18.634324,7918,0.18634324
M/S KOTTARAM BUSINESS,16.107315,4712,0.16107315
V-Mart Retail Limited,13.584152399999999,8400,0.135841524
Eremedium Private Limited,13.0620878,5860,0.130620878
MARK ENTERPRISE,8.7610668,4691,0.087610668
TROY TRADEX-MT-OR -East,7.1633862,4552,0.07163386199999999
CHOUDHARY ENTERPRISES,4.5734254,2627,0.045734253999999995
H&G,3.3705076,1690,0.033705076
Hypermax City Private Limited,2.6780915,988,0.026780915
Travel News Services-Wsmith,2.3640976,960,0.023640976
Sehaj Enterprises -MT-JK,1.3319675,763,0.013319675
MANOJ SOAP AGENCY-MT,1.0840885,834,0.010840885
Guardian Healthcare,0.8635766,420,0.008635766
REAL TIME LOGISTICS_MT_BR,0.000171,171,1.7100000000000001e-06
DB-PLANET SERVICES-MT-DL,1.3877787807814457e-17,0,1.3877787807814457e-19
SRIJAN ENTERPRISES-MT-JH,-0.0709998,-28,-0.000709998
Shoppers Stop ,-1.7096694,-202,-0.017096694
Walmart-CNC,-2.0893964,-1465,-0.020893964
