FY,Month,Purchase Order Number,Inv No.,Inv. Date,Category,Article Code,SO No,Ship To Name,Division Desc.,EAN No.,net_content,brand,PPT Category,category,sub_category,range,Description,MRP Rate,Display Unit/Measure,Inv Qty,Inv. Net value(LOC),Inv. Tax Amount(LOC),Total MRP sales,Avg Tot,a,Bill Type Decsc,Distribution Channel Desc,Company Name,Customer Group,Customer Group Desc,Plant Description,Sales Document Type,Ship-To Address,Ship-To City,Ship-To Region,Ship-To Region Name,Plant,Order Reason Text,Cust-SAP Code,MTD-Sale type,PO Type,Zone,State,Customer Name,Chain name,Customer Name.1,Store Code,Delivery Status ,Remarks,Remarks-1,Cust-SAP Code.1,sale in lac,Format,Channel
FY'26-27,2026-08-02,5003040649,8061204995,2026-08-02,Body,10101276,1061193197,Avenue Supermarts Ltd.-DC-1050,Mamaearth,8904417317244,400.0,Mamaearth,Body Lotion,Body,Body Lotion,Rice Water,ME Rice Water Hydrating Body Lotion 400,549,EA,168,33219.15,5979.45,92232,0.575,,Modern Trade sales,Offline Sales GT/MT,Honasa Consumer Limited,27,MT_Direct,Honasa Consumer Ltd 3PL MW,ZMT1,"Khasra No. 104-113, HD No 133, Shed - ANH1 Delhi Amritsar Road Rajpura, GhanourGhanour, Patiala, Punjab",Rajpura,PB,Punjab,1004,,1101911,Sales,Direct,North,Punjab,DC-D-Mart-Offline,D-Mart,D-Mart,1050,,Modern Trade sales,,1101911,0.33219150000000003,MT,MT
FY'26-27,2026-08-02,5003040649,8061204995,2026-08-02,Face,10100695,1061193197,Avenue Supermarts Ltd.-DC-1050,Mamaearth,8904417300512,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Ubtan,ME Ubtan Glow Facewash 150ml,449,EA,160,27396.61,4931.39,71840,0.55,,Modern Trade sales,Offline Sales GT/MT,Honasa Consumer Limited,27,MT_Direct,Honasa Consumer Ltd 3PL MW,ZMT1,"Khasra No. 104-113, HD No 133, Shed - ANH1 Delhi Amritsar Road Rajpura, GhanourGhanour, Patiala, Punjab",Rajpura,PB,Punjab,1004,,1101911,Sales,Direct,North,Punjab,DC-D-Mart-Offline,D-Mart,D-Mart,1050,,Modern Trade sales,,1101911,0.2739661,MT,MT
FY'26-27,2026-08-02,5003040649,8061204995,2026-08-02,Face,10100695,1061193197,Avenue Supermarts Ltd.-DC-1050,Mamaearth,8904417300512,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Ubtan,ME Ubtan Glow Facewash 150ml,449,EA,120,20547.46,3698.54,53880,0.55,,Modern Trade sales,Offline Sales GT/MT,Honasa Consumer Limited,27,MT_Direct,Honasa Consumer Ltd 3PL MW,ZMT1,"Khasra No. 104-113, HD No 133, Shed - ANH1 Delhi Amritsar Road Rajpura, GhanourGhanour, Patiala, Punjab",Rajpura,PB,Punjab,1004,,1101911,Sales,Direct,North,Punjab,DC-D-Mart-Offline,D-Mart,D-Mart,1050,,Modern Trade sales,,1101911,0.20547459999999998,MT,MT
FY'26-27,2026-08-02,5003040649,8061204995,2026-08-02,Face,10100695,1061193197,Avenue Supermarts Ltd.-DC-1050,Mamaearth,8904417300512,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Ubtan,ME Ubtan Glow Facewash 150ml,449,EA,1320,226022.02,40683.97,592680,0.5500000168725113,,Modern Trade sales,Offline Sales GT/MT,Honasa Consumer Limited,27,MT_Direct,Honasa Consumer Ltd 3PL MW,ZMT1,"Khasra No. 104-113, HD No 133, Shed - ANH1 Delhi Amritsar Road Rajpura, GhanourGhanour, Patiala, Punjab",Rajpura,PB,Punjab,1004,,1101911,Sales,Direct,North,Punjab,DC-D-Mart-Offline,D-Mart,D-Mart,1050,,Modern Trade sales,,1101911,2.2602202,MT,MT
FY'26-27,2026-08-02,5003040649,8061204995,2026-08-02,Hair,10101057,1061193197,Avenue Supermarts Ltd.-DC-1050,Mamaearth,8904417310245,200.0,Mamaearth,Others,Hair,Hair Oil,Onion,ME Onion hair oil 200 ml,499,EA,360,72711.43,3635.57,179640,0.575,,Modern Trade sales,Offline Sales GT/MT,Honasa Consumer Limited,27,MT_Direct,Honasa Consumer Ltd 3PL MW,ZMT1,"Khasra No. 104-113, HD No 133, Shed - ANH1 Delhi Amritsar Road Rajpura, GhanourGhanour, Patiala, Punjab",Rajpura,PB,Punjab,1004,,1101911,Sales,Direct,North,Punjab,DC-D-Mart-Offline,D-Mart,D-Mart,1050,,Modern Trade sales,,1101911,0.7271142999999999,MT,MT
FY'26-27,2026-08-02,5003040649,8061204995,2026-08-02,Body,10101276,1061193197,Avenue Supermarts Ltd.-DC-1050,Mamaearth,8904417317244,400.0,Mamaearth,Body Lotion,Body,Body Lotion,Rice Water,ME Rice Water Hydrating Body Lotion 400,549,EA,72,14236.78,2562.62,39528,0.575,,Modern Trade sales,Offline Sales GT/MT,Honasa Consumer Limited,27,MT_Direct,Honasa Consumer Ltd 3PL MW,ZMT1,"Khasra No. 104-113, HD No 133, Shed - ANH1 Delhi Amritsar Road Rajpura, GhanourGhanour, Patiala, Punjab",Rajpura,PB,Punjab,1004,,1101911,Sales,Direct,North,Punjab,DC-D-Mart-Offline,D-Mart,D-Mart,1050,,Modern Trade sales,,1101911,0.14236780000000002,MT,MT
FY'26-27,2026-08-02,5003040649,8061204995,2026-08-02,Face,10101103,1061193197,Avenue Supermarts Ltd.-DC-1050,Mamaearth,8904417311549,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Beetroot,ME Beetroot Gentle Face Wash 100 ml,285,EA,768,88108.46,15859.52,218880,0.525000091374269,,Modern Trade sales,Offline Sales GT/MT,Honasa Consumer Limited,27,MT_Direct,Honasa Consumer Ltd 3PL MW,ZMT1,"Khasra No. 104-113, HD No 133, Shed - ANH1 Delhi Amritsar Road Rajpura, GhanourGhanour, Patiala, Punjab",Rajpura,PB,Punjab,1004,,1101911,Sales,Direct,North,Punjab,DC-D-Mart-Offline,D-Mart,D-Mart,1050,,Modern Trade sales,,1101911,0.8810846000000001,MT,MT
FY'26-27,2026-08-02,5003040649,8061204995,2026-08-02,Face,10100955,1061193197,Avenue Supermarts Ltd.-DC-1050,Mamaearth,8904417306439,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Multani Mitti,ME Multani Mitti Face Wash 100 ml,285,EA,240,30432.2,5477.8,68400,0.475,,Modern Trade sales,Offline Sales GT/MT,Honasa Consumer Limited,27,MT_Direct,Honasa Consumer Ltd 3PL MW,ZMT1,"Khasra No. 104-113, HD No 133, Shed - ANH1 Delhi Amritsar Road Rajpura, GhanourGhanour, Patiala, Punjab",Rajpura,PB,Punjab,1004,,1101911,Sales,Direct,North,Punjab,DC-D-Mart-Offline,D-Mart,D-Mart,1050,,Modern Trade sales,,1101911,0.304322,MT,MT
FY'26-27,2026-08-02,5003040649,8061204995,2026-08-02,Face,10101163,1061193197,Avenue Supermarts Ltd.-DC-1050,Mamaearth,8904417314298,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,ME Rice Dewy Bright Face wash 150 ml,449,EA,288,45478.37,8186.11,129312,0.585,,Modern Trade sales,Offline Sales GT/MT,Honasa Consumer Limited,27,MT_Direct,Honasa Consumer Ltd 3PL MW,ZMT1,"Khasra No. 104-113, HD No 133, Shed - ANH1 Delhi Amritsar Road Rajpura, GhanourGhanour, Patiala, Punjab",Rajpura,PB,Punjab,1004,,1101911,Sales,Direct,North,Punjab,DC-D-Mart-Offline,D-Mart,D-Mart,1050,,Modern Trade sales,,1101911,0.4547837,MT,MT
FY'26-27,2026-08-02,5003040649,8061204995,2026-08-02,Face,10101163,1061193197,Avenue Supermarts Ltd.-DC-1050,Mamaearth,8904417314298,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,ME Rice Dewy Bright Face wash 150 ml,449,EA,1488,234971.55,42294.89,668112,0.5850000598702014,,Modern Trade sales,Offline Sales GT/MT,Honasa Consumer Limited,27,MT_Direct,Honasa Consumer Ltd 3PL MW,ZMT1,"Khasra No. 104-113, HD No 133, Shed - ANH1 Delhi Amritsar Road Rajpura, GhanourGhanour, Patiala, Punjab",Rajpura,PB,Punjab,1004,,1101911,Sales,Direct,North,Punjab,DC-D-Mart-Offline,D-Mart,D-Mart,1050,,Modern Trade sales,,1101911,2.3497155,MT,MT
